,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,0.0,2026-05-12 18:05:51.025447,2026-05-12 18:06:08.340501,0 days 00:00:17.315054,-34.637094831762816,42.02489097340053,43.11392574235875,61.298829544526555,27.480058926383453,20.762606849497562,-73.64705714485012,30.20334227602749,36.706511615674344,39.467798203610315,39.67794919774441,14.184826237617054,,,COMPLETE
1,1,140.0,2026-05-12 18:06:09.649602,2026-05-12 18:06:10.195982,0 days 00:00:00.546380,-38.04110004801357,59.44353925846609,46.77686978840572,72.23658072201347,40.83944129917145,46.31651654553791,-55.36065508537717,46.25440833027665,42.69506877663214,57.69046494089603,44.24344603037681,31.241874495223673,Unfeasible shape,0.0,PRUNED
2,2,140.0,2026-05-12 18:06:10.298961,2026-05-12 18:06:10.574512,0 days 00:00:00.275551,-53.79500808469612,50.62622801451146,69.41425741722449,37.175952630198694,46.28195828733174,38.516977457791235,-36.426405509861105,54.01379322762397,59.441465520027165,35.42116595734035,25.59520114353166,34.10798513821238,Unfeasible shape,0.0,PRUNED
3,3,0.0,2026-05-12 18:06:10.697850,2026-05-12 18:06:26.828985,0 days 00:00:16.131135,-31.784278244627536,54.687633557466285,47.63432001440434,65.02133349075834,18.727836817506017,34.55163558844259,-53.0895892684397,31.43028026951331,28.903513535137655,63.61521286045955,22.975555317610695,28.96286189469528,,0.0,COMPLETE
4,4,140.0,2026-05-12 18:06:28.146636,2026-05-12 18:06:28.396231,0 days 00:00:00.249595,-32.44816057603413,63.17089173460504,47.08471713756804,58.9719439107238,42.45908003089216,20.80890678693528,-55.62684000179975,63.310094496552225,70.9973134941913,41.54956778238388,31.21675199297622,27.261242967565995,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 18:06:28.529268,2026-05-12 18:06:28.772721,0 days 00:00:00.243453,-42.560846162949375,48.60625881089383,37.212422073330046,34.91233185308964,33.201303399846886,37.648527454542105,-36.18792926894675,46.21297345672638,58.31429558556988,60.538600830580656,42.1470608266853,47.639498112629006,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 18:06:28.882929,2026-05-12 18:06:29.108423,0 days 00:00:00.225494,-34.14449054828233,84.30493260832546,67.53053768844326,58.252781063681326,25.491606302054347,15.417260090912679,-38.004832682500194,63.61595243376444,47.28382499606049,66.59987447359902,42.784029903892,23.661773858702766,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 18:06:29.214896,2026-05-12 18:06:29.476666,0 days 00:00:00.261770,-59.81306119813445,63.69156350896621,46.96373302562237,46.641811768465075,38.63133114993349,40.39038801588352,-45.697234089927406,56.42008067397977,60.18111147320141,39.27778044457769,49.719163701944815,58.15426718552209,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 18:06:29.596345,2026-05-12 18:06:29.904982,0 days 00:00:00.308637,-49.16246872867812,35.98916079780993,61.72994472153419,72.0445431702318,31.128590189059757,45.47418667435906,-54.71082392450381,50.34880925170657,66.95478081025863,52.543225641069576,32.98933645679618,57.388988356837245,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 18:06:30.030574,2026-05-12 18:06:30.321697,0 days 00:00:00.291123,-47.260086030351864,74.14800372288572,80.76513693693339,37.201896426928755,27.904576003808884,9.704376633850194,-67.55215506891669,27.708401230580872,56.74737816355589,80.20818218784275,37.4225017629609,49.427044525158514,Unfeasible shape,0.0,PRUNED
