,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 15:36:24.056122,2026-05-12 15:36:24.887157,0 days 00:00:00.831035,-59.01291401370358,25.137035170451856,55.22457878642751,35.95339052389282,17.370737704250796,28.78447397866986,-40.50355843255133,14.120060078766564,27.26805772740771,51.742634765705525,74.13329394318615,25.033188832466866,Unfeasible shape,,PRUNED
1,1,0.8768229356527314,2026-05-12 15:36:24.977771,2026-05-12 15:37:48.019803,0 days 00:01:23.042032,-58.67060725446109,18.92283056500628,42.62817034504585,42.2495362582188,23.191425614568157,43.47877207766652,-23.282612345681898,11.848455410549658,20.962692173364864,17.50625650816536,15.140348842073509,44.03261242324237,,,COMPLETE
2,2,0.8781750801774756,2026-05-12 15:37:49.706850,2026-05-12 15:39:04.026184,0 days 00:01:14.319334,-41.769543697257554,60.408059237336914,54.650162371659135,65.32057489324862,28.87880105005945,46.14900614434938,-37.78207999259774,55.258270591003374,36.81469332862795,68.03359613552237,22.640878885087627,38.11524242118152,,0.0,COMPLETE
3,3,0.8781778582566104,2026-05-12 15:39:05.189356,2026-05-12 15:40:12.935577,0 days 00:01:07.746221,-56.20274254067256,59.890914536383484,39.65703848697015,63.26376034498813,32.90968253935656,30.267346466324373,-66.13379253636298,77.5184849461394,68.51811144339203,50.83244145913472,34.974161794122075,21.108351195832395,,0.0,COMPLETE
4,4,140.0,2026-05-12 15:40:14.243942,2026-05-12 15:40:14.504995,0 days 00:00:00.261053,-49.622768359351795,58.98785181740404,65.72427400185762,45.12409098845189,41.16972291910514,39.59633454087881,-56.982209792053084,90.8939610765075,48.71396353500895,11.426654465974678,56.8316585372394,42.34297981215882,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 15:40:14.628745,2026-05-12 15:40:14.883455,0 days 00:00:00.254710,-58.36586549956639,30.26678216014749,35.4528455771404,60.56760054361878,24.820944528788033,40.73049745343855,-38.4025436361509,72.3750102914129,96.22807739013678,69.01348903605273,53.949550186135596,45.275891418090985,Unfeasible shape,0.0,PRUNED
6,6,0.8804192137241543,2026-05-12 15:40:15.010723,2026-05-12 15:41:29.139608,0 days 00:01:14.128885,-42.615489186377474,27.012203027588605,48.45336300364865,69.98313836422989,41.23034441465671,18.151835262189532,-41.14879820050298,28.42883752743966,31.348859947641593,31.233859374264643,35.27487849117015,14.974781560471168,,0.0,COMPLETE
7,7,0.8790873114284594,2026-05-12 15:41:30.480528,2026-05-12 15:42:41.621094,0 days 00:01:11.140566,-49.271370054139695,63.177910460250885,84.07963517215283,66.69865838846638,34.020745924557694,42.08593131986688,-36.97904305706701,60.351803734345815,62.56669338371195,66.96500498095686,43.170258354083806,45.708127588319364,,0.0,COMPLETE
8,8,0.8772834636422175,2026-05-12 15:42:43.201620,2026-05-12 15:43:53.121462,0 days 00:01:09.919842,-59.09320858740122,53.513088164957054,42.89728363165338,38.422088083001874,27.289829172607302,18.483705142941446,-58.155039434127346,36.12755376221669,53.005322398636835,54.02715501033249,41.06400584238591,58.960270506665516,,0.0,COMPLETE
9,9,0.8806420791668728,2026-05-12 15:43:54.554816,2026-05-12 15:45:07.765111,0 days 00:01:13.210295,-56.350760278729766,58.29441208416366,61.756814609932185,52.74019410291031,36.72440978442918,26.54543810949635,-46.629014632853426,43.14859702190156,39.01454636007594,74.15028560074029,31.697309827144966,49.43527560557148,,0.0,COMPLETE
