,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,22.926604549933202,2026-05-13 14:20:34.867144,2026-05-13 14:21:44.057682,0 days 00:01:09.190538,-74.50634776691913,38.247272538730385,14.519210885665348,88.44975797992174,16.64439153005105,8.414243315512863,-34.64745988984595,33.539894628020406,61.38354428686538,70.46963190813929,8.906214653670913,0.2712871480295892,,,COMPLETE
1,1,22.78372987330523,2026-05-13 14:21:45.433342,2026-05-13 14:22:52.355630,0 days 00:01:06.922288,-69.14837419708878,44.713776885273795,66.17228590696554,60.631072438356405,36.53958829138992,19.32571020594474,-48.04833430725049,64.18707894322758,47.10840349480071,53.45822285180614,33.897959341596895,45.919220533657345,,0.0,COMPLETE
2,2,140.0,2026-05-13 14:22:53.590948,2026-05-13 14:22:53.847169,0 days 00:00:00.256221,-57.04866918720915,36.73350789663171,86.28494402367163,48.566512061356725,45.70250025039361,22.522521339044815,-65.59495110198219,38.81388404945299,69.31680329075273,63.77301855452344,31.868416507603246,13.911995791941337,Unfeasible shape,0.0,PRUNED
3,3,23.087328725149643,2026-05-13 14:22:53.996940,2026-05-13 14:23:56.218410,0 days 00:01:02.221470,-45.6878031626938,34.347636128544465,67.21076940645727,61.489040088948606,14.003072790328012,41.20695325771226,-44.37224520951548,50.19713630042866,27.236229574668016,58.42994947467963,35.42363062812891,45.12652793507629,,0.0,COMPLETE
4,4,22.731420607318746,2026-05-13 14:23:57.412721,2026-05-13 14:25:03.242151,0 days 00:01:05.829430,-48.41911324604234,68.90813794266454,74.92479602837922,52.32570346303076,36.423931794950626,35.87113535942736,-57.826006218307285,30.451179638851194,34.474112847845674,70.22202623416914,36.058868990910284,35.62178159011004,,0.0,COMPLETE
5,5,22.862136770108393,2026-05-13 14:25:04.662469,2026-05-13 14:26:06.841951,0 days 00:01:02.179482,-40.67160967728003,36.075703625036745,83.71284363422811,43.194207448876135,35.708163999565976,45.29526802645028,-61.20748664504643,24.620478453063676,73.54124580565079,61.97325489380226,24.003743571820802,25.763383940559155,,0.0,COMPLETE
6,6,23.127815060377138,2026-05-13 14:26:08.075370,2026-05-13 14:27:10.479199,0 days 00:01:02.403829,-47.903409124381135,67.27019183993406,40.609428363412626,73.86504352803277,32.11194268189427,44.16344308493206,-49.440932998419456,83.4728454155535,55.20086288830662,32.98873999322663,46.87782309686906,18.603351145576557,,0.0,COMPLETE
7,7,23.52485194489957,2026-05-13 14:27:11.515392,2026-05-13 14:28:12.027169,0 days 00:01:00.511777,-45.072964966191215,45.34579545120622,36.40377872968395,48.899619147815194,30.34314452809659,45.364566819967216,-42.33893775138948,67.7842594654415,60.77560630450107,54.83908335095174,26.669356779817136,39.22762744266493,,0.0,COMPLETE
8,8,23.756080938971483,2026-05-13 14:28:13.112523,2026-05-13 14:29:18.105079,0 days 00:01:04.992556,-62.143502004763825,36.94465467484248,48.63499482539941,39.559873040154145,15.657575144581923,53.915229348200604,-33.50171060127143,46.88878810786145,58.743189896922715,82.77236771157254,39.189779363241264,28.089794080403347,,0.0,COMPLETE
9,9,23.305659993854185,2026-05-13 14:29:19.427399,2026-05-13 14:30:32.866865,0 days 00:01:13.439466,-59.8105188360309,49.15541929341253,76.70884433963218,27.915799728018573,30.0924819446918,49.882511886952926,-37.62390748657579,60.62104574778078,59.837432909073534,58.012928372298084,50.515013404781314,57.590440382499885,,0.0,COMPLETE
