,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,140.0,2026-05-12 18:02:20.609582,2026-05-12 18:02:21.427852,0 days 00:00:00.818270,-77.0646303653607,94.61808206457164,41.02424402888306,34.752445627876696,71.14946874801468,0.6972138866196936,-38.38743873939643,17.70447970961645,86.05051942664159,77.63384803169662,36.25583187221801,54.23358989879365,Unfeasible shape,PRUNED
1,1,140.0,2026-05-12 18:02:21.522763,2026-05-12 18:02:21.818289,0 days 00:00:00.295526,-33.32219559667908,86.00371456500969,84.11576642794346,10.649226806167881,8.341085345267608,50.54135500271276,-65.27434127340723,73.67615405518826,93.05744974354874,55.50483607573278,1.7066219384001324,18.998215921122018,Unfeasible shape,PRUNED
2,2,140.0,2026-05-12 18:02:21.921684,2026-05-12 18:02:22.175795,0 days 00:00:00.254111,-40.48911742466465,57.29841983102714,71.48948294156375,73.62270040337472,3.1404003938410945,54.22250686862118,-61.798579729315186,60.709202575927264,94.94235822917038,63.89897854399241,47.288827938594544,35.056861152437754,Unfeasible shape,PRUNED
3,3,140.0,2026-05-12 18:02:22.273791,2026-05-12 18:02:22.564672,0 days 00:00:00.290881,-32.285457948181104,97.40446057978518,20.466982431259044,11.174186291426652,47.37676309652969,23.960683095725617,-31.209002833255305,29.488511103932968,15.41168012221917,58.25955995211604,29.51726603851352,66.49255147376441,Unfeasible shape,PRUNED
4,4,140.0,2026-05-12 18:02:22.656445,2026-05-12 18:02:22.930902,0 days 00:00:00.274457,-27.435866589935628,51.03554129431199,31.081074302592445,73.28938473400085,29.2499177063069,30.72420543069099,-33.522213606278896,11.36718431880579,42.323793377641096,80.82846982556677,66.42508686849843,45.16468451036851,Unfeasible shape,PRUNED
5,5,140.0,2026-05-12 18:02:23.023257,2026-05-12 18:02:23.271024,0 days 00:00:00.247767,-43.77815744119731,57.33069533814404,77.075345115904,62.04219637757149,49.73926100344587,15.974068069569421,-24.012497638101678,20.338624455717934,41.45947040602767,47.158998453709266,52.998847434426835,70.89025076379092,Unfeasible shape,PRUNED
6,6,140.0,2026-05-12 18:02:23.373810,2026-05-12 18:02:23.652354,0 days 00:00:00.278544,-66.59548504604166,90.238402527099,74.84546747709064,72.02878072321636,48.454464102415386,17.708066087712936,-26.118744898228805,58.94156975186766,38.598984250597745,91.1586396767973,38.858566392832344,24.15762184096946,Unfeasible shape,PRUNED
7,7,140.0,2026-05-12 18:02:23.770601,2026-05-12 18:02:24.035459,0 days 00:00:00.264858,-24.948750928160685,36.02707457522379,82.83986518606493,81.63955270222922,46.03708082557292,36.479031656756206,-48.4965223247336,55.64315273360139,75.91640074956518,67.27625892371522,50.02966102192669,62.39066335965294,Unfeasible shape,PRUNED
8,8,140.0,2026-05-12 18:02:24.124123,2026-05-12 18:02:24.423826,0 days 00:00:00.299703,-28.444802319827367,25.451396421705216,57.69700839312551,53.75415486705645,37.81103258624624,27.403173271141625,-54.97987494939291,31.325700533362326,14.898412470727777,41.90792468369516,45.224698932029845,64.92487110238248,Unfeasible shape,PRUNED
9,9,140.0,2026-05-12 18:02:24.521524,2026-05-12 18:02:24.776532,0 days 00:00:00.255008,-35.859610505620886,46.366214972385244,58.18546530436732,66.86945271678738,23.7619924014113,10.24111783508475,-79.99621429110952,41.37240517484483,73.4009174592442,66.98659557783034,72.45713371114779,59.85845638194609,Unfeasible shape,PRUNED
