,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,17.47674989864572,2026-04-21 10:36:24.130300,2026-04-21 10:36:32.940237,0 days 00:00:08.809937,-24.74307961402392,12.423822894457732,68.49690525207771,29.86446116300725,49.18732865787483,11.558326599064387,-51.4849184890251,89.2515975953617,12.27350502012587,18.677271947677546,35.00942989215816,10.836069624058936,Unattained target,RandomSampler,PRUNED
1,1,0.015252886443860803,2026-04-21 10:36:33.083912,2026-04-21 10:36:46.924992,0 days 00:00:13.841080,-63.24492726853322,72.23992606783328,11.83622770222955,40.73126034960641,30.816035039653077,14.148256770490873,-34.78935332643781,24.053367783746864,64.30119074503122,54.76195488698047,30.96099887666036,23.9560917170877,,RandomSampler,COMPLETE
2,2,0.004977457943610375,2026-04-21 10:36:48.347767,2026-04-21 10:37:01.363808,0 days 00:00:13.016041,-75.09526309689096,71.83666903550721,53.57157279339393,15.374866200374733,39.24646210857445,10.68853191726487,-35.983823108715214,58.35372501292694,72.55322979028925,18.96137767449472,44.37834684042435,18.799548192646306,,GPSampler,COMPLETE
3,3,6.0,2026-04-21 10:37:02.317318,2026-04-21 10:37:02.925636,0 days 00:00:00.608318,-27.043647887669103,84.21553860998655,92.90761410382794,18.818532426407465,42.70562087365063,12.067351450061164,-58.798172838708,22.715955011915934,64.46353752840061,10.862598660808727,33.84672899054987,13.153574000182264,Unfeasible shape,GPSampler,PRUNED
4,4,8.919735797439202,2026-04-21 10:37:03.090138,2026-04-21 10:37:09.980820,0 days 00:00:06.890682,-75.69062631543898,82.36986724019827,97.2461988882544,39.80481436588882,48.04117667865748,14.766651386575669,-28.915284411428736,27.83821680542021,87.02077871577853,38.794684122405386,41.49022305188332,21.77090174521762,Unattained target,GPSampler,PRUNED
5,5,6.0,2026-04-21 10:37:10.113379,2026-04-21 10:37:10.195720,0 days 00:00:00.082341,-53.40172939821984,30.137390979810103,31.79847490264028,90.09351909553975,32.39541487386346,23.71400955456648,-48.6841477354431,80.52414931297696,94.59500974038292,25.753171279661228,47.04108870294574,28.420607739235816,Unfeasible shape,GPSampler,PRUNED
6,6,0.048432265616444425,2026-04-21 10:37:10.382601,2026-04-21 10:37:23.468975,0 days 00:00:13.086374,-65.4341696264895,20.744407061452268,32.730505004260976,53.67350766706049,46.13125338566108,20.34641263694219,-48.255429370200716,29.212918157047024,20.465808548062277,47.384250806801994,32.816210786538896,15.461781834878783,,GPSampler,COMPLETE
7,7,0.015413714727316119,2026-04-21 10:37:24.639201,2026-04-21 10:37:37.479577,0 days 00:00:12.840376,-77.28385435796045,80.83606565130675,40.023864613563674,49.77147414494139,30.994581894929073,14.515514776043707,-48.97853868002986,84.58092110093467,94.461441740399,93.7504308647794,44.799063199955974,16.443484061001055,,GPSampler,COMPLETE
8,8,0.00042595876384865505,2026-04-21 10:37:38.397188,2026-04-21 10:37:50.320479,0 days 00:00:11.923291,-71.98363643946448,82.96936154613951,49.65326062461645,76.55071534432989,49.24830178461521,11.574984974036926,-40.54352934747109,74.50516864782958,34.074946430963536,71.80877684377447,35.49363764625943,29.997104012195894,,GPSampler,COMPLETE
9,9,0.0005183673440498637,2026-04-21 10:37:51.824637,2026-04-21 10:38:04.123516,0 days 00:00:12.298879,-54.69802478302681,89.35029297188423,26.18447819325953,57.95635040842088,33.19857589564858,28.409251242420563,-55.9688455850801,50.813954951261124,63.39229377332552,62.05725911266104,48.96912589747629,25.740064237485146,,GPSampler,COMPLETE
10,10,8.14282097324195,2026-04-21 10:38:05.478564,2026-04-21 10:38:12.200412,0 days 00:00:06.721848,-57.48077966750799,74.2343469152585,85.1244395468256,66.52179418167698,38.69270123201663,14.13017079568493,-58.45653345398189,70.82522835484494,73.52416394792994,78.25023652126517,37.81884373783925,27.680794219659166,Unattained target,GPSampler,PRUNED
11,11,0.006192725213328032,2026-04-21 10:38:12.337503,2026-04-21 10:38:24.989190,0 days 00:00:12.651687,-35.396604678321246,52.005374040762426,18.7730352905268,89.51708838850082,38.58985642609758,17.856845641795825,-45.07604249792378,13.609198576078363,95.70756828658827,73.15790605443433,35.6224161056226,19.59989238785278,,GPSampler,COMPLETE
