,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 17:46:36.454684,2026-05-18 17:46:37.092236,0 days 00:00:00.637552,99.6150398544736,72.08324115207844,175.59836215956992,-81.45006837900063,44.45870794543305,124.93285507958845,115.66613475113374,-17.79531318212402,47.88810200614025,129.21205348413505,1.0777731259566914,9.439461342934953,-39.789275643191466,85.13104257044901,53.537208180040075,139.4677471606341,-56.4017052044476,102.97852158307175,Unfeasible shape,RandomSampler,PRUNED
1,1,,2026-05-18 17:46:37.218663,2026-05-18 17:46:37.473246,0 days 00:00:00.254583,180.72161886205424,163.26744203518837,53.70762532469638,-61.3771665820185,184.0121057937816,92.9600020269325,43.36145303268319,-47.10183191997176,149.9284680782511,180.04826043153355,189.66143233181552,54.82000652576917,-57.51533079742053,14.28521050042978,174.97681060821083,86.52310346912115,-35.91383139269276,15.63124481099106,Unfeasible shape,RandomSampler,PRUNED
2,2,,2026-05-18 17:46:37.603480,2026-05-18 17:46:37.909238,0 days 00:00:00.305758,103.98911134887672,104.15242916165282,32.6879854713562,-24.519605816948413,193.297104291236,83.41273300552419,3.806775031452458,-17.59820428842734,157.31295282952217,22.726712979178824,146.18666230602852,99.46036310007642,-80.74216765137975,40.579942667966336,55.05438555234144,7.417386474944935,15.711958367602946,92.06598694512485,Unfeasible shape,RandomSampler,PRUNED
3,3,,2026-05-18 17:46:38.039266,2026-05-18 17:46:38.293939,0 days 00:00:00.254673,14.363233308438781,185.77178082175578,121.64432157772765,-47.68769068809749,74.73373361648845,123.94840233410766,21.808394623956442,-44.16575085380555,131.30285371856326,22.66976497962026,117.14368630680444,191.58768525320005,-61.407674561564235,138.50739665215522,57.5046627516169,51.91853263672875,13.382322480890494,92.66855725897778,Unfeasible shape,RandomSampler,PRUNED
4,4,,2026-05-18 17:46:38.462796,2026-05-18 17:46:38.748348,0 days 00:00:00.285552,46.88749311823874,178.39251019041967,53.18154701867568,-69.08487704667284,23.65321104370813,185.85818164339767,6.1459120816897865,-18.819008747465098,124.83901830434465,43.26537715735859,128.65510748079294,56.43075771018471,-83.27919462326558,112.10271217372883,12.381150222049666,196.81483384124496,-22.06556087404703,36.30617453976106,Unfeasible shape,RandomSampler,PRUNED
5,5,,2026-05-18 17:46:38.876752,2026-05-18 17:46:39.141322,0 days 00:00:00.264570,49.09794937570443,153.5257639887205,167.0734358572803,-56.21372641760211,64.99537913371711,121.29620458656385,156.7931907650397,-38.47359213194463,87.56661887725456,195.88478411473656,78.8741578111511,61.41220666174773,-52.86632104803335,161.14830672694598,180.46058189410365,197.4892136882884,-21.9862936717536,66.08852824876826,Unfeasible shape,RandomSampler,PRUNED
6,6,,2026-05-18 17:46:39.285318,2026-05-18 17:46:39.595534,0 days 00:00:00.310216,16.06748648593164,20.11070132321205,134.186550990878,-0.28224914614359875,151.11489638065862,165.0852960889853,5.6541595866995085,-14.904876162343896,-4.149782685772392,16.906563389106736,175.21230728917408,33.33528615016522,-43.07055012761061,119.78788149280315,1.1252570243691953,139.2256552514011,15.375454633296343,16.052502347501218,Unfeasible shape,RandomSampler,PRUNED
7,7,16.027618807808487,2026-05-18 17:46:39.740331,2026-05-18 17:47:41.133444,0 days 00:01:01.393113,157.26737803686368,134.61916177941936,69.16659205327123,-87.58754066315882,182.0574668285244,195.4231073277848,134.604230210085,9.160565962878024,6.006493685989572,133.59515045787901,46.53738230034932,35.17679280722061,-72.53408565077095,12.143180653188587,79.47294738057256,102.50852061062098,-21.468839131212,61.06867551728857,,RandomSampler,COMPLETE
8,8,,2026-05-18 17:47:43.181517,2026-05-18 17:47:43.402803,0 days 00:00:00.221286,194.81701224593857,134.5250352267287,198.8786070084507,-2.4888846368938147,13.652470369907277,41.10895542452046,98.4692731735614,-28.19012835218432,126.66649823536471,32.59897409342822,107.04408899979457,22.677857739282565,-43.85267308852843,124.01767483886348,97.7316927767849,64.45259905875129,-2.1651288073182684,73.03911192003842,Unfeasible shape,GPSampler,PRUNED
9,9,,2026-05-18 17:47:43.552464,2026-05-18 17:47:43.793464,0 days 00:00:00.241000,97.3874411398245,73.94200413264069,159.60268073225387,-10.01633635394704,174.19368153006664,54.48291177145623,185.29010094775327,9.836677876729723,30.015432345307275,158.37342691188653,66.07463153395426,166.55906382845342,-14.356369653960996,93.2576043396942,71.09666643358412,168.89196852934782,20.557975064076913,13.023811417195862,Unfeasible shape,GPSampler,PRUNED
10,10,,2026-05-18 17:47:43.930486,2026-05-18 17:47:44.228201,0 days 00:00:00.297715,173.75698073925417,197.26761712495716,71.80962399811524,-34.57108884165129,95.5396267396523,63.58767036984544,12.56968814553373,-43.09174446326777,25.99740253691637,103.68156840162729,24.741542525511523,192.77974240363292,-2.0729122003505154,79.16390198440477,24.69127369052505,143.80646651989832,8.189331136163716,35.527542216066344,Unfeasible shape,GPSampler,PRUNED
11,11,,2026-05-18 17:47:44.362498,2026-05-18 17:47:44.674350,0 days 00:00:00.311852,149.5278959966319,82.11107431867055,141.82975147998903,-9.95572355023441,199.29837287909888,165.6384253244373,12.642003436599328,-11.590490792956771,59.38557357652789,43.475538091707335,139.22161791114297,11.590514656295227,-85.95893112670296,135.18935212849053,181.1731139842142,7.048042391026596,4.933765945755226,58.434105711369284,Unfeasible shape,GPSampler,PRUNED
12,12,,2026-05-18 17:47:44.814530,2026-05-18 17:47:45.115245,0 days 00:00:00.300715,70.31651970490559,56.819333835704214,88.15199590241755,-16.41914083987288,43.464845369663074,85.9307114789402,72.73920285536556,-54.16151019276637,3.7431396892960755,161.5098826210776,54.74956731399786,191.76161221934638,-26.428619494103685,133.68924796032118,20.739500480072763,199.20953593847375,-26.088406750677578,45.678688843316706,Unfeasible shape,GPSampler,PRUNED
13,13,,2026-05-18 17:47:45.271604,2026-05-18 17:47:45.587693,0 days 00:00:00.316089,138.452546106006,72.6596099626222,32.76548766100234,-1.4817382175087062,167.56523804817388,137.47418185319077,48.49357166115531,-30.343212942427236,3.6208602111312853,72.80187564093019,118.15650054999433,74.11296269067203,-45.08635114613168,55.49677058632756,99.4346973700915,170.7580301996683,-51.217551714519324,103.45990188874214,Unfeasible shape,GPSampler,PRUNED
14,14,,2026-05-18 17:47:45.725185,2026-05-18 17:47:46.304563,0 days 00:00:00.579378,167.64567786441322,153.54927972786757,98.0825137733822,-66.9402692348901,140.75553347760635,187.1589927486112,144.66154001873792,20.670094344357793,20.415805641315735,192.04744247243215,174.23594225180716,48.5095618926264,-74.19945867750722,20.593284371867295,179.36511366623333,1.2993362692713568,-15.339439623486037,23.73672542655752,Unfeasible shape,GPSampler,PRUNED
