,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 17:22:23.789909,2026-05-12 17:22:24.662680,0 days 00:00:00.872771,-53.528719965220716,12.736399105000338,34.940764055310694,26.421010432469153,48.87047559022135,65.10717051689791,-72.43599679103774,30.697795802506953,48.057200393962724,33.969185948053926,28.285754722926352,29.024585950188797,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 17:22:24.756898,2026-05-12 17:22:25.008562,0 days 00:00:00.251664,-37.027908240284475,44.286227472621995,43.957603293196506,15.604139874598456,22.508385048247035,58.817374424924616,-20.71046114630863,47.61435738895565,52.440312951806824,31.436967236036857,25.179781488542613,56.057521746747476,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 17:22:25.105087,2026-05-12 17:22:25.344886,0 days 00:00:00.239799,-43.895522233268366,34.105708109252674,67.34880468554987,54.7050858203543,39.374161600696816,5.445338091833688,-55.42099637791126,54.53489774143401,91.27200761998637,53.281331125603856,63.51846053894658,21.691813652010076,Unfeasible shape,,PRUNED
3,3,2.142952814926386,2026-05-12 17:22:25.444730,2026-05-12 17:23:30.867096,0 days 00:01:05.422366,-60.671098954176145,53.241888072364134,48.94998948856518,91.71807705470145,16.387051702605387,25.39316207973981,-76.65034610681904,92.73617077856167,82.04660242231976,59.52015619835963,25.811226963141177,10.42906608932853,,,COMPLETE
4,4,140.0,2026-05-12 17:23:32.402620,2026-05-12 17:23:32.893768,0 days 00:00:00.491148,-39.07965006448001,91.7203914188528,75.35665338580093,55.84457735274629,56.964842286513786,34.684254220951864,-39.67077737309793,48.10755446477325,46.66434081979777,27.759201018992947,40.04416347557188,33.33541570365127,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 17:23:33.031292,2026-05-12 17:23:33.291664,0 days 00:00:00.260372,-47.86683576750806,36.461733108197734,52.069503859937505,57.57863035810853,21.533399033884944,24.334291279837682,-30.210519141422004,40.69819297247003,40.56539149393926,47.43561019273787,42.354369356915754,22.618830371611327,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 17:23:33.404520,2026-05-12 17:23:33.660328,0 days 00:00:00.255808,-60.83473378998613,61.10059886265152,45.893155949115716,50.39509034737106,27.632860924836812,29.814791369187382,-42.17193821981605,65.54582014264813,83.0470423964159,44.985561049341335,49.32892705847527,62.83794909017818,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 17:23:33.758466,2026-05-12 17:23:34.087875,0 days 00:00:00.329409,-63.11163036621892,48.17698010210403,58.692818892895566,60.91994824210012,36.5263984975314,22.481333517280756,-51.92934594843872,55.61606689648739,47.500606995573094,63.872759200796516,47.4145787544163,36.25735246548223,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 17:23:34.215344,2026-05-12 17:23:34.494522,0 days 00:00:00.279178,-41.52638749595789,67.7747617316946,35.17879039610075,63.37797312685169,44.54288223347566,55.51784100796374,-32.98318678504622,57.67702068162701,42.46325991001111,49.827727062091775,59.30221312089553,47.17888533362871,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 17:23:34.617228,2026-05-12 17:23:34.866786,0 days 00:00:00.249558,-61.17798593884822,69.02771582566537,32.01179772876029,41.75513606908126,59.86692834847838,60.16757234723935,-46.95908006911356,37.614003661308736,57.59688120850082,34.40454856600209,37.70147086617241,37.084107709357966,Unfeasible shape,0.0,PRUNED
