,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-22 16:30:24.313126,2026-04-22 16:30:25.043996,0 days 00:00:00.730870,-40.46513975383132,31.879871367786965,70.14188452937387,68.48740034790617,42.92991323006302,44.4861439261806,-63.34133854906287,94.18146470089032,74.64335372405003,92.54185727673693,-24.363575592366672,45.73171101996639,Unfeasible shape,RandomSampler,PRUNED
1,1,6.0,2026-04-22 16:30:25.161053,2026-04-22 16:30:25.203317,0 days 00:00:00.042264,-53.6216829242111,21.147502249450174,59.60815115944007,58.236376361192846,55.76212023768598,17.089420142447793,-79.37956905147715,24.378621605598553,40.179317900727014,61.32382953048373,-10.520329202182968,15.075562493645723,Unfeasible shape,RandomSampler,PRUNED
2,2,6.0,2026-04-22 16:30:25.354633,2026-04-22 16:30:25.417651,0 days 00:00:00.063018,-75.57634863423141,10.844462436427104,95.71775248101783,29.87906961383594,60.73162890309011,21.34417801697203,-27.153023391801852,27.17727697372964,30.412373353714756,79.33061549520477,23.360395664030825,56.154467578953145,Unfeasible shape,RandomSampler,PRUNED
3,3,6.0,2026-04-22 16:30:25.563819,2026-04-22 16:30:26.655072,0 days 00:00:01.091253,-72.74486277930579,76.71598755448673,43.541249344654965,21.688354396205764,44.49481512146381,47.3128448197032,-65.57247094542262,20.945254145652253,82.49664410811343,82.79394660772373,13.479481447426075,28.249109283563286,Unfeasible shape,RandomSampler,PRUNED
4,4,6.0,2026-04-22 16:30:26.790256,2026-04-22 16:30:26.855924,0 days 00:00:00.065668,-65.68731075786992,44.218468511351674,70.56427941599239,61.76472462163784,29.937943794322706,37.90993076150042,-75.53199786907103,34.613467973596414,89.64257833797598,49.199514319149706,-26.065157477958927,49.31202801740277,Unfeasible shape,RandomSampler,PRUNED
5,5,6.0,2026-04-22 16:30:26.986904,2026-04-22 16:30:27.079058,0 days 00:00:00.092154,-26.624541707836094,37.537605563819305,62.60658884306155,96.84601790382217,59.79730230994596,56.690855394299945,-25.737218119031695,48.08743591271828,80.20208283074471,73.84026778314336,-27.48859166915694,1.3682321393682777,Unfeasible shape,RandomSampler,PRUNED
6,6,6.0,2026-04-22 16:30:27.204109,2026-04-22 16:30:27.307994,0 days 00:00:00.103885,-78.3722904550198,83.7155047896011,54.85025901565891,80.00667012709866,51.42139695445274,61.792212959054226,-60.7993439666803,32.63431032084091,35.847693650712856,56.530990145347836,11.531755500724799,6.6344928244777,Unfeasible shape,RandomSampler,PRUNED
7,7,6.0,2026-04-22 16:30:27.429892,2026-04-22 16:30:27.506597,0 days 00:00:00.076705,-53.17313988804031,80.80080272747547,96.96803022009483,93.39192264132102,28.49504342153977,57.33843912361114,-70.87268949001563,64.79309075477587,46.89918936629819,71.78030556406999,-28.237946334524523,30.630675059633823,Unfeasible shape,RandomSampler,PRUNED
8,8,6.0,2026-04-22 16:30:27.657205,2026-04-22 16:30:27.724207,0 days 00:00:00.067002,-24.99220072558147,33.75687841609579,52.63867899435944,37.82671062732393,50.74997200279489,-10.029576626121678,-36.239293235243004,94.26923829028404,47.16088188408548,78.24715452303555,-8.643066009176465,58.04066099467768,Unfeasible shape,RandomSampler,PRUNED
9,9,6.0,2026-04-22 16:30:27.851846,2026-04-22 16:30:27.956075,0 days 00:00:00.104229,-24.16572718108938,59.941952392628714,68.42435349731451,23.1791997900109,54.35910455378168,-23.317832893383756,-35.03262096876125,47.16147305576875,95.93152290519603,45.79661140789648,-12.763122989407819,56.418282150761584,Unfeasible shape,RandomSampler,PRUNED
10,10,6.0,2026-04-22 16:30:28.082021,2026-04-22 16:30:28.187619,0 days 00:00:00.105598,-23.007936032627825,63.853753520780494,82.53029926872188,46.66830155083229,13.996943175988221,60.777896607181205,-45.65044174518757,49.570139349428885,36.57046348399123,91.81500593409305,16.630857215847023,19.823772260245438,Unfeasible shape,RandomSampler,PRUNED
11,11,6.0,2026-04-22 16:30:28.313984,2026-04-22 16:30:28.376338,0 days 00:00:00.062354,-68.19803227781765,72.45630817635848,48.478711417482295,16.048133342258158,7.798623817914908,33.24254317601793,-66.66481951367017,47.43458090053853,26.42821284725628,56.22084121339688,-14.51751560642718,11.856669423662968,Unfeasible shape,RandomSampler,PRUNED
