,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-01-30 17:27:21.302448,2026-01-30 17:27:21.573754,0 days 00:00:00.271306,30.27646313103551,52.50880928640108,27.605284192732363,-57.86145166813969,37.217765107959174,85.53169113386048,52.112819112067626,47.278744901880366,19.44510545170653,90.0,42.3343472572242,28.40038832154154,82.56619449116623,-55.34291775911525,73.63697078738,96.55055424704953,30.533245777158857,35.6132962359174,18.89561803602753,5.0,Unfeasible shape,RandomSampler,PRUNED
1,1,6.0,2026-01-30 17:27:21.686104,2026-01-30 17:27:21.733616,0 days 00:00:00.047512,58.83755769226993,95.41079681321631,65.00647768285826,-35.06753089815604,44.32329780923495,31.73441475993025,98.71836825597455,37.58344576097595,19.898864753710534,100.0,98.30521285491542,34.662389141444294,88.7253375177468,-41.185362669075175,56.76981881747457,65.45723677341971,94.89730529167684,45.0548966225503,13.210729162019847,5.0,Unfeasible shape,RandomSampler,PRUNED
2,2,6.0,2026-01-30 17:27:21.843495,2026-01-30 17:27:21.952402,0 days 00:00:00.108907,32.30451620808573,85.46847275360675,16.78302237904548,-21.117992879819276,62.250859418591425,25.281054513970457,33.00976988519956,36.22935746736813,22.346791338097326,85.0,83.9707273902341,44.07017901159199,28.76295964672045,-35.884663105766094,52.13057858324992,80.7541441200341,12.3783706234775,42.64222181479373,14.630693182036964,10.0,Unfeasible shape,RandomSampler,PRUNED
3,3,8.752789505744843,2026-01-30 17:27:22.068758,2026-01-30 17:27:25.543151,0 days 00:00:03.474393,66.23355709824526,13.341095572345314,81.0401625881011,-72.91316533750185,56.011892249995185,84.67610275915834,57.53420124090811,48.00480572914124,15.38915581515855,95.0,87.8043395239272,87.09774903286332,24.641960782859535,-60.54982981499812,53.835610787152945,50.4766218057471,52.616542232385314,42.212846090974516,25.676532125665638,5.0,Unattained target,RandomSampler,PRUNED
4,4,9.900658548486497,2026-01-30 17:27:25.671221,2026-01-30 17:27:29.402795,0 days 00:00:03.731574,37.109693101232494,88.60853584169088,45.95219119173046,-65.08702468806663,47.3936307118497,77.00405001113916,56.522654711735264,35.219379329955025,14.377826707763187,100.0,21.118535044341108,70.79753353253369,19.04775115900852,-46.787673234932996,79.35555232322382,41.72106668773209,12.87529130851571,35.16692794718764,24.534068993190825,5.0,Unattained target,RandomSampler,PRUNED
5,5,13.793083104352505,2026-01-30 17:27:29.517669,2026-01-30 17:27:32.952368,0 days 00:00:03.434699,37.12811331365396,34.2732379046041,16.549370779503448,-45.70017606205445,97.4638643582555,37.5615180593971,40.45254788092107,48.61889331396763,22.315289446787766,115.0,50.98356913598898,12.580563161303186,66.80152804091409,-43.12947647903569,47.1820612156852,22.127580378279106,36.604661660994665,46.81249959366586,18.819469631680324,5.0,Unattained target,RandomSampler,PRUNED
6,6,6.0,2026-01-30 17:27:33.052567,2026-01-30 17:27:33.107071,0 days 00:00:00.054504,37.57526545463388,37.541571025226865,29.14458191090442,-37.000551262874616,60.8507432243141,93.35805170467172,85.34977460976467,40.61808428897497,26.75400234342195,70.0,84.32492746552379,37.71229731164469,92.0612443702495,-50.28530239547397,86.854306222866,31.263304933686452,80.83499444539792,42.61252627799037,23.157510040754694,10.0,Unfeasible shape,RandomSampler,PRUNED
7,7,7.429886185272892,2026-01-30 17:27:33.222212,2026-01-30 17:27:36.782015,0 days 00:00:03.559803,29.020491014532617,78.78711873984531,38.40873749689143,-78.25389892606127,80.52961444572554,90.33694176621525,27.912849046079064,37.188983662400375,19.62279833422982,100.0,67.66835392362151,34.467293277411216,61.358262031047175,-64.01258612376782,79.1306047817418,22.13581422413231,53.98656220952374,42.26964921739713,19.536918546160425,5.0,Unattained target,RandomSampler,PRUNED
8,8,6.0,2026-01-30 17:27:36.892021,2026-01-30 17:27:36.957360,0 days 00:00:00.065339,64.6602254953849,12.473279946929852,92.39075786095759,-52.64942782546365,80.26192177432817,41.647193684470444,46.63124219997412,40.91854609378817,11.322756760461496,80.0,80.19911568744625,82.96208606781349,65.41017076023009,-59.620359583417,52.375744157942165,78.98075429235287,48.27114373608622,38.51987591173666,25.450274858938144,10.0,Unfeasible shape,RandomSampler,PRUNED
9,9,6.0,2026-01-30 17:27:37.069781,2026-01-30 17:27:37.150931,0 days 00:00:00.081150,22.193688489035207,81.81661472269082,54.35670087617628,-26.591580500226264,24.31068955379121,82.16937473092635,25.020203973477816,39.804817810440674,28.81082084536083,120.0,31.27786080422586,77.42614996287483,66.04595851130605,-21.171743968201362,93.65721358959965,11.755943849393269,15.761605132946354,43.21677015575126,16.06155096653105,5.0,Unfeasible shape,RandomSampler,PRUNED
