,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,state
0,0,140.0,2026-05-13 09:55:28.732343,2026-05-13 09:55:30.457070,0 days 00:00:01.724727,-50.789878037209135,46.723073155715205,61.31458514683823,76.22647107261382,61.97625973912723,45.47167073554269,-34.34168776144599,35.81845103546868,35.44223710535948,21.99936285801034,41.69241622848889,48.98165181016944,Unfeasible shape,,,,,,,PRUNED
1,1,8.772317393751692,2026-05-13 09:55:30.542945,2026-05-13 09:55:46.033287,0 days 00:00:15.490342,-33.45880806689274,95.41856960870949,24.703563343442553,22.791821492176087,64.07084607642193,38.43790182924768,-75.00929994473555,74.91066899505616,13.658513249645138,52.562578889630686,53.91660793884715,31.9767790842194,,,,,,,,COMPLETE
2,2,8.77686320368192,2026-05-13 09:55:47.269890,2026-05-13 09:56:04.528403,0 days 00:00:17.258513,-52.75909406414072,58.02023667931049,49.74399556783694,75.00849581273297,17.19050425898376,53.82575689441844,-41.6232792209524,74.38529864271368,45.228476230504064,60.322021223621036,38.96445384016304,51.83009376483445,,0.0,,,,,,COMPLETE
3,3,8.832389355420503,2026-05-13 09:56:05.659081,2026-05-13 09:56:21.246656,0 days 00:00:15.587575,-51.475442075210516,47.91327166308511,68.02520909383455,57.20702445525607,32.956272017983586,19.97864762867958,-42.83262043115117,27.480821185623558,59.21034302314687,42.87097120039823,40.30934840227684,15.53100964540303,,0.0,,,,,,COMPLETE
4,4,8.769484974148313,2026-05-13 09:56:22.341514,2026-05-13 09:56:39.369817,0 days 00:00:17.028303,-57.61372679789085,63.67315375099976,49.91792418893685,43.33853633414283,40.189135856964036,61.06149556264552,-49.130724773862866,61.6934714868283,45.49835218368639,74.26735305839544,27.25239712643334,38.92607921610637,,0.0,,,,,,COMPLETE
5,5,8.763428193141529,2026-05-13 09:56:40.503341,2026-05-13 09:56:58.996785,0 days 00:00:18.493444,-46.69366781159199,63.555503807960314,30.152268805535705,45.25484950154542,21.420868006921005,69.18355875206491,-63.509031587836674,50.08333252321157,60.6593768438271,71.92855112815043,12.290102588967295,40.34856492352567,,0.0,,,,,,COMPLETE
6,6,140.0,2026-05-13 09:57:00.374078,2026-05-13 09:57:00.618900,0 days 00:00:00.244822,-48.76831194348506,64.34384990644904,45.50219975866448,47.0500426565237,30.37484941037769,21.55676544365299,-42.65942092487183,15.27530344691664,85.21052405123592,55.3508728786997,26.6226482653441,36.53355802192177,Unfeasible shape,0.0,,,,,,PRUNED
7,7,8.778997377113413,2026-05-13 09:57:00.751022,2026-05-13 09:57:15.946027,0 days 00:00:15.195005,-34.68913020385931,21.10348678813797,75.09730708280861,33.26716235410949,34.90343045279349,53.00454488146936,-45.011334857027585,42.81955761486466,58.939243791224044,57.16003210926098,49.12863526996102,47.23306200035013,,0.0,,,,,,COMPLETE
8,8,8.831492315911248,2026-05-13 09:57:17.341997,2026-05-13 09:57:35.831391,0 days 00:00:18.489394,-50.014202532773666,49.50714538761894,89.36742642262715,59.042057697091046,26.329657195234976,30.039051665948264,-65.39867207580096,32.230437639281405,50.99049867589352,46.105799013148946,38.89860454323761,53.93817492370938,,0.0,,,,,,COMPLETE
9,9,8.780616972043632,2026-05-13 09:57:37.400095,2026-05-13 09:57:51.052190,0 days 00:00:13.652095,-45.519925201045965,49.55414520130148,68.830518689446,51.86868466154607,19.63004359800428,49.59725995647067,-52.13598825167326,54.44621334456861,56.40704340997514,62.95391437681432,33.807362008189855,38.57215820027129,,0.0,,,,,,COMPLETE
10,10,8.805252388062229,2026-05-13 09:57:52.329363,2026-05-13 09:58:08.661732,0 days 00:00:16.332369,-52.651235420328454,71.91237765076843,46.97602389764733,53.09519436335052,49.696532334984795,35.2700472336215,-49.20592916030019,59.51512034550023,28.8223421438698,34.12993233683268,47.00345638663407,25.75405755915056,,0.0,,,,,,COMPLETE
11,11,8.77785429098784,2026-05-13 09:58:09.846796,2026-05-13 09:58:22.781379,0 days 00:00:12.934583,-27.634609999570785,60.539059863959125,63.148564898216584,23.61077295104626,38.178163313631316,39.547442390098176,-67.97673266056816,80.16644993558688,64.31612810764665,54.8624458519817,19.325620191887097,16.24179826506244,,0.0,,,,,,COMPLETE
12,12,8.829487096930379,2026-05-13 09:58:23.921218,2026-05-13 09:58:38.121338,0 days 00:00:14.200120,-59.523976928564394,51.66369416702603,80.1123385638638,50.742852779821916,35.936005250761525,32.934103462058076,-24.68845027820545,42.75015735681647,42.018182470002046,65.67875060444116,16.847577375086722,19.62950923664639,,0.0,,,,,,COMPLETE
13,13,8.850217421818066,2026-05-13 09:58:39.351135,2026-05-13 09:58:55.274260,0 days 00:00:15.923125,-49.319840342222406,56.979308139369664,65.322552719796,57.55713734047775,54.59486870299949,41.74604540132176,-48.61635216855895,72.89592725997849,44.15548768800219,67.37261075009664,45.07384185313171,33.92367483131749,,0.0,,,,,,COMPLETE
14,14,8.762651218887328,2026-05-13 09:58:56.649675,2026-05-13 09:59:11.496426,0 days 00:00:14.846751,-53.29810417712387,47.14443666909922,39.0543262489015,39.23756534438044,20.797442952893558,57.93673029078607,-37.3624773211498,82.70007146475663,73.76215121966953,82.6193036588532,11.188705382976954,43.428372958017775,,1.0,80049584100000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b0c8c085f706f7073697a65944b0b8c035f6d75944b058c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308e9e8100774510b4094869452948c035f636394680b681143083e6c7d43b18cd03f94869452948c035f633194680b681143089fc67c4e93b7863f94869452948c045f636d7594680b68114308b90fbeb98d89913f94869452948c085f635f7369676d6194680b681143088289198da8f9d03f94869452948c085f645f7369676d6194680b68114308606246236a3ef43f94869452948c035f636d944b018c065f6368695f6e9447400b25064571943c8c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b0b85946811894358538e214ba67ddb3f2c5e47761ddbd03f4c60b4a91145c53f18b8b48552e2b83f8daa7d42f660a63f00000000000000009bd0b4761a8dc0bf5806fa0273e3cebff539783e76c4d5bfddd50bc2786cdbbf0820f98e2d45e0bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0c859468118943607cd2804410e0cc3fe8ebae0cdd82dd3f36fe11e527fdedbf257535160c37e5bf8407da775edfeebff64af4719ac6024023f4984089e8e6bf048ce8ddd398d93f32f25824e56baabf7df5231850ccf13f8ff3d5a34a55f7bfba2465934e07ce3f947494628c035f706394682f68314b008594683387945294284b014b0c85946811894360d53646b0c690cc3ff0d6cd71d431dd3f800ef27dcfaaedbf28f89d2fcbfce4bff98457ea988aeebf36053a2e0c93024017351e0da2a9e6bf338a8ab68a52d93f8afc1d6d5823aabf4a90ac17719bf13f9791c6cf3815f7bf3155a74cdab4cd3f947494628c055f6d65616e94682f68314b008594683387945294284b014b0c859468118943604943b2a3b7f5e03fdf6e680242f6e13fce18efab7206d83f8eaf7de3be5bda3f64d9ebc44acad73fe1efbdc065fce93f2f35384978e8d93f83f2b01fa4b3e13f3a89cdea948fdf3f7e5635dea3bbe43fb6d11d191997d33f0a964a0c88ffe03f947494628c055f635f316494682f68314b008594683387945294284b014b4e85946811894270020000ff863b60c22df03f475ab7a095b655bf4f4ce7841c27693f3d5c5e51f97a88bffbb77d0711b27bbf9334b58ca81d6a3f828e32bd22fc71bfaa686b5f7ade66bfeec5aaee9f906d3f40c51a6,6725b2bbf588dfd1b84dc8dbf8627c693a19588bf51baf43c380ff03fa8f22ea580ea77bfdc76d0f5298675bf8a654c019a6a94bf1224add5af84933f489a8fcdd3c183bff1eee887444b83bf50a49cb8988d7b3f40900b7e4f51893f63caba9905da98bf8e63a7255b4e45bfbbf81f295a66ef3f264955e30c45783fd059622fe4fa983f2c6da8e5cc3ea6bf387ddc35ba7f953fb02c55572937933f91c66cd8d932853f92342d4ad86f9fbf6a6b23fd8acea33f7598e597d47a56bfe4f78635d55ef03f2caf9e7b7d206f3fea03f3e95e22a0bf4c536b06b8bc973fc4d2daf35d6068bf42b7533a30cd69bfe2233ef556da91bf1672ef9830a8983f4281f0875d24783ff93bfdb0a996ef3f22fb4543c571b1bf023c8175f728813f3fde3be723caa9bf8d8c0e96438d963f9a9147b44ee5a6bf2ebcd5fce81a903f8044f40ecbbb323f96daaea960bdf13f58a8cc80d09ba1bf06a6d4b6a6f195bf6831d58646366c3fe83c5adcaf51a73f28735a099b47b5bf30b03572d22d37bf32aa399564b7ef3f5c0b54dbe36142bf19720d5a8bd860bfd8d3549e8c209abfe99ae9ffc88fa73f8f29934bc48fa23f85ce13a98c40ee3f9057f93fbf768d3fb3c58f87ece29abfa7690f8058a795bfa862fdb0701d89bfc820c494fd74ef3fd66d62ffb5d0743fcc45bbd0c5ef6c3fc9d07ad0575784bff44af9b1440ff03f5c0c1ef3b06ba4bff4065a6a5f8f663f8621b19a7cb1f03f0abc12b4a8115abf3207fc4d9ee9ee3f947494628c065f7369676d6194680b68114308288b3e4ef272c53f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b0c4b02869468118943c00000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b788c025f67944b018c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b0c4b0186946811894360000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b904b018694681189428004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b2b8c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b56859468118942b00200005069dab2a601000030e2d8b2a601000044c6640fe08621406465aab24fb32140b0a6eeb2a6010000a078dab2a6010000f0abecb2a601000020bdecb2a6010000a0abecb2a6010000c0a9ecb2a601000030dbecb2a601000010b9ecb2a601000030e1ecb2a6010000d0adecb2a60100002075dab2a6010000b0b4ecb2a601000040ceeeb2a6010000f0a6ecb2a6010000d0ddecb2a6010000d0a8ecb2a6010000b0e9d8b2a601000090acecb2a6010000d07adab2a601000030ccecb2a60100009075dab2a601000080a3ecb2a6010000b0d6ecb2a6010000b0e1d8b2a601000000cceeb2a6010000d0a3ecb2a601000090a2ecb2a601000000a1ecb2a601000060aaecb2a601000030b2ecb2a6010000f0dbecb2a601000060a5ecb2a6010000f0ccecb2a601000010daecb2a6010000e076dab2a6010000308099b4a6010000b0e4d8b2a6010000607adab2a6010000308099b4a601000030d2ecb2a601000030e4d8b2a601000040acecb2a601000070a6eeb2a6010000f0a6eeb2a6010000b0beecb2a601000070ddecb2a6010000f0cfecb2a6010000d0e0ecb2a6010000308099b4a601000010d1ecb2a6010000308099b4a6010000a0baecb2a601000030e5d8b2a6010000308099b4a6010000e068dab2a6010000308099b4a6010000207cdab2a6010000907cdab2a601000030dfd8b2a6010000b0ead8b2a6010000308099b4a601000030e7d8b2a6010000b0e6d8b2a601000030a8ecb2a60100003080,99b4a6010000f079dab2a6010000308099b4a601000010aaecb2a601000030e1d8b2a6010000f0b0ecb2a601000050d9ecb2a601000070a7eeb2a6010000308099b4a601000070ceecb2a6010000308099b4a6010000f0d2ecb2a6010000706fdab2a6010000b0a7eeb2a6010000308099b4a601000070b8ecb2a6010000308099b4a6010000f0deecb2a60100009474946275622e,COMPLETE
15,15,8.764087686836973,2026-05-13 09:59:12.831566,2026-05-13 09:59:28.671347,0 days 00:00:15.839781,-42.59456226780761,45.11187077319999,19.506914170805032,44.40441292253,22.93462055579596,44.31639128552875,-49.50903930512185,44.335559229347076,40.558176069908114,74.88948195959006,32.24347533341926,37.32477675842287,,1.0,,,,,,COMPLETE
16,16,8.769873963849903,2026-05-13 09:59:29.942922,2026-05-13 09:59:44.435824,0 days 00:00:14.492902,-28.717953127902945,46.844058592026094,69.81168718274543,62.958949510181384,3.9221328537666813,73.0750244456312,-74.88402868966564,64.5918210059801,64.29491473930841,69.35968600501533,13.256701636532982,38.92962214634021,,1.0,,,,,,COMPLETE
17,17,8.760143025696756,2026-05-13 09:59:45.656530,2026-05-13 10:00:01.572108,0 days 00:00:15.915578,-36.61317306413845,36.54825082958466,25.10957766124282,44.208828192391,8.90017770629811,59.740778798241806,-51.513403826215885,69.73148981407888,45.03812792783233,40.382544392862116,42.88964526213847,39.54108783792047,,1.0,,,,,,COMPLETE
18,18,8.773938582501337,2026-05-13 10:00:02.787559,2026-05-13 10:00:15.436700,0 days 00:00:12.649141,-45.05278614159219,36.965533352677156,60.762312964496736,42.872741041289416,26.985241610886757,55.30775932712593,-49.30656271387461,84.36232135371252,62.79002075537222,80.4986303716807,44.01514084300279,36.1950186101025,,1.0,,,,,,COMPLETE
19,19,8.771987066963518,2026-05-13 10:00:16.759694,2026-05-13 10:00:29.450651,0 days 00:00:12.690957,-46.653328963486416,59.66324039704519,48.64509269684468,48.75394815912644,27.453162667634984,38.534579596317904,-60.5405553232259,64.82514055857449,42.638982274900556,66.93513446339557,15.337113505404165,56.82858848997667,,1.0,,,,,,COMPLETE
20,20,8.762285893978685,2026-05-13 10:00:30.669835,2026-05-13 10:00:44.945175,0 days 00:00:14.275340,-44.18204327386322,60.7806997652247,35.63107562285218,46.7021118856282,14.269256215739327,66.23968504671213,-53.00613058503614,57.61173464316067,48.021071845524155,65.6840768280756,5.767493189926014,44.471365801654095,,1.0,,,,,,COMPLETE
21,21,8.7623981621336,2026-05-13 10:00:46.293644,2026-05-13 10:01:02.031659,0 days 00:00:15.738015,-54.122734621184634,52.9545293994086,30.1209890542876,60.43948549935838,21.05567717484896,69.47470746837124,-56.820421863316476,49.667467176013936,51.32177301046602,36.07864511140953,26.67148857040853,26.878462516930888,,1.0,,,,,,COMPLETE
22,22,8.769185698944362,2026-05-13 10:01:03.227633,2026-05-13 10:01:15.757006,0 days 00:00:12.529373,-37.11954074370618,60.46986873105381,50.963263998377464,29.721754622436947,24.24619381904011,35.02704017046529,-58.63709373346808,67.01351405759124,66.01935886987579,60.424678629205765,32.32348231270357,26.832918056957496,,1.0,,,,,,COMPLETE
23,23,8.75863035454541,2026-05-13 10:01:17.044611,2026-05-13 10:01:31.090275,0 days 00:00:14.045664,-35.13544421998395,68.71526805509197,37.48215426219953,24.70754324505039,17.788330188968832,40.19808799258654,-63.295900675878364,46.70916142544068,61.48086822004301,65.13780073761001,25.554084010181995,48.30968425560298,,1.0,,,,,,COMPLETE
24,24,8.786824941301859,2026-05-13 10:01:32.324962,2026-05-13 10:01:46.703765,0 days 00:00:14.378803,-41.4818533953766,56.62235564199869,65.81121571023229,74.2729425168288,18.67716857154298,60.01777487561154,-37.355455321040324,33.587493182042806,55.60168608897131,54.58364214926805,44.50329279538091,28.253508905802803,,1.0,,,,,,COMPLETE
