,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 17:46:33.844316,2026-05-12 17:46:34.687143,0 days 00:00:00.842827,-25.041441961127624,59.35926493568005,37.15053129356614,91.78988885856542,10.482185851898379,26.3784945303572,-33.848998317250505,16.744326567128017,59.63268342091159,79.07898365061003,25.603317452286063,52.6471411207689,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 17:46:34.806875,2026-05-12 17:46:35.108161,0 days 00:00:00.301286,-20.9386923442422,37.677212910996005,10.887947112360903,39.49654016283506,52.616408262762604,65.87056389425811,-46.6478240247619,10.01190895226147,91.11510218352116,95.91541426414409,42.226425154276804,72.82198518386379,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 17:46:35.207161,2026-05-12 17:46:35.473547,0 days 00:00:00.266386,-56.95709181352709,27.351245539359137,98.35148925909262,82.81438988427628,36.92607374800105,42.40515625006129,-56.64121774856537,65.91102173935809,30.56995137828473,56.576208070707786,41.847425879667064,49.59162969340848,Unfeasible shape,,PRUNED
3,3,0.0,2026-05-12 17:46:35.572960,2026-05-12 17:46:55.440702,0 days 00:00:19.867742,-69.60395967799299,17.008086030530627,93.49462170053482,45.47098562530402,0.9183034889977848,14.881101845616824,-65.35100575535479,97.96795237803451,20.269276055131822,33.554403698091704,7.818035387243053,29.010413979588805,,,COMPLETE
4,4,140.0,2026-05-12 17:46:57.102971,2026-05-12 17:46:57.680797,0 days 00:00:00.577826,-34.98015309510498,47.28428829629597,63.81836288495136,55.23581993033642,39.183563404764975,34.514785087371806,-55.97332867746732,52.407644934404004,25.296522754375314,56.19533306799553,33.628130705646015,63.35271801508759,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 17:46:57.801166,2026-05-12 17:46:58.106060,0 days 00:00:00.304894,-45.91085437462119,47.32554879446543,52.53473216048026,55.58433580388113,44.834651713607755,30.112617308445717,-35.36745591052113,32.53694223008554,52.778743826760454,35.838368480635225,24.596938230694658,37.2282267876803,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 17:46:58.217035,2026-05-12 17:46:58.470741,0 days 00:00:00.253706,-38.922415057410994,82.34490138134645,64.56627052793269,39.32933335244146,58.71345566314483,11.666369004403446,-45.27984598305381,54.64557862762252,71.3322928177268,61.76918455526049,29.03397805048444,29.941790391002236,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 17:46:58.588459,2026-05-12 17:46:58.867110,0 days 00:00:00.278651,-63.780566354547545,63.99109475144708,53.92269788552011,76.9186741206327,62.07132738023517,37.98050633137356,-63.60783891831974,83.97631117545447,68.36086211752622,70.58011435561369,38.283417365573726,35.63386807101054,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 17:46:58.965057,2026-05-12 17:46:59.257169,0 days 00:00:00.292112,-37.81430881356658,34.346980220456985,60.30948486703509,49.10213433768577,55.35915862529501,29.59764693694766,-58.56065697606627,48.609248640073226,70.36772948296799,34.5585093609466,44.152110437758694,30.003450906602602,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 17:46:59.361000,2026-05-12 17:46:59.634773,0 days 00:00:00.273773,-43.67737185044128,58.70176010258489,32.301160788959606,48.20610825739499,38.930697790327635,52.14704028353199,-67.61190954719049,47.90713146353044,50.869719759555245,69.34294004835678,51.23542741018085,35.56027278810744,Unfeasible shape,0.0,PRUNED
