,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-21 15:33:21.469064,2026-04-21 15:33:21.800364,0 days 00:00:00.331300,-50.791180330511416,64.54277061348324,37.27175072354822,99.87191590558527,74.34972146334373,36.114510860942474,-61.47300093833745,87.39452663327158,15.537821126508641,46.10417243484177,-16.99206026146085,66.95720574745211,Unfeasible shape,RandomSampler,PRUNED
1,1,15.097081613786898,2026-04-21 15:33:21.931030,2026-04-21 15:33:27.306681,0 days 00:00:05.375651,-65.72962468064372,44.41308812010363,84.46595012443088,28.563565824727238,45.51091601638298,53.50820934381444,-62.986727845207284,43.78310766188605,26.337183693888292,72.55861742551862,26.258312684193022,42.03468826670818,Unattained target,RandomSampler,PRUNED
2,2,6.0,2026-04-21 15:33:27.424545,2026-04-21 15:33:27.978293,0 days 00:00:00.553748,-59.70817353810888,25.978030983024095,23.567752035628363,50.25049702586921,2.2111068154483746,79.4531205654281,-62.95799108742729,85.62991312398437,82.40502195302214,46.27838350206297,75.23637624936234,33.378268099671516,Unfeasible shape,RandomSampler,PRUNED
3,3,20.71476202222828,2026-04-21 15:33:28.119535,2026-04-21 15:33:35.119309,0 days 00:00:06.999774,-69.76754041340757,48.005567733380964,52.991584008807045,45.2187431965115,21.987670413515843,7.353322816190397,-60.75159051393271,64.90451120839224,14.046613930290562,40.56432973530187,63.65540949243986,55.84787697043814,Unattained target,RandomSampler,PRUNED
4,4,16.292514977594863,2026-04-21 15:33:35.263440,2026-04-21 15:33:40.544558,0 days 00:00:05.281118,-52.00990189962988,86.36731494172002,42.541044036090746,49.443020772800544,37.023281978105956,56.05630457042332,-53.02606092725347,66.99654094407914,65.87655770400306,86.86677104686106,32.39890463490618,57.91751054739606,Unattained target,RandomSampler,PRUNED
5,5,6.0,2026-04-21 15:33:40.694218,2026-04-21 15:33:40.789673,0 days 00:00:00.095455,-77.78463558662239,38.224359058379804,25.74225599546518,79.32407228134424,36.62256257873042,71.68679960010185,-53.65202180651112,58.713096398978465,74.87687663389362,94.53942816380479,16.10598505055119,12.454172041669418,Unfeasible shape,RandomSampler,PRUNED
6,6,117.39891421348867,2026-04-21 15:33:40.917722,2026-04-21 15:33:46.709724,0 days 00:00:05.792002,-51.24284098871473,16.74713343131723,74.47118691677268,52.19961085073859,73.50766198549412,23.903109002156697,-68.27867673588159,17.4253094388089,44.708025571788745,52.61138421007843,61.635331304859264,38.2871961023739,Unattained target,RandomSampler,PRUNED
7,7,6.0,2026-04-21 15:33:46.829763,2026-04-21 15:33:46.899635,0 days 00:00:00.069872,-52.07703749026592,30.160894671317827,99.43572585520975,19.470024485374818,69.15622008898906,78.55903370557822,-67.3538965515621,84.22402745012597,96.16625311314463,83.80089115368045,85.57539897558615,16.323420289181875,Unfeasible shape,RandomSampler,PRUNED
8,8,18.806087362922057,2026-04-21 15:33:47.029720,2026-04-21 15:33:52.530563,0 days 00:00:05.500843,-59.383166747157375,36.27387075661639,41.94780213510011,53.026904882693735,40.151477192541314,66.97991051076157,-57.0831873483442,71.89501877138282,13.524050815787643,61.05914600303743,34.372391111332895,15.823759961637665,Unattained target,RandomSampler,PRUNED
9,9,6.0,2026-04-21 15:33:52.651700,2026-04-21 15:33:52.721298,0 days 00:00:00.069598,-68.67091997755597,87.71446043955564,57.051403356212624,33.0094983042321,45.548702205473504,47.536510552216086,-75.95945381636807,46.87564359372587,17.217566887118124,27.667319788825782,-10.185170734203489,0.5132455164105565,Unfeasible shape,RandomSampler,PRUNED
10,10,11.458059373187517,2026-04-21 15:33:52.841027,2026-04-21 15:33:58.205594,0 days 00:00:05.364567,-73.11784276490927,33.56291025854638,69.48751735235456,53.532600832130086,15.260165334174815,25.70614203247284,-52.0261054762169,71.0459418919588,63.20715654573033,14.079428178013679,52.675538304176285,18.094191150065893,Unattained target,RandomSampler,PRUNED
11,11,5.276935651430257,2026-04-21 15:33:58.335567,2026-04-21 15:34:03.810073,0 days 00:00:05.474506,-62.042398121502515,29.35874246807688,91.71904054229105,86.26138441644518,26.095691882309808,35.02887130035725,-68.26816948339179,67.87933036641238,21.038578411762664,87.80576565202539,23.881975641759738,33.09232391783009,Unattained target,RandomSampler,PRUNED
12,12,14.558761601005585,2026-04-21 15:34:03.958195,2026-04-21 15:34:09.371371,0 days 00:00:05.413176,-72.28712524963191,16.733671191248476,46.44788636911377,57.59647935095168,70.41494733578276,58.34637724769499,-58.539795957122486,60.35960166357194,52.33720970005757,75.09732972328135,22.334970506906757,78.89355380114502,Unattained target,RandomSampler,PRUNED
13,13,6.0,2026-04-21 15:34:09.510965,2026-04-21 15:34:09.610132,0 days 00:00:00.099167,-48.12311477660185,96.29919615473845,35.23230011766661,82.55109815329185,6.300953677237619,3.174899214289315,-62.33857089667261,53.84773162010832,68.82219290403557,67.94555497231926,17.359395390855056,54.49439515559962,Unfeasible shape,RandomSampler,PRUNED
14,14,6.0,2026-04-21 15:34:09.767071,2026-04-21 15:34:09.856119,0 days 00:00:00.089048,-53.70166009100976,93.25430843862438,24.460130092879385,34.258989312712636,-0.8929931570589744,76.27762585772999,-46.67883646091461,27.433172573256922,63.886798409647966,84.64374622776434,106.309778867736,63.19048746615352,Unfeasible shape,RandomSampler,PRUNED
15,15,6.0,2026-04-21 15:34:09.993547,2026-04-21 15:34:10.101757,0 days 00:00:00.108210,-78.35030634161183,76.58376778716432,79.15921123253844,93.13308423718152,96.86794153707633,70.57562984767483,-61.54867043019341,21.81955163239983,86.75700763870817,34.15889145922581,50.9641490674538,4.205228360046194,Unfeasible shape,RandomSampler,PRUNED
16,16,76.88281843311098,2026-04-21 15:34:10.235013,2026-04-21 15:34:16.944692,0 days 00:00:06.709679,-72.03325118637181,83.57025502262245,63.07440274407801,96.97809643518272,74.25878892282454,0.05011214846526002,-53.5735077935592,32.3164874455341,75.93978222051824,49.793753018473296,66.00240370901126,5.405857598048565,Unattained target,RandomSampler,PRUNED
17,17,6.0,2026-04-21 15:34:17.116619,2026-04-21 15:34:17.185975,0 days 00:00:00.069356,-49.41202821027223,79.34540548092107,36.6419975961733,32.21671804169854,-8.476022609808986,62.89816040765939,-65.9344992688377,56.72324394753681,33.31861950156251,81.07931188191202,-13.616273272741243,1.9182375879772096,Unfeasible shape,RandomSampler,PRUNED
18,18,6.0,2026-04-21 15:34:17.326201,2026-04-21 15:34:17.380166,0 days 00:00:00.053965,-74.65903832097105,63.143325601733075,43.721682657530366,93.5750830176075,-1.7222955973025655,62.01819136147438,-56.577797278802514,17.818008277912803,28.59155181507078,47.40640327428871,96.19794797664122,28.67835013883532,Unfeasible shape,RandomSampler,PRUNED
19,19,97.38878041467714,2026-04-21 15:34:17.527796,2026-04-21 15:34:22.811816,0 days 00:00:05.284020,-54.233803085862334,34.386081724859224,78.8615236216369,64.903966015729,66.72537540880471,52.42916642373322,-63.6340259816193,18.101589949521298,58.443786079119484,85.49853301056793,83.22446893461597,19.470526790380234,Unattained target,RandomSampler,PRUNED
20,20,6.0,2026-04-21 15:34:22.983164,2026-04-21 15:34:23.053756,0 days 00:00:00.070592,-70.91149547212127,14.350446992479512,98.4860973669951,97.162586488311,69.0499283130451,72.2888040604737,-56.216823407500414,15.540460449311821,48.7239330254126,63.154124548247644,-8.87750818703905,12.825592681913323,Unfeasible shape,RandomSampler,PRUNED
21,21,6.0,2026-04-21 15:34:23.177332,2026-04-21 15:34:23.268656,0 days 00:00:00.091324,-50.853034365380935,42.78796175655323,70.89523552437387,43.5929258180045,-19.90396315277671,75.97413477685419,-72.76999934393555,26.19884362528301,89.75703050399453,14.046270594345849,-12.627616313798324,43.58472723205257,Unfeasible shape,RandomSampler,PRUNED
22,22,6.0,2026-04-21 15:34:23.401259,2026-04-21 15:34:23.483150,0 days 00:00:00.081891,-49.233387040696044,84.422291965195,28.2623843039702,11.179333269362797,4.4093939690418935,32.96084021186375,-69.43435724861523,48.901632177855284,19.785742554718148,99.09042815529216,44.2845426567354,70.65978868805425,Unfeasible shape,RandomSampler,PRUNED
23,23,6.0,2026-04-21 15:34:23.602456,2026-04-21 15:34:23.672862,0 days 00:00:00.070406,-66.80039315008993,92.5930417608175,67.17012269394957,42.874596118593395,-6.937694116832635,6.9861149581709014,-75.14756056226047,68.74427242221302,51.7503264295534,29.830181962168496,102.56362189921693,63.1451376572702,Unfeasible shape,RandomSampler,PRUNED
24,24,10.67893207604812,2026-04-21 15:34:23.812048,2026-04-21 15:34:29.790309,0 days 00:00:05.978261,-74.56630322504105,86.26769711903786,96.13622902901875,22.444599896270546,72.10401322450448,53.02094538178578,-62.23146782954049,77.90655675516354,88.09330227327924,80.23307177977175,40.99616197967138,76.85852880053343,Unattained target,RandomSampler,PRUNED
25,25,6.0,2026-04-21 15:34:29.945700,2026-04-21 15:34:30.010330,0 days 00:00:00.064630,-58.32279398232379,29.544316992769293,37.91017852312321,88.16324542305138,54.58017657398101,31.97147525172206,-75.53522995739621,64.77033734124603,86.56201608911869,38.9524294644098,2.302365508658582,41.06658649141173,Unfeasible shape,RandomSampler,PRUNED
26,26,6.0,2026-04-21 15:34:30.133188,2026-04-21 15:34:30.250288,0 days 00:00:00.117100,-63.62732140946416,84.79216278824946,81.77844042253636,23.994418005522167,105.60507823795058,30.395222954449768,-73.42294956186534,72.48865896721345,47.64627703171587,74.78588905675186,71.47738200263909,26.197042426627792,Unfeasible shape,RandomSampler,PRUNED
27,27,6.0,2026-04-21 15:34:30.375409,2026-04-21 15:34:30.450672,0 days 00:00:00.075263,-79.30603044042074,16.092569962190517,13.2734720212434,24.09732664064384,75.29014964935669,7.326729695774858,-46.367519934001784,24.147101690562366,93.89534507735382,58.695337699892455,70.76067654006576,78.89440269959056,Unfeasible shape,RandomSampler,PRUNED
28,28,101.60142232337898,2026-04-21 15:34:30.594876,2026-04-21 15:34:36.632093,0 days 00:00:06.037217,-76.43696794347129,33.238346880961224,69.53941739357197,25.808551336846552,80.42936912097038,36.32998813171662,-51.49388220730496,20.427767853938995,91.17890078374022,62.61405046894948,-2.8824240253060296,64.45004647153999,Unattained target,RandomSampler,PRUNED
