,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 16:42:26.793115,2026-05-12 16:42:27.684082,0 days 00:00:00.890967,-48.88793481677813,29.576551731864313,85.58676882275846,90.17618705228494,59.00114721230151,14.170341101565057,-50.41471238894005,14.298496160800724,51.055484886191756,99.66244417248635,49.524111350092234,17.642976966451098,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 16:42:27.781163,2026-05-12 16:42:28.014138,0 days 00:00:00.232975,-67.62580023408864,95.62942372401032,14.901257783433302,14.473077058375978,38.052073554530736,43.17577548552837,-66.76234862167793,14.476200809894259,47.14079841084782,54.49145243065897,43.14009044514527,49.53032363141527,Unfeasible shape,,PRUNED
2,2,4.533486596161663,2026-05-12 16:42:28.106205,2026-05-12 16:43:59.788367,0 days 00:01:31.682162,-38.3713598465443,47.649241739504525,45.201292892568375,50.988419712078496,38.48693591046814,50.116160816895665,-33.66998834723201,67.6838574813532,44.65295421688471,50.127483265757675,19.697394711917283,52.998508853526594,,,COMPLETE
3,3,4.648019340548312,2026-05-12 16:44:01.098523,2026-05-12 16:45:39.766884,0 days 00:01:38.668361,-51.57988398740385,77.15235132629819,45.03957591253482,49.73789124512966,37.684809953409015,40.891764847554576,-58.0089509286512,41.87415232369763,63.254970622764546,58.89972599805104,35.677858381488846,46.859124941589265,,0.0,COMPLETE
4,4,140.0,2026-05-12 16:45:41.197143,2026-05-12 16:45:41.433909,0 days 00:00:00.236766,-42.12713905259918,46.3190150698594,66.28761642596089,46.137941164628366,3.035087340246297,49.60368306723493,-44.08380242701155,69.27107977808954,55.750201182049494,42.17531526954629,46.85034079043208,38.384615611132794,Unfeasible shape,0.0,PRUNED
5,5,5.603331993347874,2026-05-12 16:45:41.556932,2026-05-12 16:47:10.575897,0 days 00:01:29.018965,-44.78273402485608,62.450205842544506,37.42838552007261,63.165820491514204,22.349101896613934,34.42555790095957,-45.259772971771504,81.45411540640279,66.44359364115398,60.92092803532747,36.452014839049355,54.04295832033226,,0.0,COMPLETE
6,6,140.0,2026-05-12 16:47:11.990986,2026-05-12 16:47:12.251060,0 days 00:00:00.260074,-57.485446574323426,49.21038479619594,81.16781372887337,47.56788213989394,44.550992355544174,14.761141623718116,-48.6137333140439,65.49686709306923,61.69064259969325,73.52841854407681,20.016852457998123,28.974412110356955,Unfeasible shape,0.0,PRUNED
7,7,7.0822649276051,2026-05-12 16:47:12.369064,2026-05-12 16:48:36.761265,0 days 00:01:24.392201,-60.801068723942024,76.48497393030357,51.88188361345696,31.586305971101737,44.092841183968424,38.564384963371616,-62.12992148678341,64.72740423106995,67.4887407658852,46.38940524319009,44.80861803446681,44.4313087106183,,0.0,COMPLETE
8,8,6.936702398771432,2026-05-12 16:48:38.053188,2026-05-12 16:50:16.155893,0 days 00:01:38.102705,-62.83361768881858,47.72203460394765,37.184578919307796,57.95093574750662,42.28549292253789,28.170719980963014,-62.51693292996037,66.96303398250069,23.284701023040654,62.826647369799865,43.06713088163868,53.5207168853168,,0.0,COMPLETE
9,9,8.079819401646128,2026-05-12 16:50:17.571789,2026-05-12 16:51:51.470488,0 days 00:01:33.898699,-49.53798514638541,80.0850397144222,31.366002064484427,59.36230274421103,30.10741035088055,54.76096133889064,-49.658502845483014,66.0083010843394,11.79390292541726,69.26851077339646,13.244422222993702,57.187440087337585,,0.0,COMPLETE
