,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 17:37:06.937225,2026-05-18 17:37:07.658572,0 days 00:00:00.721347,18.51747157150674,68.39894996974668,62.91555424521327,-27.906324257499932,40.75104744473625,8.441370246564695,61.388020405444706,7.940937010412341,48.33799739555485,65.47696029980555,22.734238337660425,31.0453092165486,-53.65193837202277,3.606460774772787,34.17399516703298,77.9609588653612,-11.545611527745827,10.785485236762767,Unfeasible shape,RandomSampler,PRUNED
1,1,,2026-05-18 17:37:07.848481,2026-05-18 17:37:08.263608,0 days 00:00:00.415127,67.84163579759995,80.30113615991174,86.4661850894924,-15.586501223878216,76.02079747082846,12.657819318688933,23.882970637623266,-7.917684427464451,53.234551983526934,99.91147348244125,85.92424715464452,33.139514019379824,-60.51119532607014,75.62185078596782,75.14768169791098,26.081553741475066,-42.62236978269298,30.76708376635166,Unfeasible shape,RandomSampler,PRUNED
2,2,0.008779663752777684,2026-05-18 17:37:08.399750,2026-05-18 17:38:18.258094,0 days 00:01:09.858344,36.564242316803494,83.79354630729759,70.82835922762091,-34.169723792680976,34.435918051304,26.44883846371378,75.94022624423755,-58.60513991588679,75.28937858702685,62.38240134097295,26.2806487922903,72.11771594987697,-75.74193067112617,66.85341035247697,30.429592351582194,46.60955460346904,19.80414545638125,70.4431077957018,,RandomSampler,COMPLETE
3,3,,2026-05-18 17:38:20.020464,2026-05-18 17:38:20.289500,0 days 00:00:00.269036,60.827267309556355,39.656853319193246,75.2452676900007,-42.94512877021859,19.112370600930195,72.8320063296349,67.65890944998353,-14.549231333877287,1.8804882822301003,17.59220478866197,26.290511531401947,5.230974940438714,-77.00344225125775,96.99513073737613,94.24049763370378,12.692761628496854,-41.424197135862286,90.55527371075542,Unfeasible shape,GPSampler,PRUNED
4,4,,2026-05-18 17:38:20.426824,2026-05-18 17:38:20.695654,0 days 00:00:00.268830,20.869266434917495,95.30424298147341,95.24701231042613,-28.622005263521686,56.83824812292141,54.373924935449764,23.851621708652647,18.060996092374765,108.75576791701457,14.781165817805984,43.0392853294877,69.30108224085777,-17.07902716514956,15.354277677759384,56.443608459948024,21.917796560984126,-37.24092513467774,96.72534235963526,Unfeasible shape,GPSampler,PRUNED
5,5,,2026-05-18 17:38:20.831059,2026-05-18 17:38:21.074728,0 days 00:00:00.243669,49.04240368596349,92.4720711733033,8.847763109389271,-48.177116593833816,54.119092860760304,3.52283787255473,61.407640984122196,-18.04007026188887,84.33392245875137,92.43465456800348,10.696452306637973,91.18147028392346,-18.521536344425456,31.16245326073387,39.80618146565659,48.92080195681066,28.485159873028138,-0.29091867489519885,Unfeasible shape,GPSampler,PRUNED
6,6,0.00877966362100692,2026-05-18 17:38:21.221637,2026-05-18 17:39:26.800425,0 days 00:01:05.578788,76.46234599035049,70.4667269179365,16.1394743390113,-34.6581061990213,90.221921138315,2.84536647351157,88.97058268392514,-44.38041100197861,122.79849094329373,30.071862837945655,87.84257713619938,90.20840279811539,-55.952481658367944,92.83527052141713,53.70242945522792,11.42807108719543,-17.228847097969037,78.06619435231585,,GPSampler,COMPLETE
7,7,,2026-05-18 17:39:28.970650,2026-05-18 17:39:29.204292,0 days 00:00:00.233642,59.21705608708107,1.2476530430678554,12.932773059854163,-68.67019669006089,96.65241089621496,80.14219870756021,37.84660633137865,-50.329238472709974,139.5620594061936,74.01887833396668,86.90007644304613,12.35684981931399,-56.26631579291385,11.88662893467521,54.46064185572405,45.578484038925986,-55.03015821214358,21.57286369385786,Unfeasible shape,GPSampler,PRUNED
8,8,,2026-05-18 17:39:29.342995,2026-05-18 17:39:29.636372,0 days 00:00:00.293377,53.63857657361862,94.85998736709334,39.811429900515456,-68.62728852741532,44.48545900282376,23.86875133006086,48.0441106359115,7.484500835902509,151.73229840739467,71.5020545132918,82.87363962673723,12.563856232506541,-30.71458823536075,73.77504782887716,75.33987711801385,31.77478019917182,-49.28629686065723,99.79325747909536,Unfeasible shape,GPSampler,PRUNED
9,9,,2026-05-18 17:39:29.764489,2026-05-18 17:39:29.992487,0 days 00:00:00.227998,56.81437310526202,42.89529462636497,38.79731783390079,-34.00020139542341,6.361183705737499,68.46071817055626,62.77969212920312,6.453624014798066,23.821821105882336,97.1503334042966,43.84135449837391,31.876630305524277,-59.07339995075074,40.97964572106457,83.10275098251691,36.371222018353386,-0.757726477598176,9.007503351345608,Unfeasible shape,GPSampler,PRUNED
10,10,,2026-05-18 17:39:30.124575,2026-05-18 17:39:30.369631,0 days 00:00:00.245056,20.903040171580116,73.89382336371813,10.924989243774169,-42.0225888132449,88.24234852829994,27.01095051509137,38.25214978233348,-34.77718920381476,8.868423244219798,87.61745280756783,25.6787669855467,59.22764445931471,-56.95059065138348,11.1198399733273,55.33866023301288,48.764366866489745,18.711362495953964,2.3698912180598075,Unfeasible shape,GPSampler,PRUNED
11,11,,2026-05-18 17:39:30.496051,2026-05-18 17:39:30.747786,0 days 00:00:00.251735,43.35353104531723,39.341573348368115,20.430083901565226,-43.13041056805917,61.67154890969483,93.18205891832406,16.91151480517073,-5.974566381137102,155.48656426521475,75.44476377201997,58.48060844481905,96.55706001342935,-25.76717930590746,19.321078396433236,97.40519360148666,22.234290873796244,23.923338083156736,30.961170199578973,Unfeasible shape,GPSampler,PRUNED
12,12,,2026-05-18 17:39:30.887418,2026-05-18 17:39:31.185921,0 days 00:00:00.298503,58.709413845482175,60.83046856689569,9.478229710959319,-62.158051522788185,6.419429600553607,36.66844899511828,18.844473574359228,-52.395161181165285,116.5910666958588,48.34498485486922,33.34404471779955,78.00267389024287,-53.5678781814415,92.70265268164906,28.038557592340997,28.53830184740502,-51.570933018139044,-5.341742490034882,Unfeasible shape,GPSampler,PRUNED
