,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,140.0,2026-05-12 18:00:09.793476,2026-05-12 18:00:10.573720,0 days 00:00:00.780244,-74.41228556813556,76.41324550875781,59.58478373651271,63.83788081288408,35.22682726835956,71.3022287359233,-43.67194495521097,50.68023842138077,28.483841715107506,25.96962746639432,44.904208688386525,53.98572434589443,Unfeasible shape,PRUNED
1,1,140.0,2026-05-12 18:00:10.677310,2026-05-12 18:00:10.971366,0 days 00:00:00.294056,-25.322439165266204,57.09557799765415,73.73800663722054,31.541706865372888,71.91674420058027,46.26382337845813,-63.98653674235034,63.67217647595618,54.03868768763713,66.02533120651145,33.827356091807275,16.160554606115543,Unfeasible shape,PRUNED
2,2,140.0,2026-05-12 18:00:11.068272,2026-05-12 18:00:11.320922,0 days 00:00:00.252650,-34.65455761651128,57.2050056113145,96.69289872390036,20.839072824903745,25.10087089233878,36.581932669753456,-24.989451712770524,16.674809580387485,86.58182716271165,47.747305476567945,11.876400758244312,24.539541551329403,Unfeasible shape,PRUNED
3,3,140.0,2026-05-12 18:00:11.412521,2026-05-12 18:00:11.699169,0 days 00:00:00.286648,-69.67438074697739,52.64717461595981,28.911700191583144,49.847405284510664,3.7409920791534574,5.615236118463729,-23.813828075309594,34.81349088379403,87.90791509111908,41.987976640339184,61.95724615733961,34.61442641404382,Unfeasible shape,PRUNED
4,4,140.0,2026-05-12 18:00:11.781695,2026-05-12 18:00:12.014433,0 days 00:00:00.232738,-53.66176742242658,46.542406404827354,87.34410821196619,64.47270984060077,52.932971511150726,47.40670026676702,-21.38647788799286,16.87368900644548,19.735409796795164,30.025471923972102,52.73705880165978,40.617170314544936,Unfeasible shape,PRUNED
5,5,140.0,2026-05-12 18:00:12.127541,2026-05-12 18:00:12.422064,0 days 00:00:00.294523,-35.624910142261186,95.28947164210521,70.1260252801211,87.6075305075627,35.61264864360942,12.121531696415675,-73.00046473455392,70.37010994172056,51.92219244452098,80.23131955864491,39.674235399999546,63.47128564666037,Unfeasible shape,PRUNED
6,6,140.0,2026-05-12 18:00:12.516112,2026-05-12 18:00:12.800740,0 days 00:00:00.284628,-56.68370104852663,61.43813610008685,23.75247438209539,86.77864859068146,20.530792182418782,38.85857485398672,-44.57231901006282,56.2117427068619,20.657051323174162,85.28978535309865,61.70193686130079,37.7111814365532,Unfeasible shape,PRUNED
7,7,140.0,2026-05-12 18:00:12.906745,2026-05-12 18:00:13.181075,0 days 00:00:00.274330,-29.74111948775979,63.39391919196068,51.41544804592761,15.183320446911427,67.96352758755678,24.611270366225625,-24.157398712209677,44.93703401551436,10.99900307008203,69.41152722634503,71.78173719433123,56.0200838806863,Unfeasible shape,PRUNED
8,8,140.0,2026-05-12 18:00:13.278255,2026-05-12 18:00:13.525540,0 days 00:00:00.247285,-40.87779632033578,60.582245667549195,89.8277481486402,56.00956065293152,26.35567877744325,38.01204070688804,-23.987095260841116,28.237645152006376,80.54960423139678,68.15440383474206,72.07976920500077,18.255678394582613,Unfeasible shape,PRUNED
9,9,140.0,2026-05-12 18:00:13.628614,2026-05-12 18:00:13.933993,0 days 00:00:00.305379,-44.738405839560805,73.47476039051682,94.51503436002542,59.83779577367493,65.48295474544143,51.08375854912472,-36.021377315976416,94.41357243181253,25.680463421387458,15.936046245039217,30.740811417303227,27.668257936279904,Unfeasible shape,PRUNED
