,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 16:47:59.184835,2026-05-18 16:47:59.911806,0 days 00:00:00.726971,61.66829760295572,73.01659448135678,65.78295580792395,-26.467350745325582,50.84409617965587,65.42256032950705,13.999600386155441,-10.924575808267193,119.5108560062861,19.373115361568956,80.72226452906398,62.35787172692262,-65.86784738155912,18.705002297122306,5.774346945843181,30.78236250236684,87.99018354849326,-39.10285643751466,Unfeasible shape,RandomSampler,PRUNED
1,1,,2026-05-18 16:48:00.041794,2026-05-18 16:48:00.269935,0 days 00:00:00.228141,34.023494727956745,31.614598114544133,83.29040440156867,-47.51251969396637,27.43729745672372,13.446435293394975,44.167606167180914,-10.882514178710494,167.08714573492253,61.933385923657774,4.287889267890139,84.31601468282246,-63.56332004381087,56.18405471514574,52.21993167543748,95.80862758264651,107.58002480485347,-24.183875024862388,Unfeasible shape,RandomSampler,PRUNED
2,2,,2026-05-18 16:48:00.398383,2026-05-18 16:48:00.620016,0 days 00:00:00.221633,45.38197873593897,53.64412353116584,43.18982425865136,-38.06390728790417,33.59091934632855,53.14056381999548,8.627001671054419,-40.28105898608621,65.14110961381336,63.11972989366658,27.121956799318948,45.490082001987055,-75.36320896693753,68.07877643194917,43.39269015889394,44.62271350681069,65.85856047995026,10.214672206851176,Unfeasible shape,RandomSampler,PRUNED
3,3,,2026-05-18 16:48:00.745935,2026-05-18 16:48:00.989794,0 days 00:00:00.243859,38.231392375539116,65.83454567932033,7.044241546029429,-62.54946495569722,8.780935415853035,90.32168543474383,59.25318042277909,23.779720501886715,93.59781676553403,60.580007192702894,51.601293919921496,86.81127321266685,-46.01912910781958,90.9042062238321,49.19998784016834,8.279439714292337,4.825202274931758,-26.416043943022984,Unfeasible shape,RandomSampler,PRUNED
4,4,,2026-05-18 16:48:01.121212,2026-05-18 16:48:01.356837,0 days 00:00:00.235625,84.65777859478726,7.104793220441009,89.55373573287015,-48.47959167208414,57.976170053920875,66.91703511720955,54.136529829214204,-46.07306076109181,157.54899656582336,71.72542765164171,44.51424722968378,42.34608954930173,-78.52142778582078,40.98978173383479,56.64665131807113,25.05814996080733,88.0639551258065,33.03054001916581,Unfeasible shape,RandomSampler,PRUNED
5,5,,2026-05-18 16:48:01.488564,2026-05-18 16:48:01.731628,0 days 00:00:00.243064,4.80832386640447,77.44071179643346,40.624929067275545,-35.15556377292732,34.200964394126295,4.005227587294012,96.31660602196999,-37.37755018561015,46.708531275695584,42.12526186596263,72.11949523096116,33.5839712871386,-49.92002735233737,86.45735136410666,17.829824607111576,60.61691264122366,30.851340538033995,-10.515889588817224,Unfeasible shape,RandomSampler,PRUNED
6,6,10.644336172703037,2026-05-18 16:48:01.859910,2026-05-18 16:48:59.066614,0 days 00:00:57.206704,32.10602381779522,59.67160504130274,87.47025238076075,-27.55437818641719,27.857560947706116,48.15667882677063,55.77681190519996,-40.24185663432518,67.46538810744313,78.76274395172524,2.103165733557317,19.478499076834495,-35.38044863721958,41.759894753714754,34.098143265928826,55.775834003455344,-0.03151504842613484,-0.05641636772206482,,RandomSampler,COMPLETE
7,7,,2026-05-18 16:49:00.711599,2026-05-18 16:49:00.985494,0 days 00:00:00.273895,96.30540150476617,21.189466923689558,54.1179235840673,-15.177355135726046,31.628383540204865,18.31050454946176,31.67917500149703,-24.133021246974195,134.49991368658183,1.9147157517905191,58.27305429088912,49.648395844523364,-79.02856653419825,18.79869254428521,99.06464386321535,16.985396933595727,72.87011768730123,-20.227631967176706,Unfeasible shape,GPSampler,PRUNED
8,8,,2026-05-18 16:49:01.145151,2026-05-18 16:49:01.419886,0 days 00:00:00.274735,51.08434213201601,31.80094755641661,71.9438656564834,-21.559127314921618,25.418191919905965,88.68584951360086,72.20573255638092,-54.466011671855796,104.83673194926355,36.64214252427621,86.59142999865342,11.753912184325596,-51.121410665617205,79.40502888066932,80.17238690790698,19.91115437358201,4.850375371858146,-9.201344954092505,Unfeasible shape,GPSampler,PRUNED
9,9,,2026-05-18 16:49:01.553130,2026-05-18 16:49:01.783043,0 days 00:00:00.229913,62.63647928438564,11.971957481366745,40.58204119821157,-38.179459185211655,99.9757224799951,23.00239749031201,92.68406896780176,-39.56412880587707,110.38875116101586,9.229363141316025,48.975287697209275,75.85640171767801,-63.93326872764541,37.082189454859694,61.780852002828745,13.737818323326433,36.46253679412625,-3.5837085176001224,Unfeasible shape,GPSampler,PRUNED
10,10,,2026-05-18 16:49:01.934476,2026-05-18 16:49:02.209243,0 days 00:00:00.274767,28.604873121760278,96.09410609967321,31.568168219489536,-19.50439350882877,25.85144070738709,92.57178993504156,31.194053244234464,-5.866703260820572,211.48457111187503,23.286047986280014,71.29360625095724,11.831354589675376,-46.49314285499147,58.37230715982292,84.14852201544248,78.42796826914798,18.646111645786682,12.654499989843515,Unfeasible shape,GPSampler,PRUNED
11,11,,2026-05-18 16:49:02.343224,2026-05-18 16:49:02.595677,0 days 00:00:00.252453,51.35819464312216,28.021574638244722,89.38384530318024,-18.504553427891587,34.08529108167063,67.97778194737586,87.96226525205599,0.49364366443455765,159.2621597875079,31.43584967889378,79.03078104514046,34.86277736693114,-28.93193566363952,59.97698552997443,90.85988345140527,43.41060183915128,1.7306001759435503,-5.379577481230051,Unfeasible shape,GPSampler,PRUNED
12,12,,2026-05-18 16:49:02.744396,2026-05-18 16:49:03.050712,0 days 00:00:00.306316,99.44622043432153,88.4946522657448,79.98411838443714,-34.51998334417287,35.46071287805562,83.95235762709112,3.663394986765205,-37.89293451468748,189.407185359307,42.26131028630306,15.843065366927478,14.548676676286005,-13.849578418638416,30.803500741532996,21.045522096015958,21.235265987176255,-1.4667209626630928,-1.3268284232030965,Unfeasible shape,GPSampler,PRUNED
