,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,5.296613086131991,2026-04-20 11:10:25.549639,2026-04-20 11:10:32.944052,0 days 00:00:07.394413,87.11882893398828,46.88652181772772,43.35202921297556,-45.83266838121295,28.43046189612773,29.15567307167801,34.11804823210889,40.88845228663017,22.70676233648565,43.90383009067797,40.718477241711255,59.87728599291292,-46.05188970567505,72.64268246458931,44.688631767117144,12.610004900455085,48.25937510043376,25.735027587775512,Unattained target,RandomSampler,PRUNED
1,1,6.2964834686903295,2026-04-20 11:10:33.055307,2026-04-20 11:10:38.194366,0 days 00:00:05.139059,81.56269456810611,81.92176521903251,90.72283953173213,-31.240872001057298,64.65811887385193,28.985515331290014,42.18871088637011,47.60221933772191,12.669250825346348,49.32201445767335,10.251825909417263,46.492819517438576,-60.37488768962186,62.45883817657656,84.42820854632342,40.28488907464618,48.73622288237767,24.679885359487198,Unattained target,RandomSampler,PRUNED
2,2,5.643926247145849,2026-04-20 11:10:38.328226,2026-04-20 11:10:42.721947,0 days 00:00:04.393721,33.41175424026303,90.52239261996013,37.52302774522961,-34.701046156303136,87.51424113989093,31.81022791779956,67.81284456848522,39.73131482481931,27.696873498107763,32.19106984122171,43.69094541027859,67.95462214154333,-67.95293853144778,60.70940442341215,11.307134635975109,25.88090249566076,38.17409417339328,11.497342705491466,Unattained target,RandomSampler,PRUNED
3,3,5.428719293740283,2026-04-20 11:10:42.844690,2026-04-20 11:10:47.246520,0 days 00:00:04.401830,23.72291349370101,40.895067190761694,50.94519921302357,-31.377843789299142,23.92451861926954,64.31274596463888,51.58260928289899,31.453071349469027,20.57142928080073,89.35383404609547,10.561040158949623,14.278416392019732,-50.15289804387271,24.678530835883745,69.74605814463912,31.73843835931606,45.059887012633055,10.440835984642469,Unattained target,RandomSampler,PRUNED
4,4,11.346326020269473,2026-04-20 11:10:47.368943,2026-04-20 11:10:51.922107,0 days 00:00:04.553164,47.92803546259743,32.4968139425349,69.58871681819036,-54.7276795552928,44.46776070210693,81.71514790268394,74.11290309793478,46.07473706130851,23.973939787801612,88.1540198618549,83.79388430019117,70.2951313471577,-79.32626551779572,46.744902270971785,99.03415285072747,13.565705556106133,30.878052672988908,22.155316720264643,Unattained target,RandomSampler,PRUNED
5,5,25.692240574406306,2026-04-20 11:10:52.057042,2026-04-20 11:10:57.094335,0 days 00:00:05.037293,42.9521455004233,99.05448304820813,68.60910703372053,-27.30369551294612,71.65263582559936,72.94526123964368,57.1744614431937,46.16426936818044,25.17082548717197,40.89026838241831,80.82203999103432,85.52713018228518,-61.63318552616988,81.73746878096972,55.856483142591635,47.536443894408485,36.55196017811936,24.978938405240786,Unattained target,RandomSampler,PRUNED
6,6,6.699997172494072,2026-04-20 11:10:57.226927,2026-04-20 11:11:01.732890,0 days 00:00:04.505963,86.99437140590422,96.66767756633854,25.489558161034225,-41.86745480124733,85.08882452053147,78.78826486833677,62.5139341109112,35.98631478837962,16.828444935200945,75.33478812243011,92.40975825591478,96.28148248333254,-35.30762756242567,26.530278416384686,88.47451838659573,71.30329545042127,32.9520446711203,21.331057396236382,Unattained target,RandomSampler,PRUNED
7,7,10.373454477635875,2026-04-20 11:11:01.850593,2026-04-20 11:11:06.109587,0 days 00:00:04.258994,91.42417194559404,88.24107617472907,67.37945777944756,-59.80640529635028,45.53915701587829,99.77533959440849,35.077073855761554,45.350925015185474,21.18172429797366,61.23582152075092,85.07582155782222,88.44661846506612,-49.880714371331656,63.725289893619546,23.22223156068035,32.724645490674945,33.72975111750071,13.917393986551863,Unattained target,RandomSampler,PRUNED
8,8,10.59822202142108,2026-04-20 11:11:06.247464,2026-04-20 11:11:10.851675,0 days 00:00:04.604211,56.52282306251264,34.1988835283461,75.55568725795354,-36.0459122576529,55.4988330263214,68.32635435387377,73.63290178089866,45.260431734608304,25.32430852478477,56.182538927589526,58.11456238164402,23.985725897158943,-47.4437071436126,37.371635565066626,51.59429904212338,18.592197867617923,45.116751104182526,11.704242261931102,Unattained target,RandomSampler,PRUNED
9,9,7.382438565172613,2026-04-20 11:11:10.975643,2026-04-20 11:11:15.734557,0 days 00:00:04.758914,56.259478806658265,13.8562579230354,68.86508560609175,-56.91267317336052,73.15832202787631,91.63142639045225,79.85294488962519,44.18786618239566,24.18484541901319,86.78126912494163,50.64735350896615,61.02752605782176,-25.163733356408017,65.01968232930335,96.40474005385941,74.21994554724515,43.95348226316392,28.84781326004004,Unattained target,RandomSampler,PRUNED
10,10,15.82155252160554,2026-04-20 11:11:15.850099,2026-04-20 11:11:20.246068,0 days 00:00:04.395969,86.55023240118574,61.55303434894105,47.38843946762285,-64.34087844508045,35.50135813242046,42.51148037856319,15.906361599360896,31.663692492472833,16.131391482088908,27.778210438456302,61.23422729508269,34.75009155377958,-69.54493281126459,78.23441437448686,78.85626808812262,72.58161955971802,39.52008681915103,28.703002720623687,Unattained target,RandomSampler,PRUNED
11,11,5.201153986575598,2026-04-20 11:11:20.383641,2026-04-20 11:11:24.843545,0 days 00:00:04.459904,93.27791118111159,21.62334649465562,88.30265585312246,-56.31614897115749,57.67323034859361,31.34194339747562,21.108383319442055,34.10854552431692,25.275336698019945,98.76728251631076,17.9556465302905,76.59673854591675,-34.28001471635899,56.67612679469065,12.002482558149865,39.43342926501944,43.25825607099824,24.133253598859653,Unattained target,RandomSampler,PRUNED
12,12,10.756823999668164,2026-04-20 11:11:24.986353,2026-04-20 11:11:29.180569,0 days 00:00:04.194216,72.87902550360363,92.32165952972909,38.51568655690629,-24.813785116568503,89.35530915848518,22.191894791277612,29.375595284419628,48.126281353725076,27.2210561554746,92.12664153143825,66.78468648492687,48.18726385939653,-72.29872216368909,43.250806630672116,86.64086726305207,10.834716537444088,42.72787458484356,11.940900852772327,Unattained target,RandomSampler,PRUNED
13,13,5.323844381570176,2026-04-20 11:11:29.322491,2026-04-20 11:11:33.785626,0 days 00:00:04.463135,49.79465585725636,12.898285925474259,91.7328335479807,-24.599974514099245,10.132474833932429,70.5536496529413,97.03828033105492,44.6947965534238,22.8242189568404,39.53994100597773,11.178879513581078,12.11486800257049,-62.84438361443837,95.62291019962372,15.965189148448264,36.61688025064741,34.21989377661755,18.90196172654433,Unattained target,RandomSampler,PRUNED
14,14,5.59382054034694,2026-04-20 11:11:33.911294,2026-04-20 11:11:40.542256,0 days 00:00:06.630962,55.87498877514029,45.63506672038083,25.44543929949127,-21.248642931110368,44.94419827049682,32.73746934875022,14.986339963488431,49.547029036642044,25.620782150986443,15.746923972746746,78.92726462140264,75.31581977414422,-38.58858922209806,39.76310325951042,57.46548700747475,80.28803798141735,42.20717384447053,24.359654849809267,Unattained target,RandomSampler,PRUNED
15,15,12.272107153353836,2026-04-20 11:11:40.666197,2026-04-20 11:11:45.171662,0 days 00:00:04.505465,60.66013021998252,84.86960096606414,51.940344190521195,-77.89253573460402,80.01027307106315,76.58579727903533,62.30981976400104,34.670544427350634,25.871026448579148,30.338913387440268,39.73404270107164,38.63216283563815,-65.7893220014327,85.27142536350541,14.478048397461988,11.624590287798299,35.75487690911564,12.063244352561446,Unattained target,RandomSampler,PRUNED
16,16,11.831532575788948,2026-04-20 11:11:45.302348,2026-04-20 11:11:49.607894,0 days 00:00:04.305546,24.567475326952078,95.62355452975824,65.3231519636482,-60.217508071230135,37.17625317406083,99.86845661403818,79.21348551108444,38.942495163418585,16.922038329114613,54.309916053948484,20.321076113113932,63.248588656373876,-55.84424506151005,85.32852756356661,14.813800353703458,70.56370885817168,37.263660892395364,17.433612638784545,Unattained target,RandomSampler,PRUNED
17,17,8.84014700078091,2026-04-20 11:11:49.721442,2026-04-20 11:11:54.179034,0 days 00:00:04.457592,38.99984285355474,99.31830434602436,63.00644091229816,-40.98985508944859,51.95271503776909,18.91535163663361,16.594074745258176,37.3104097021494,29.115998370855397,93.88026809890995,50.208362828786726,97.19291300963025,-22.94970186772869,86.16191968233059,61.33913751870332,73.84134473085777,32.03125770908561,11.479721149908475,Unattained target,RandomSampler,PRUNED
18,18,5.80391468591575,2026-04-20 11:11:54.312269,2026-04-20 11:12:01.861525,0 days 00:00:07.549256,17.850123525405003,73.79893186650214,24.86040929310089,-63.64047809002493,25.615857091085232,16.429591392279598,67.68185986595802,39.84139926113797,14.688222112704132,54.591071207589614,78.44294661159418,45.97961454818028,-27.023670609965592,83.79895205697832,66.68125990386923,49.41754607333697,46.22274566196869,18.793004358318036,Unattained target,RandomSampler,PRUNED
19,19,5.693153992101497,2026-04-20 11:12:01.999916,2026-04-20 11:12:06.191528,0 days 00:00:04.191612,65.81750100089502,89.18448924542619,10.805159816705107,-24.291388266593408,89.09969933424573,36.91908817468201,63.466343583173916,46.08842573090469,14.38431700685365,35.04076600605502,82.04574007013477,96.67830153984103,-62.04584173640256,49.74192480621334,99.57726952778592,43.19888210952859,43.173452017247556,29.90367693187387,Unattained target,RandomSampler,PRUNED
20,20,8.196052730775541,2026-04-20 11:12:06.322843,2026-04-20 11:12:10.696427,0 days 00:00:04.373584,50.164118893691,87.23375836743162,38.47346732031297,-62.90183453875046,50.8287032699478,67.0661445091266,95.29496459887724,44.3351140731382,20.954255239617027,78.36962824607973,65.21559465579554,30.089741765285016,-42.81617095709441,15.61416618792361,52.6495534625284,69.73483514941498,35.825136732354665,25.442692735606016,Unattained target,RandomSampler,PRUNED
21,21,5.297120127536296,2026-04-20 11:12:10.829729,2026-04-20 11:12:17.960127,0 days 00:00:07.130398,52.68978716597672,83.98041729139855,47.668140707792176,-63.61458464126886,88.41465707590122,68.31880920247526,14.008712865417145,36.66857212238891,29.680627866124897,87.71889250502568,27.10840930200009,29.73812153946997,-74.56986275120785,11.277786210113675,24.417022900806913,30.229052969553354,38.413505771466085,12.45202060161008,Unattained target,RandomSampler,PRUNED
22,22,6.8973930366068466,2026-04-20 11:12:18.060950,2026-04-20 11:12:22.304160,0 days 00:00:04.243210,79.78896088006243,93.74832525387968,17.98451092065976,-60.06142950318104,43.52237017666564,42.39405721166405,40.673638003178475,42.605999866982856,10.894351198666177,49.716357043132035,15.08670559584429,61.76635903651415,-60.14830794100382,39.54710066409889,69.30434796282537,66.81669356497079,48.744161505607764,25.03523293673284,Unattained target,RandomSampler,PRUNED
23,23,6.358652346030951,2026-04-20 11:12:22.420238,2026-04-20 11:12:26.813933,0 days 00:00:04.393695,59.211522352687034,96.21681085694294,28.14009464998111,-67.95936716738234,89.65102511107548,40.78876267547577,91.56147098466089,48.413179499726986,25.278988061393097,93.13948813182444,68.04275430958427,22.591722523455736,-34.311305890157605,13.524667744494653,82.62110297175816,85.88404355993792,39.43732344449698,25.946985417504305,Unattained target,RandomSampler,PRUNED
24,24,6.049303532982368,2026-04-20 11:12:26.938927,2026-04-20 11:12:31.064396,0 days 00:00:04.125469,53.76675363332428,96.77426147307962,17.3630559814859,-53.03845866671385,10.915524824755334,11.323519652890573,97.4517873687541,40.432343115278876,27.43704311552936,99.81498862198917,93.50011913049958,53.461023643923106,-40.49777096530713,52.58376074589098,74.88291133122756,66.5761264341617,49.16117942961771,23.722123465732583,Unattained target,RandomSampler,PRUNED
25,25,7.201114550746343,2026-04-20 11:12:31.191481,2026-04-20 11:12:35.618335,0 days 00:00:04.426854,90.19431938072408,58.057727128547036,53.846202145983234,-26.49958047475181,78.39863966573623,73.72760635597584,34.27784331667716,38.4883768868745,11.670487396192346,56.453742134194144,89.84105223139534,99.71874783291571,-48.29980308628585,65.25209176417931,64.36204167983826,75.85558606987702,39.27468397520851,17.25566888349241,Unattained target,RandomSampler,PRUNED
26,26,9.797949119772476,2026-04-20 11:12:35.729110,2026-04-20 11:12:40.200947,0 days 00:00:04.471837,44.793263730329215,87.8266352995532,96.48125472671667,-23.277936071086394,50.295876914510245,37.6708589951144,20.272468462793935,44.89425752060096,25.216051260608133,64.63094770481351,62.82197775547712,76.03695480914078,-31.056389652927862,70.69734241191422,47.62783658759439,58.07806796717284,48.09053262695433,12.140762483690308,Unattained target,RandomSampler,PRUNED
