,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 17:58:15.885430,2026-05-12 17:58:16.749968,0 days 00:00:00.864538,-75.26860129985698,38.46842424715953,88.65798132676156,32.95000144077108,45.48371032990176,70.6387668487038,-53.823849514346136,64.87006802997303,31.625446251715413,57.68586479136485,10.153622887587376,51.23443110202443,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 17:58:16.890153,2026-05-12 17:58:17.133350,0 days 00:00:00.243197,-69.08437743660694,42.48831650461707,23.970848309181925,79.32609300840313,54.175764734592576,65.75684618944175,-76.5969542798057,76.00247024615226,22.77296879977453,16.690382600146428,28.036584910831294,27.13651600620657,Unfeasible shape,,PRUNED
2,2,0.0,2026-05-12 17:58:17.226581,2026-05-12 17:58:32.431828,0 days 00:00:15.205247,-46.21833216264457,88.94576006416176,65.95018824968888,76.31669517894501,15.030022597244386,21.853563626858172,-71.45833489323658,22.528889321970194,39.99256947581721,37.258962770298595,18.481039594532366,24.04720841644638,,,COMPLETE
3,3,140.0,2026-05-12 17:58:33.826735,2026-05-12 17:58:34.344696,0 days 00:00:00.517961,-51.83749152770666,50.73253347765586,37.78815020276464,44.66036694945391,34.441251952665276,34.49505486747115,-67.286454225949,50.20304071900681,57.55185496933173,48.752447086581164,36.82677234192071,39.81773680506462,Unfeasible shape,0.0,PRUNED
4,4,140.0,2026-05-12 17:58:34.478974,2026-05-12 17:58:34.704423,0 days 00:00:00.225449,-21.33236128757892,38.979951044985384,64.03143812337584,46.84354703182393,48.84530252081675,47.90833697058464,-53.96965096714051,75.27071542357913,81.47872950376714,49.627093003292934,22.13081152834004,30.066875907271207,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 17:58:34.796901,2026-05-12 17:58:35.088283,0 days 00:00:00.291382,-62.1221642483892,50.082265985519044,43.93370874758046,60.5398286808563,52.217364973488436,37.08885731734362,-37.90106710626485,62.220600247692516,38.24679787823156,53.869540328218335,50.76874021437154,6.5814443260983415,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 17:58:35.236952,2026-05-12 17:58:35.508510,0 days 00:00:00.271558,-46.7267805293241,58.05021810020675,45.55411328671367,51.29670102520682,34.380678627972,33.00533044856559,-50.720643746937455,64.3089737783109,56.20671635972892,36.707952906017894,35.108133693768465,26.80547188707544,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 17:58:35.651332,2026-05-12 17:58:35.929788,0 days 00:00:00.278456,-60.95708572843208,44.06424800178236,26.826839204109913,76.62202053360808,26.439814058941693,35.8072478903405,-37.60744877825456,81.89459590765824,55.237560119087775,37.61873975863695,25.16533625558796,37.05233008043527,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 17:58:36.063874,2026-05-12 17:58:36.324163,0 days 00:00:00.260289,-51.97642327942921,47.08900650753777,60.863176709012386,86.96395725910008,31.4866681611318,47.8055124433663,-49.27505296378943,53.773777067620415,35.90330771740035,61.096688635733464,36.37171512600291,51.89852846283282,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 17:58:36.484165,2026-05-12 17:58:36.756359,0 days 00:00:00.272194,-63.30966132747646,26.40128499956453,48.69427924219053,56.412777644221634,29.711797852275087,42.789117816502696,-59.70339635501257,80.56512012114948,93.02685733666966,63.029657316159366,45.66984493320709,25.900303571115792,Unfeasible shape,0.0,PRUNED
