,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,8.73832302826549,2026-05-11 13:53:13.549623,2026-05-11 13:53:27.156625,0 days 00:00:13.607002,-43.304213962999455,68.8221288073068,33.58395734356448,71.53036161703935,48.415875205381745,7.495886516846098,-33.46540681605991,97.78070173960234,60.20247054899522,57.42473309300483,31.54439010623071,23.050043676949493,,,COMPLETE
1,1,8.740520267891142,2026-05-11 13:53:28.606976,2026-05-11 13:53:46.536644,0 days 00:00:17.929668,-52.262609553654414,50.50311693196569,64.50151241733873,43.615192788323974,23.733682320424602,49.225281129464534,-47.416023453482595,66.49314618857298,42.86911357320494,42.67953025579144,29.048078799492703,25.58136134423594,,0.0,COMPLETE
2,2,8.744329023284038,2026-05-11 13:53:47.865517,2026-05-11 13:54:09.300950,0 days 00:00:21.435433,-61.095746109273406,68.2292376683169,40.302552595907,47.91856930348752,10.28961482721565,53.999545017227526,-43.270500091967726,46.10385015422158,52.51830306260719,61.56805292119458,33.43490403022927,33.42775530681657,,0.0,COMPLETE
3,3,140.0,2026-05-11 13:54:10.842704,2026-05-11 13:54:11.290501,0 days 00:00:00.447797,-51.5803939351877,48.51076705589948,58.09628768695285,75.95885006133756,72.5840357010038,23.427934737086996,-47.168301776355015,55.76908930956837,41.811298174545584,59.386643432962444,26.440629173026107,64.49209792974517,Unfeasible shape,0.0,PRUNED
4,4,8.741316596868572,2026-05-11 13:54:11.419368,2026-05-11 13:54:30.350775,0 days 00:00:18.931407,-62.91032110256073,43.238692146669905,38.41229422230042,71.90931861723817,27.947346945508247,42.272870644387645,-53.14410578673011,43.53487441273075,61.70882671678915,72.83783447363538,36.22836485931608,32.57384412514266,,0.0,COMPLETE
5,5,8.729508353925965,2026-05-11 13:54:31.879578,2026-05-11 13:54:51.295078,0 days 00:00:19.415500,-45.42573028655045,58.97131922864862,57.98611186761543,79.97280693496316,37.248214092803394,27.08117958057908,-47.953558330250026,62.26528483896632,40.47403541433776,71.95054230443131,25.57378181778381,34.15931337258899,,0.0,COMPLETE
6,6,140.0,2026-05-11 13:54:52.813655,2026-05-11 13:54:53.076585,0 days 00:00:00.262930,-43.62448747762202,71.93514865911297,40.67276916372769,40.613894432880656,24.779511355816094,36.20393172747014,-40.96119091282568,59.315152102955764,56.00219327765508,41.81218319141285,43.02887462784106,52.04679478481468,Unfeasible shape,0.0,PRUNED
7,7,8.738991153528247,2026-05-11 13:54:53.214258,2026-05-11 13:55:11.990715,0 days 00:00:18.776457,-55.565749221084744,43.80794738135314,60.45892135814154,76.62939293538452,46.097040714787774,32.92149167744875,-65.46699697965396,46.680611403309726,45.97022053523237,47.13476046793758,23.904601911464255,36.402390646234515,,0.0,COMPLETE
8,8,140.0,2026-05-11 13:55:13.365360,2026-05-11 13:55:13.579031,0 days 00:00:00.213671,-47.36023824543376,25.644068029926004,58.73456644297681,57.99463167469599,31.50643034841786,11.487496567661204,-52.333968813788346,38.81054009067517,49.16000354129541,90.78814947514746,47.625355781658875,73.2623272527251,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-11 13:55:13.684695,2026-05-11 13:55:13.940174,0 days 00:00:00.255479,-35.25105749423283,43.01114120213491,42.46907196449308,65.2256008697336,35.98217943158712,23.90829419638615,-57.86347241174345,29.38610113372734,59.308587122581656,50.33328430686783,66.8630353820611,19.74367178862793,Unfeasible shape,0.0,PRUNED
