,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 18:00:44.673398,2026-05-12 18:00:45.574843,0 days 00:00:00.901445,-49.24272404218973,21.09364909359821,57.90191872159125,26.205423090596636,4.3301128993455364,48.476083081192066,-45.23090272444198,67.71362396595066,92.38017975178933,93.92893254856546,11.279925758192173,10.581977667153117,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 18:00:45.674270,2026-05-12 18:00:45.949248,0 days 00:00:00.274978,-31.019911282590826,40.862119027688024,87.17502722839859,91.5500839107572,51.39110161179453,41.570698167151974,-29.244089760031272,10.119577650209337,10.976616126919582,80.24178670547387,0.41949803314265677,21.803271348461383,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 18:00:46.041786,2026-05-12 18:00:46.315410,0 days 00:00:00.273624,-49.03876044267645,53.20981904860666,45.32265609724705,89.50473630668239,45.11155250471067,25.261937362851462,-47.53093303365178,58.54374290250291,59.97720802700839,38.86779304795302,19.000279851224434,14.905655477734555,Unfeasible shape,,PRUNED
3,3,140.0,2026-05-12 18:00:46.407787,2026-05-12 18:00:46.655551,0 days 00:00:00.247764,-54.48884309096066,94.54536256387061,38.93344104561761,71.70823549096849,41.76125736895745,9.875799979774069,-55.120705310802606,52.78063993788072,31.205109545411712,80.19715736859388,61.090456457969054,23.66913631124393,Unfeasible shape,,PRUNED
4,4,140.0,2026-05-12 18:00:46.759512,2026-05-12 18:00:47.016303,0 days 00:00:00.256791,-53.68989182185957,24.30593594137848,87.22214880065722,72.80283448499921,66.548113722386,28.674590782073313,-51.070918490157496,84.8779551162848,54.18959008925148,66.53611899794743,58.428018809912416,48.508187980383155,Unfeasible shape,,PRUNED
5,5,140.0,2026-05-12 18:00:47.108508,2026-05-12 18:00:47.336371,0 days 00:00:00.227863,-76.06264636627765,14.570865336408842,77.6772848630623,33.2008809551653,64.43886545568196,59.37258429742864,-27.100010449689364,64.39868622461358,57.82950023883089,62.97368637645547,5.343755606265105,16.18291305985602,Unfeasible shape,,PRUNED
6,6,140.0,2026-05-12 18:00:47.451168,2026-05-12 18:00:47.751564,0 days 00:00:00.300396,-44.52378062761221,32.557725937539445,45.11869725743929,77.59477596144542,69.62557910277674,66.72282165795863,-40.023537968422104,69.96144762631917,31.36215188827146,39.146887627887224,25.991284007848105,47.840916780090566,Unfeasible shape,,PRUNED
7,7,0.0,2026-05-12 18:00:47.843284,2026-05-12 18:01:04.359640,0 days 00:00:16.516356,-67.20060493706565,75.4349179681957,12.49880936184915,20.32292342121431,1.5072608715213986,23.64747432909549,-79.1241304555855,98.44229285031149,99.48278472722859,95.28750573472584,26.170244808923698,3.42023567892305,,,COMPLETE
8,8,140.0,2026-05-12 18:01:05.972715,2026-05-12 18:01:06.509515,0 days 00:00:00.536800,-50.71217109114252,44.394623956509975,57.579893374939346,75.00574689057788,39.052868132734716,39.17165611781022,-43.26061473588714,72.84853013238522,24.884966229442522,63.95936235891391,51.240194908191306,58.69779425336785,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 18:01:06.623836,2026-05-12 18:01:06.916415,0 days 00:00:00.292579,-49.860296085095015,37.43166261169695,62.782852841186724,69.94286610925637,54.07196362834721,36.41906904596339,-75.42902798163976,28.285044263055475,40.39992104098799,52.18513295279807,41.13812955009498,33.312283620117455,Unfeasible shape,0.0,PRUNED
