,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,,2026-05-18 13:59:31.859968,2026-05-18 13:59:33.106821,0 days 00:00:01.246853,68.98916331509702,9.297290631915047,77.50138931424677,-11.11988565982496,27.09746040630967,70.02472354734216,5.015557673560785,-29.783431398964904,72.13817519247947,9.180787501421655,82.54848191085063,85.12506659227564,-48.24740376390999,29.28282935474675,48.001426247325526,20.348213365598248,4.354757375375808,43.452616638072314,Unfeasible shape,,PRUNED
1,1,,2026-05-18 13:59:33.203745,2026-05-18 13:59:33.478846,0 days 00:00:00.275101,61.657329646538244,70.31376019805887,17.314262828594686,-13.364230788917396,84.58587035735144,92.9699075129096,80.93381496019809,37.403038251234506,137.3982299857509,35.42931111321836,73.55566625126743,14.03425014464523,-47.166486519408025,95.58366381343154,51.674859979071094,14.187535763675868,-10.905789830550493,-8.54851650965843,Unfeasible shape,,PRUNED
2,2,,2026-05-18 13:59:33.584280,2026-05-18 13:59:33.832505,0 days 00:00:00.248225,15.829059067527526,56.24135142810526,70.67667441745502,-10.944052690446341,88.49609194265516,56.24910581884029,39.19476891443744,35.46750731176738,84.36600072452552,2.4894034878616225,94.6794393241835,81.94592671633659,-10.249412832674054,35.61242285326989,8.835790162492785,51.913468575882455,3.4914664454681983,8.615328748650853,Unfeasible shape,,PRUNED
3,3,,2026-05-18 13:59:33.926006,2026-05-18 13:59:34.139990,0 days 00:00:00.213984,72.96154133496724,35.18724156437897,31.948984893455037,-56.983857998484794,33.14285832032019,74.38745131114618,40.370098794206086,36.98851729481778,133.56596974418161,16.904364233935752,10.311340448153464,98.72750432461572,-54.054672668597256,6.607925841348707,99.30131145691257,33.87968715153649,0.5454431502943144,-15.624845131524783,Unfeasible shape,,PRUNED
4,4,,2026-05-18 13:59:34.233244,2026-05-18 13:59:34.464328,0 days 00:00:00.231084,82.6313809898801,34.59216434717212,14.996610259339773,-41.422710124766915,49.83796196736401,11.41781396930408,19.691497510500803,38.76150548640254,98.7673019570617,30.006282125204653,79.5487627744832,68.79333506670675,-38.85598918360774,94.0188839201619,69.17988007504118,95.94852348457695,53.3361307041516,33.422832935030385,Unfeasible shape,,PRUNED
5,5,,2026-05-18 13:59:34.572306,2026-05-18 13:59:34.809443,0 days 00:00:00.237137,78.96131305708792,48.460396393741846,10.975907667298694,-73.12952909409667,68.79350098680865,91.91493848438743,88.94486522286532,26.1113393611122,4.164280527586399,41.68738335288543,8.948971624515117,1.1870507835587163,-32.99804706932973,45.563145855468,90.3778140284808,61.14938186570408,5.028475744344121,17.002907891852097,Unfeasible shape,,PRUNED
6,6,,2026-05-18 13:59:34.921431,2026-05-18 13:59:35.212516,0 days 00:00:00.291085,17.283994675804298,60.732931151706374,79.3206243275792,-43.72560415481335,97.94330460350615,93.49020290755522,56.649612513463445,-38.53852211253694,81.27274875264533,37.028984738784594,39.70786217609557,92.57738781125401,-58.224204955465126,93.78773940586343,30.28663502165077,84.4472957591009,19.019472377947167,44.017012478063705,Unfeasible shape,,PRUNED
7,7,,2026-05-18 13:59:35.300052,2026-05-18 13:59:35.573791,0 days 00:00:00.273739,6.952995846413452,58.1278990876346,71.20017380871684,-10.44856182934896,33.16865465969434,15.90799303604463,33.24526393803694,39.6685951511611,0.8170001232972623,52.44108659691716,74.9312246914909,21.01311923201914,-35.77052780887023,1.486355267420941,47.08762245041989,73.59869828157034,75.42395349738261,-0.9422559824471861,Unfeasible shape,,PRUNED
8,8,,2026-05-18 13:59:35.679591,2026-05-18 13:59:35.994506,0 days 00:00:00.314915,67.45759923108794,9.362301072030004,24.195614430814736,-35.66916949402076,3.6414590827666364,1.9143031052135258,61.18973696947941,25.281760141123172,-4.733474382448204,6.217678245271405,84.76758810483012,68.33106634614379,-70.4864464381049,60.4584022553434,20.316053274760463,52.69203790527126,72.833836113388,39.13854671162804,Unfeasible shape,,PRUNED
9,9,,2026-05-18 13:59:36.102444,2026-05-18 13:59:38.516103,0 days 00:00:02.413659,55.022675621917614,41.63316367512381,22.28877945913169,-44.91904892827837,92.8978131720841,5.113601164968799,80.65355101837072,-20.128258645614917,19.59393161158205,8.594309626873347,22.878683275059156,91.38531599018141,-34.91914317507969,65.45406481560113,57.64942494197168,10.465081550272526,-2.4123348015442563,-22.45423729976449,Unfeasible shape,,PRUNED
