,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,5.851168645843039,2026-04-20 17:39:13.414238,2026-04-20 17:39:25.184486,0 days 00:00:11.770248,-35.46896534064572,44.09409915191229,70.1481783330905,11.558191554553325,48.530583607757286,12.643323447377778,-24.259017382943853,68.48007768466644,22.51915122559036,65.03805138049597,33.574613769559384,22.770313290056404,Unattained target,RandomSampler,PRUNED
1,1,0.05079176636083815,2026-04-20 17:39:25.342458,2026-04-20 17:39:35.644408,0 days 00:00:10.301950,-54.592150154561594,94.26528590010294,35.66791367969341,35.036688533926,40.096440423833165,12.58184308861049,-52.86709838644522,45.4813216212391,48.66086344569395,35.54205913978102,46.006378879274536,15.400433104424279,,RandomSampler,COMPLETE
2,2,0.040955733632973335,2026-04-20 17:39:37.022854,2026-04-20 17:39:46.404555,0 days 00:00:09.381701,-72.43347405768037,44.05020232346567,63.03459198216299,51.561224751874036,44.75707608436497,21.710645341372008,-48.42771591083422,18.458556685849832,22.832352990343587,51.88442729143423,44.19830570624837,28.067825673547933,,GPSampler,COMPLETE
3,3,4.08343589837385,2026-04-20 17:39:47.714626,2026-04-20 17:39:59.475046,0 days 00:00:11.760420,-35.61107493076469,63.231144440602144,31.161568822595246,54.92884262666614,31.16296351595562,11.3439699097425,-58.62824627158244,86.78115746777644,36.59971424448862,39.4936491028961,33.29080348418966,11.250445900533968,,GPSampler,COMPLETE
4,4,6.0,2026-04-20 17:39:59.855102,2026-04-20 17:39:59.909865,0 days 00:00:00.054763,-72.85631458272097,87.49540520024772,11.012545507131023,96.74270628514248,41.403797513921454,26.033374970448428,-25.72794895811265,80.0697248173639,90.20240065108912,38.36915886913176,32.36478104069385,15.539692232810715,Unfeasible shape,GPSampler,PRUNED
5,5,0.05549609695290769,2026-04-20 17:40:00.051302,2026-04-20 17:40:10.427081,0 days 00:00:10.375779,-59.91328186402943,66.11633314800427,18.087693384528226,41.32319728991441,31.664100861271734,14.25465456954032,-57.677134434184964,11.388914835388514,69.93753458388404,16.502627988871183,33.28696448066199,23.12848858638165,,GPSampler,COMPLETE
6,6,0.04208112154902466,2026-04-20 17:40:11.757638,2026-04-20 17:40:20.791953,0 days 00:00:09.034315,-62.867892746593085,94.28207295355743,83.68573516676018,73.3054703263594,38.674556561633295,17.83542112558181,-75.5388437372353,50.20481883191373,86.54078559161881,36.51323633544746,38.11749467751185,27.954270770458027,,GPSampler,COMPLETE
7,7,27.856342083827855,2026-04-20 17:40:21.687457,2026-04-20 17:40:26.356242,0 days 00:00:04.668785,-53.80134703368155,30.917359282286643,60.31559946589273,39.970448892616574,36.55072341668583,15.922529590913372,-51.52516380253976,95.96018811139288,49.39430574221978,90.85714592875712,48.28809430149447,17.05885482276402,Unattained target,GPSampler,PRUNED
8,8,0.15904160590979188,2026-04-20 17:40:26.501186,2026-04-20 17:40:35.980861,0 days 00:00:09.479675,-35.916290572138365,56.62184718466889,62.94477717357574,57.318662249475494,44.53598001033746,17.59231306489604,-53.914444040330814,32.421905440655706,39.47181285866482,10.215999438578887,38.12788389980169,16.263754830490775,,GPSampler,COMPLETE
9,9,0.036708161381554305,2026-04-20 17:40:37.435112,2026-04-20 17:40:46.776134,0 days 00:00:09.341022,-34.4207983373345,84.30940505537043,49.65901534513486,22.592742726281088,37.667561394584325,23.32847486827325,-72.92420718735508,46.526579139987746,23.05943216200805,58.86761701694517,45.94668073377626,11.361794269574464,,GPSampler,COMPLETE
10,10,0.05857875606795915,2026-04-20 17:40:47.471066,2026-04-20 17:40:57.497458,0 days 00:00:10.026392,-34.55262905243912,68.30461208042567,51.51799513723238,25.002367620516146,42.728796378131996,19.215408084795147,-67.62213801944874,43.72014827347781,34.943857842560845,51.04063231588429,42.8661521508231,16.81294967104992,,GPSampler,COMPLETE
11,11,7.488469962629452,2026-04-20 17:40:58.726308,2026-04-20 17:41:04.216390,0 days 00:00:05.490082,-76.52917893977126,13.748676792942053,68.49724713517364,66.33353824167389,49.60399311526423,22.836840592042726,-34.05914590255962,52.67683186182214,57.031948435219455,41.72144654378255,44.12060156564035,17.62343492425668,Unattained target,GPSampler,PRUNED
12,12,0.048625849743256566,2026-04-20 17:41:04.351234,2026-04-20 17:41:14.724839,0 days 00:00:10.373605,-58.78171574340789,25.534251702445225,38.22164047065179,35.544441028812884,42.60137177749891,24.711042816465103,-54.33367834122693,71.77376267278537,66.13376351603495,62.772014701215014,47.930725131495805,12.303045242171747,,GPSampler,COMPLETE
13,13,0.025643557724770005,2026-04-20 17:41:16.182509,2026-04-20 17:41:28.826481,0 days 00:00:12.643972,-33.434148698157934,63.52946444763548,11.959163364368328,20.064272108362786,37.12978813112539,28.574428727735224,-66.51888310842814,96.2915111043363,14.64903909139794,97.00152597074391,43.62232315926526,29.113015424730328,,GPSampler,COMPLETE
