,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,8.752354691428856,2026-05-11 21:39:26.378482,2026-05-11 21:39:45.552798,0 days 00:00:19.174316,-21.120304001808037,38.17908235840203,72.48933760681695,17.45249653948245,58.47237061346897,39.28015046918711,-41.258245000234275,50.41892337436938,70.71302534852454,81.03639046734784,16.972760572895357,39.311552928973406,,,COMPLETE
1,1,140.0,2026-05-11 21:39:47.446805,2026-05-11 21:39:47.996014,0 days 00:00:00.549209,-31.494004805097056,59.5420579238111,19.40556869992008,43.50747933547126,27.787624112743302,38.43707917757937,-47.19781969514704,78.62597410524023,63.93450009292904,52.45136613467197,36.59845924709463,43.34546504288897,Unfeasible shape,0.0,PRUNED
2,2,140.0,2026-05-11 21:39:48.110851,2026-05-11 21:39:48.334629,0 days 00:00:00.223778,-42.21183707164502,54.73834360860288,40.85098465469042,77.77385350302677,39.71383279422354,10.534947335907693,-25.659999248759455,34.28975389996724,49.01532888596847,61.059840102320905,49.8640943866849,55.23055649971482,Unfeasible shape,0.0,PRUNED
3,3,140.0,2026-05-11 21:39:48.440536,2026-05-11 21:39:48.719139,0 days 00:00:00.278603,-46.25959071485174,50.454943712107756,40.331827626032435,76.43053378083708,46.438576015867646,18.2738476290985,-42.41749782734075,58.18999048951175,49.29102187974473,40.43216143469084,39.986163815007494,30.979160491111834,Unfeasible shape,0.0,PRUNED
4,4,140.0,2026-05-11 21:39:48.845215,2026-05-11 21:39:49.095622,0 days 00:00:00.250407,-54.45110701252121,67.50497466367324,89.38246216239665,67.39834155380782,42.752567026090524,30.757135653297677,-41.4276731621274,47.407138823274245,70.2665663987012,39.59522857054691,21.32509032686935,39.48924056290813,Unfeasible shape,0.0,PRUNED
5,5,8.762745629461655,2026-05-11 21:39:49.208267,2026-05-11 21:40:03.993344,0 days 00:00:14.785077,-41.260519451817856,52.82787350433148,53.089466885323155,19.59584474889506,40.07723360041951,39.03759359213996,-34.51374595563037,56.59114306454825,58.940980508374686,31.908500458003928,27.57239884345107,29.661092825825847,,0.0,COMPLETE
6,6,8.765560417172146,2026-05-11 21:40:06.013182,2026-05-11 21:40:18.581399,0 days 00:00:12.568217,-42.664153828417774,63.74162252799789,45.6024074934683,44.76459930899412,39.13385902920095,37.63428852168969,-54.72558204582105,54.83733675251459,48.677035721733766,79.37928771487346,19.209167983947786,35.17964515351001,,0.0,COMPLETE
7,7,140.0,2026-05-11 21:40:20.220277,2026-05-11 21:40:20.431195,0 days 00:00:00.210918,-46.37785374408095,51.87449281201618,67.7058880532839,40.39881967870298,32.17613237311494,48.85148405431471,-41.580689867255145,59.037882951244676,57.81030704076067,40.58639200540597,46.285007805230464,47.41769008183648,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-11 21:40:20.559345,2026-05-11 21:40:20.821597,0 days 00:00:00.262252,-60.1005985546352,68.53018173862684,36.65005535387634,55.52225373343637,54.1279203142232,29.14689609693502,-46.320188984627514,68.02825754326605,75.24599524666344,44.31365412057176,33.79819436392723,40.595290052780115,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-11 21:40:20.925846,2026-05-11 21:40:21.158654,0 days 00:00:00.232808,-52.41526603451702,53.21959818550152,67.18117194984839,55.800299413990324,52.481855522685194,35.63873863207545,-35.17612679617065,61.05912162010136,66.60521330384077,57.25198460625922,23.873530900272915,47.01843887390656,Unfeasible shape,0.0,PRUNED
