,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-22 12:37:02.927788,2026-04-22 12:37:03.499187,0 days 00:00:00.571399,-40.90117483462826,38.363816198566774,57.83488614325394,75.64952622342433,1.2702210885989977,9.107545692383475,-31.89577555227695,51.88696445153837,16.361403430936384,61.268893940607335,10.17428025561609,60.95702741181286,Unfeasible shape,RandomSampler,PRUNED
1,1,6.0,2026-04-22 12:37:03.615147,2026-04-22 12:37:03.693981,0 days 00:00:00.078834,-59.2507151786902,57.402582466719664,15.61057672667281,13.457834506200847,48.16741250330731,-0.3239086586226989,-55.95744893438782,25.392562225997086,75.73855633228006,61.943847492041805,18.398740075837267,30.194688502063556,Unfeasible shape,RandomSampler,PRUNED
2,2,6.0,2026-04-22 12:37:03.847637,2026-04-22 12:37:03.913308,0 days 00:00:00.065671,-64.87165844634058,86.70508335921159,77.87975407296037,66.07373367320608,34.354925941543875,25.396819448384058,-27.892677605876095,19.12852113024826,85.70875713960443,63.86731710209394,3.4014119462848598,20.455246622524278,Unfeasible shape,RandomSampler,PRUNED
3,3,6.0,2026-04-22 12:37:04.041819,2026-04-22 12:37:04.101181,0 days 00:00:00.059362,-48.62227629310361,80.28688000525823,45.70293533100241,87.74944767131552,7.1774959217252245,51.909736124803956,-22.26091403466007,67.2731994419138,55.716419128058064,23.065269210293685,3.004607868175597,-6.845590437646367,Unfeasible shape,RandomSampler,PRUNED
4,4,6.0,2026-04-22 12:37:04.234382,2026-04-22 12:37:04.298010,0 days 00:00:00.063628,-64.31093623818974,57.32303363037354,67.29153786378713,37.076019540896944,6.574157899352791,4.140123808467543,-31.18052794243141,11.155262717169002,59.91622347654645,80.04868802599844,13.065177380454386,4.836367834300695,Unfeasible shape,RandomSampler,PRUNED
5,5,6.0,2026-04-22 12:37:04.458267,2026-04-22 12:37:04.519514,0 days 00:00:00.061247,-29.735128975091484,18.272627263287916,40.423195144185144,20.68309687129455,12.383525714697711,-2.987367234893494,-65.8171406307272,81.29348131126918,61.439964536005554,15.594987810723435,-6.956193066097018,-1.843633342402656,Unfeasible shape,RandomSampler,PRUNED
6,6,6.0,2026-04-22 12:37:04.648508,2026-04-22 12:37:04.695794,0 days 00:00:00.047286,-30.910304615557706,62.757551256826815,10.543581285419318,16.669937248478742,51.13008206157743,-1.286049543733725,-46.36249629975856,17.294890672064106,65.31985732566947,72.946163006906,-4.238738642501019,0.4389642367597908,Unfeasible shape,RandomSampler,PRUNED
7,7,6.0,2026-04-22 12:37:04.859000,2026-04-22 12:37:04.917321,0 days 00:00:00.058321,-25.271579112775377,91.01441452068383,64.98852801175123,51.67870117151922,58.46133808185873,20.229590365795886,-38.716851100414765,35.72202897493963,28.49628720123737,67.79220083083797,-6.647539217690696,12.704290632947696,Unfeasible shape,RandomSampler,PRUNED
8,8,6.0,2026-04-22 12:37:05.042961,2026-04-22 12:37:05.110171,0 days 00:00:00.067210,-29.925412782917157,11.78167277127031,94.39827559217699,84.93772376548955,38.45938392357172,27.24664115353724,-75.8047669334231,26.69241120107376,31.279571791937833,22.574074575898997,-19.656285722771912,-8.46924565242885,Unfeasible shape,RandomSampler,PRUNED
9,9,6.0,2026-04-22 12:37:05.236353,2026-04-22 12:37:05.295418,0 days 00:00:00.059065,-41.13319614431025,89.99598911689955,16.711693605650474,96.85931305285744,6.699751894014753,40.11138135010225,-33.96830993709473,63.648126892328655,84.30759693896417,19.76967941771299,4.3709307635455446,10.925207092770588,Unfeasible shape,RandomSampler,PRUNED
