,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,0.04572370752998722,2026-04-20 17:20:16.063273,2026-04-20 17:20:27.143415,0 days 00:00:11.080142,-72.60908169080122,81.03584832366604,15.694907113580593,55.72599811640971,36.19543777682675,11.736116604267817,-25.453792886488827,99.24654555779756,17.350027328772864,31.15763576510381,39.03193194929788,22.425967174041418,,RandomSampler,COMPLETE
1,1,0.03427974762419694,2026-04-20 17:20:28.441104,2026-04-20 17:20:38.863952,0 days 00:00:10.422848,-44.12792498721658,23.37313638119106,70.47447035677133,28.927275815870097,39.02589795901604,23.504389237456536,-61.7529310780278,33.04201687067369,82.89167682634937,21.663439665520627,37.217357811787565,23.765847496700417,,GPSampler,COMPLETE
2,2,16.90129798935216,2026-04-20 17:20:40.498131,2026-04-20 17:20:45.343871,0 days 00:00:04.845740,-49.11251810350075,17.917639932514067,70.7725677936094,65.68393752436603,44.89912963381579,17.991856697311206,-55.96758897635565,76.42435142737614,48.26355984520756,74.31171664347839,35.51422606335793,28.08263204289256,Unattained target,GPSampler,PRUNED
3,3,5.7267816156152875,2026-04-20 17:20:45.491158,2026-04-20 17:20:51.677648,0 days 00:00:06.186490,-22.036228150039683,16.88202253935805,86.33311982114874,79.4357494457847,40.501986086854245,16.34819524259496,-26.143902625381635,28.8030680419415,71.5686823938864,17.89964047678192,35.41932402918438,29.76440727543313,Unattained target,GPSampler,PRUNED
4,4,6.49841290690221,2026-04-20 17:20:51.812306,2026-04-20 17:21:00.728405,0 days 00:00:08.916099,-36.822065445099874,80.56105741281797,15.627448031699354,86.26812287329864,47.18651946091934,12.664205306638056,-32.13479562820069,59.91253138081899,46.00684508211485,74.54192686788201,36.67972750129563,18.42428602993462,Unattained target,GPSampler,PRUNED
5,5,5.021642013514949,2026-04-20 17:21:00.848538,2026-04-20 17:21:08.694620,0 days 00:00:07.846082,-40.71669715394714,49.48553555356137,91.92870557121569,80.85244247255868,41.49936185033346,25.605317340557317,-65.54607195211379,80.23345558225341,75.36991980491494,82.01647223724572,49.08807196347826,28.085547894177587,Unattained target,GPSampler,PRUNED
6,6,6.980258602298171,2026-04-20 17:21:08.810131,2026-04-20 17:21:13.942416,0 days 00:00:05.132285,-43.679406820775476,32.85980222783159,88.56331173215973,46.98027374881844,43.58074916012244,13.340390072692363,-60.72583442926735,83.39636123750522,69.63438481556037,62.708914891276656,35.05024606396796,10.70192152513946,Unattained target,GPSampler,PRUNED
7,7,0.047020252363601855,2026-04-20 17:21:14.065252,2026-04-20 17:21:23.924516,0 days 00:00:09.859264,-32.23063192643502,76.11730912167559,57.65672823836356,12.51002497030747,34.00410299790288,10.695849175719692,-29.039179729608165,28.818589370435884,10.444556272697147,43.27345252050245,47.44595892068752,14.214692850148548,,GPSampler,COMPLETE
8,8,0.062460697569491685,2026-04-20 17:21:24.584384,2026-04-20 17:21:35.104823,0 days 00:00:10.520439,-49.332917228760344,97.58030898224138,64.17108565706198,23.513202158203576,45.935108214883215,12.644129982462813,-27.102233652866865,27.375793008448976,21.841200249517833,12.185402605551882,38.25067643436279,16.16525660418344,,GPSampler,COMPLETE
9,9,5.4855665703301995,2026-04-20 17:21:35.939928,2026-04-20 17:21:45.359619,0 days 00:00:09.419691,-54.74336829467403,41.26406765532978,43.71994175173753,34.97412795335682,42.18205965436091,10.412969362125999,-71.31155020381166,24.4791193278362,34.377091213546564,21.844603859678266,42.33164999221,15.547241454360044,Unattained target,GPSampler,PRUNED
10,10,0.03033460707406732,2026-04-20 17:21:45.512842,2026-04-20 17:21:55.335201,0 days 00:00:09.822359,-50.603100529428254,74.85337223628693,20.84194566798454,70.23327409945298,31.205079963976786,28.067415963141045,-44.93463072329605,69.40550754908006,93.14698516582669,56.69897762237603,38.2430063766679,14.518801603539417,,GPSampler,COMPLETE
11,11,5.58120696252427,2026-04-20 17:21:56.193828,2026-04-20 17:22:00.735237,0 days 00:00:04.541409,-26.099891275272157,41.39569757349643,59.07519279087889,28.857729075813825,37.70037539618853,13.898613006238122,-35.14722909588122,72.75887663822718,12.569151321764192,98.54961831216164,46.38340851559504,22.25930809844351,Unattained target,GPSampler,PRUNED
12,12,6.337513258764943,2026-04-20 17:22:00.883210,2026-04-20 17:22:10.115311,0 days 00:00:09.232101,-59.41527481902841,64.87178553612296,69.34457081005156,26.363614256116314,46.98891129639752,13.629368752510542,-59.84280004538925,63.081006102298716,49.35911735771018,96.93496153437583,33.48150757459615,15.290679849535412,Unattained target,GPSampler,PRUNED
13,13,0.09823469904056026,2026-04-20 17:22:10.259847,2026-04-20 17:22:20.201562,0 days 00:00:09.941715,-46.871707195988854,62.07450806610901,76.71691134841781,78.59544920550134,37.437035660774775,10.495356618907918,-37.89395375748797,42.95069575125398,27.416629740837212,72.89756343133448,32.97479281268775,20.182394765930965,,GPSampler,COMPLETE
14,14,5.602428833973811,2026-04-20 17:22:20.995931,2026-04-20 17:22:31.205886,0 days 00:00:10.209955,-41.28351488378471,69.7421393147098,74.49918438946771,58.630901310533204,35.41990888301706,18.11146599311681,-62.544846184742866,32.41541955851004,64.74906255885304,80.830480380985,44.95273431241684,14.352208062927707,Unattained target,GPSampler,PRUNED
15,15,0.06404131365369992,2026-04-20 17:22:31.343571,2026-04-20 17:22:41.679537,0 days 00:00:10.335966,-73.24539171177965,58.07978855277862,21.475779561660552,52.0256401843313,47.51616424722687,27.311889848286327,-27.63172736552579,54.42730216245608,10.308356370104745,49.21277779930209,40.1883786127129,14.028714460435808,,GPSampler,COMPLETE
16,16,0.10669006386636326,2026-04-20 17:22:42.835887,2026-04-20 17:22:53.484844,0 days 00:00:10.648957,-22.53364682039404,46.164683033514194,65.93131934751551,64.45111648024242,41.279677840032846,11.12525026852148,-68.64515009596903,32.41926976218093,40.87776114458221,57.05119807117591,33.17035323235667,16.886901005484788,,GPSampler,COMPLETE
17,17,0.03915837130562494,2026-04-20 17:22:54.245849,2026-04-20 17:23:06.211397,0 days 00:00:11.965548,-20.961218743801965,32.02119806739139,33.73779097511854,84.81923817904467,38.283637974510945,14.616476966200535,-36.7864748738508,49.65567365521544,26.193762068990402,23.092511034408,39.62161734256455,23.05955485962226,,GPSampler,COMPLETE
18,18,0.04983433529231007,2026-04-20 17:23:07.301976,2026-04-20 17:23:16.638334,0 days 00:00:09.336358,-79.15916314982996,77.70786765386111,59.78851169632901,71.88598684928552,42.156676970761325,26.021266007039642,-24.14058648136468,18.00227313671397,94.14600240319841,44.92675053232783,38.053374424186046,15.82138462040258,,GPSampler,COMPLETE
