,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,25.7960103495309,2026-05-13 11:43:06.814002,2026-05-13 11:44:13.319375,0 days 00:01:06.505373,-33.386006008140576,84.37108466985315,22.334650450617175,33.21256954463922,19.616874987675985,4.8466083562351265,-76.22012080740404,63.03140012310733,91.77394332466939,21.687722613844297,37.95371171654663,7.087126302407857,,,COMPLETE
1,1,25.852398406088934,2026-05-13 11:44:14.663464,2026-05-13 11:45:22.744293,0 days 00:01:08.080829,-48.92786323429064,63.55005705978501,56.10196857321564,27.82194123513476,17.13345263103312,29.59996173863331,-52.94331710167361,43.78611130782792,55.29508184166409,53.559759721331396,16.224896961398336,34.12925815589463,,0.0,COMPLETE
2,2,25.949602816589135,2026-05-13 11:45:23.903062,2026-05-13 11:46:31.832859,0 days 00:01:07.929797,-46.79492406882352,51.60723355358775,60.68398756864237,45.036141621794336,35.10754874030992,49.54393952540473,-55.08570258173816,51.31886542349329,73.8170537512562,78.65396760725784,40.12314689536918,26.90050402134273,,0.0,COMPLETE
3,3,26.253039605742025,2026-05-13 11:46:32.953238,2026-05-13 11:47:41.657247,0 days 00:01:08.704009,-59.79362738638878,25.86584733833041,61.30162834536634,22.844699406809998,40.7897390645385,58.52603683394605,-47.139057926334715,66.24994897657902,64.67512931465731,56.955563030819434,42.48515856535187,39.13740572073859,,0.0,COMPLETE
4,4,140.0,2026-05-13 11:47:43.109224,2026-05-13 11:47:43.354383,0 days 00:00:00.245159,-61.78761385684304,51.376857916048124,56.273645579026216,69.73713507613506,45.266401806141424,57.57332403122638,-44.00967989711174,31.50838257473922,75.61759846711986,71.24866879574168,67.08319234235866,55.694681617427705,Unfeasible shape,0.0,PRUNED
5,5,26.081372433590904,2026-05-13 11:47:43.458088,2026-05-13 11:48:51.806836,0 days 00:01:08.348748,-38.643176556438604,56.26517928159704,37.90937050473323,58.943029774803364,43.84337264618712,49.447288219236476,-41.08524035510869,68.56248017773531,62.21081684796614,66.30248440467389,28.852893553256994,36.897864848936706,,0.0,COMPLETE
6,6,26.46023869979393,2026-05-13 11:48:52.873351,2026-05-13 11:49:59.900090,0 days 00:01:07.026739,-57.40972873427764,36.5896087018028,30.429730180970594,46.96822080090044,15.987170419341298,32.24483637244711,-58.335764829712225,87.93253041067162,74.69697687749952,29.465315527066085,27.733472538997244,13.425479490246369,,0.0,COMPLETE
7,7,26.659021179473914,2026-05-13 11:50:01.078013,2026-05-13 11:51:06.270549,0 days 00:01:05.192536,-49.67909631027987,74.0609919100644,54.62920871765913,50.123116377395796,31.203260626420775,49.23830156886177,-52.98962375122988,66.43523951551037,55.001270606833735,61.16385486251145,33.64724126961206,33.0280314089581,,0.0,COMPLETE
8,8,24.463469692685507,2026-05-13 11:51:07.369946,2026-05-13 11:52:15.795388,0 days 00:01:08.425442,-64.99213856638531,54.134779675513926,60.454647995255456,69.9231401206637,34.94509533156743,29.55665977389326,-52.502743892470335,53.35621965380116,53.308465865538885,65.95053546348927,50.98498419921042,43.55993779338498,,0.0,COMPLETE
9,9,23.873160582140734,2026-05-13 11:52:17.096630,2026-05-13 11:53:22.209587,0 days 00:01:05.112957,-63.52597697198905,86.10229808786096,66.65269705037548,62.55288381189725,24.02597892788657,36.785250270299294,-48.696356492094,54.89437749247151,62.61511221641699,63.10650138938443,11.429733954426627,43.596662755140535,,0.0,COMPLETE
