,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,0.049467497724002385,2026-04-20 17:33:03.777598,2026-04-20 17:33:14.087573,0 days 00:00:10.309975,-29.75226816300168,29.334050895592163,19.372544638523387,95.73721533889098,44.62377417702868,28.715598869574393,-50.81852269375814,10.113778824207806,36.76972022463595,92.21129904460805,42.77327620250556,24.760693228827343,,RandomSampler,COMPLETE
1,1,0.031490048163853146,2026-04-20 17:33:15.268023,2026-04-20 17:33:25.367692,0 days 00:00:10.099669,-38.62726512805467,84.9214831407986,96.0825501126284,34.390519033871556,35.25333077911977,21.008340032330807,-41.646514873833915,22.391108398838597,89.43152579554696,85.3514802526002,31.623689517583756,17.05261299933844,,GPSampler,COMPLETE
2,2,7.4257204217560755,2026-04-20 17:33:25.787731,2026-04-20 17:33:30.280268,0 days 00:00:04.492537,-43.78548772452026,28.07081808716986,88.01010565624907,29.651806893939256,37.51234929950172,12.975348567086186,-24.90919394116637,84.15051447298764,68.33355373446045,29.210987333443782,40.33947621321725,13.410848176452543,Unattained target,GPSampler,PRUNED
3,3,0.6185811570836783,2026-04-20 17:33:30.450315,2026-04-20 17:33:39.717784,0 days 00:00:09.267469,-36.01029549843671,95.89977216522392,72.5888791929723,85.60065573237786,30.964940644759096,12.268809594347228,-75.31223675818217,53.698633042797546,20.136966536356827,24.19127828606831,38.879296893552294,13.026980753767116,,GPSampler,COMPLETE
4,4,5.167447008820133,2026-04-20 17:33:40.638192,2026-04-20 17:33:48.773177,0 days 00:00:08.134985,-31.497145517334403,73.83018549238093,94.26623872686363,16.679481936342384,32.96225755315841,13.156325961278386,-54.44177920067867,10.755840745834092,72.88254642367505,43.399650089147855,39.994470659010716,17.19102630248227,Unattained target,GPSampler,PRUNED
5,5,0.06013495289418458,2026-04-20 17:33:48.925125,2026-04-20 17:33:58.488291,0 days 00:00:09.563166,-70.61187307802714,53.694602800998176,93.70185576202037,36.880171740633116,39.690887795786225,25.40507135879038,-24.987177889386153,37.704021158360135,91.62315270358617,19.030602029328335,34.91311542843376,29.293738666775095,,GPSampler,COMPLETE
6,6,5.028186471816056,2026-04-20 17:33:59.478165,2026-04-20 17:34:07.778582,0 days 00:00:08.300417,-78.68598610979078,13.742888756517894,61.202586970579674,31.719908535406258,37.82412665320619,14.221165960273446,-73.68274769799196,78.94770849792792,74.05507508937002,74.43204155931244,45.969859384179806,12.871524748556682,Unattained target,GPSampler,PRUNED
7,7,5.350961597858763,2026-04-20 17:34:07.902492,2026-04-20 17:34:14.068861,0 days 00:00:06.166369,-45.05273103040368,25.934680394418077,68.5167187163234,63.336699689570644,34.61702467044794,20.31595772123564,-59.5900965861828,46.71444704258042,75.2644478450015,90.87941183368031,47.511890854547005,12.87571410689573,Unattained target,GPSampler,PRUNED
8,8,5.3424497885969515,2026-04-20 17:34:14.210482,2026-04-20 17:34:21.981816,0 days 00:00:07.771334,-37.39280369535682,24.108187825557593,86.48526934668068,36.29636618623432,38.880471763414725,15.984189910250246,-66.61930581803259,89.13629951772829,40.88853415668216,31.389330291927376,41.14779351528541,12.59610495004946,Unattained target,GPSampler,PRUNED
9,9,0.049715653336146914,2026-04-20 17:34:22.134867,2026-04-20 17:34:31.519391,0 days 00:00:09.384524,-57.015223387759924,95.11457953327793,16.51847353041711,45.70515660306979,49.06055965043167,21.483828875074998,-28.820570915032995,37.14469281270914,62.569804688002954,77.51569895846572,31.131489006429938,29.416914298748765,,GPSampler,COMPLETE
10,10,0.976405722815997,2026-04-20 17:34:33.040295,2026-04-20 17:34:43.129151,0 days 00:00:10.088856,-62.408221301466526,67.66058794451848,20.854627927269235,26.49956503754417,44.18206239246337,12.835037935774235,-66.95977695904963,53.57171265236482,85.00237425881932,24.569303686595653,39.2584632023299,22.36496009742603,,GPSampler,COMPLETE
11,11,5.151065393258214,2026-04-20 17:34:44.741394,2026-04-20 17:34:53.551029,0 days 00:00:08.809635,-65.87806996347946,29.93515704502345,78.05521153314199,54.87747835074251,36.29331674593782,12.19323574295057,-72.67506876809743,18.38744606187148,26.982173779286722,83.87859169527728,41.56361194129321,11.628662113226405,Unattained target,GPSampler,PRUNED
12,12,10.927163835352317,2026-04-20 17:34:53.690407,2026-04-20 17:34:58.554386,0 days 00:00:04.863979,-69.06534785374234,38.57607877648688,81.33597864180003,75.12656507284392,45.77349125140417,22.479671700273784,-65.62281949539386,58.350820404481645,98.00767646592612,69.58661056697488,33.95239021274894,13.880536288579675,Unattained target,GPSampler,PRUNED
13,13,0.06288873017697938,2026-04-20 17:34:58.729309,2026-04-20 17:35:07.509622,0 days 00:00:08.780313,-76.8749212123315,95.10807165430082,17.546434932055128,33.44372999935326,36.89914582501948,12.635424033305142,-29.579640375224365,29.47135848329478,15.07019093937822,57.29732256975655,44.09948759333728,14.888898170594782,,GPSampler,COMPLETE
