,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,5.218017691631104,2026-04-21 16:34:58.719061,2026-04-21 16:35:04.859993,0 days 00:00:06.140932,-74.21223911141571,60.19553668231825,68.31371968183859,47.67647220487614,75.79829501574267,57.09670195866781,-61.38818804917533,80.46935681542182,51.914075642811035,52.54955052200641,38.314324198656124,44.87324482413773,Unattained target,RandomSampler,PRUNED
1,1,6.0,2026-04-21 16:35:04.990222,2026-04-21 16:35:05.080418,0 days 00:00:00.090196,-57.199429584033794,26.02869739953068,30.91158502399159,81.89072521161732,18.24564975715592,27.903741458336036,-36.29860821572651,17.298278276898603,74.9509423348677,96.52426476157746,-21.123219646137176,61.319507245173654,Unfeasible shape,RandomSampler,PRUNED
2,2,6.1514605114200975,2026-04-21 16:35:05.209968,2026-04-21 16:35:11.264969,0 days 00:00:06.055001,-47.198941933270426,46.84818571034273,44.21965302855629,99.37503512388054,64.9259568514338,-12.370234170688413,-50.27653758154332,45.08675708935532,17.652373381831204,53.08016615200248,18.164209402911425,57.92376554375123,Unattained target,RandomSampler,PRUNED
3,3,6.0,2026-04-21 16:35:11.382285,2026-04-21 16:35:11.481731,0 days 00:00:00.099446,-42.0509365789748,18.598029340507896,84.92300645544381,70.49430664130807,108.30743735645228,15.903801365408235,-31.80259053008072,56.34782310169491,28.1701917435377,58.66595506793733,29.248456272546484,17.409716936737595,Unfeasible shape,RandomSampler,PRUNED
4,4,6.0,2026-04-21 16:35:11.617334,2026-04-21 16:35:11.685136,0 days 00:00:00.067802,-51.822976441249054,59.99671024967185,94.80565377983129,98.57901686029892,26.21794858865097,20.50394960795788,-24.63164310585259,75.86788463418698,73.78418009871233,66.49706739325836,3.018723163714519,109.92076666581059,Unfeasible shape,RandomSampler,PRUNED
5,5,6.0,2026-04-21 16:35:11.832104,2026-04-21 16:35:11.890461,0 days 00:00:00.058357,-25.229370039777557,36.532099508352644,22.05529371214753,69.23101017374026,89.51177157795922,78.73426031973165,-76.36467936235249,63.24949085443758,38.55202155806853,54.38794689382661,-7.808006573923294,70.11140429986679,Unfeasible shape,RandomSampler,PRUNED
6,6,6.0,2026-04-21 16:35:12.018781,2026-04-21 16:35:12.081282,0 days 00:00:00.062501,-49.15008499691329,44.386615691935326,92.6460963518289,22.312578855627763,52.04727058583806,54.18654020491752,-36.7700496290341,69.51415323669576,55.84270754471657,20.673590934325162,-3.7384224967806823,3.441643034038787,Unfeasible shape,RandomSampler,PRUNED
7,7,13.988080745491011,2026-04-21 16:35:12.210158,2026-04-21 16:35:17.954883,0 days 00:00:05.744725,-30.05890336424021,62.76067367650551,87.01845525077759,40.014504764773704,75.48235514371983,46.32810141711833,-31.481265712061386,69.71812313255273,77.57069488639955,70.72766527394873,6.832435890076425,59.96942357906195,Unattained target,RandomSampler,PRUNED
8,8,6.0,2026-04-21 16:35:18.090606,2026-04-21 16:35:18.177923,0 days 00:00:00.087317,-62.74733540914448,56.29158116729536,44.51799746237125,29.50619365775926,30.282635297839498,39.93956136526225,-71.35616745203387,31.915690346720744,78.70840473174836,15.244721358316863,-22.01016757818882,51.23456674808853,Unfeasible shape,RandomSampler,PRUNED
9,9,6.0,2026-04-21 16:35:18.315878,2026-04-21 16:35:18.381740,0 days 00:00:00.065862,-41.69006408895495,25.624493277798795,10.243216773909856,16.806605883602064,51.85671255413755,47.856025069614375,-69.9130825027865,24.167092976472617,65.66423094160515,62.64593015879204,-14.337433910368155,110.67511795502536,Unfeasible shape,RandomSampler,PRUNED
10,10,6.0,2026-04-21 16:35:18.504560,2026-04-21 16:35:18.557765,0 days 00:00:00.053205,-75.78140399187461,79.19755914690678,94.39382329070509,24.49478907232313,75.2054332031244,0.13090649535978827,-53.81375326337098,39.00329894049668,12.037862492615282,20.640576059655046,-12.928995695456493,49.460716769907535,Unfeasible shape,RandomSampler,PRUNED
