,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 17:32:52.924277,2026-05-18 17:32:53.544286,0 days 00:00:00.620009,67.3364799049787,49.13710934720734,68.06861857370878,-79.00448745256259,35.37178899816343,59.79185845067156,72.68457120792775,-32.6958356877305,163.99438998518858,2.3634675115960126,83.12290131775208,82.95574606689522,-33.25664376185292,90.87983861456067,55.303249327014946,91.9958669791338,-32.59093636707611,-3.0725309209419596,Unfeasible shape,RandomSampler,PRUNED
1,1,,2026-05-18 17:32:53.746352,2026-05-18 17:32:53.980783,0 days 00:00:00.234431,83.79943055159924,28.402849459580807,1.4401898541742586,-23.043342652153484,97.7115444713805,3.808650671332056,46.6962949053407,1.2057225547815733,52.90324468513398,75.82270080734159,66.14095498830625,41.690995793740484,-23.994363402965604,33.65173904867524,3.0658816031627083,91.26675313587555,-59.71071872379543,132.9967913917329,Unfeasible shape,RandomSampler,PRUNED
2,2,,2026-05-18 17:32:54.118669,2026-05-18 17:32:55.062475,0 days 00:00:00.943806,29.113692816451398,1.0478806448307467,15.655301554102628,-51.30538494876173,57.595493633981604,61.53709165090678,89.61559207773334,-23.220212861976812,66.14850225273103,70.52390771185141,5.373997222669939,7.4966638478530765,-65.06928645185141,87.82524908685667,77.96523899993028,57.4768192089746,-21.60764350729302,19.009327911800792,Unfeasible shape,RandomSampler,PRUNED
3,3,,2026-05-18 17:32:55.200379,2026-05-18 17:32:55.424228,0 days 00:00:00.223849,2.156663774638924,16.056157330084012,77.34682962334686,-70.18828568190347,95.3262367356846,50.61328843483476,7.034424674837647,17.342243377831068,160.73921131104333,85.99656326874612,40.289469409704296,7.765846905164674,-54.894723576373934,6.248438267413913,3.90175982202683,61.1675711861179,-31.328924626091727,2.5116847213401226,Unfeasible shape,RandomSampler,PRUNED
4,4,,2026-05-18 17:32:55.560818,2026-05-18 17:32:55.777769,0 days 00:00:00.216951,45.577688043891804,26.808921074513314,34.54478059242161,-73.91158831872023,96.25288608956399,29.16509257064674,17.107821057818786,-41.229249828619345,96.51462123588603,57.39113123080908,10.604152210544143,20.657258136573965,-46.95552761273995,4.238729761679192,91.96775219161184,36.31165149496146,-17.666343926859554,-9.923770466893748,Unfeasible shape,RandomSampler,PRUNED
5,5,17.363509003731924,2026-05-18 17:32:55.908886,2026-05-18 17:33:47.138675,0 days 00:00:51.229789,24.572459912754162,90.55714757102903,23.48349348248587,-40.85421582694942,14.106106126367816,11.020859603968075,61.70060364084465,14.213308879374594,172.058174716309,45.55585516721653,31.175292054901156,30.520275308375734,-76.84398385505196,46.267804399021585,54.66490274747395,68.2612082012854,-11.048917370187702,22.495665540398264,,RandomSampler,COMPLETE
6,6,13.20712950869455,2026-05-18 17:33:48.792466,2026-05-18 17:34:42.506411,0 days 00:00:53.713945,14.164717114272742,30.286549046029524,69.04089497496409,-73.69262555171531,28.379155888701455,26.691028097193815,83.77990438098115,9.487962537208162,207.52300696057634,70.95565922268567,80.03253188705555,29.213798466180933,-66.08352413876356,81.53249960908384,13.265698847061566,39.78095927413302,-27.438857333495648,108.53882315148736,,GPSampler,COMPLETE
7,7,,2026-05-18 17:34:44.313461,2026-05-18 17:34:44.704906,0 days 00:00:00.391445,98.82884397801725,14.024342379611264,3.1824923212689593,-21.483826614309628,99.42321743188333,88.81323069882605,56.96819867029451,-34.37974563474195,88.56690392920659,20.575079069186394,18.596952148695213,8.819324991116577,-38.26059890952054,89.89254222588514,59.45951355804986,75.01617965362938,-26.647845514462105,19.832018370863114,Unfeasible shape,GPSampler,PRUNED
8,8,,2026-05-18 17:34:44.870805,2026-05-18 17:34:45.082851,0 days 00:00:00.212046,7.507733205230053,45.502834604455046,61.417868779567655,-17.032821842986976,56.1802939080909,99.4150550995748,36.62933554672147,-53.721856549966674,155.95856683721863,49.05516707693375,47.48082325976235,22.70199291234656,-18.252686601823264,44.01451853379329,19.045283774691548,46.38774963069977,0.4451749960120779,127.21144343303067,Unfeasible shape,GPSampler,PRUNED
9,9,,2026-05-18 17:34:45.216820,2026-05-18 17:34:45.496077,0 days 00:00:00.279257,73.87760212028324,20.784227659838884,99.92340391172657,-38.637607530291454,44.82091474192301,98.24712978314436,90.27672669146716,-13.081224825999485,189.99453760445212,59.00600115073024,84.4721315910915,51.68293490002819,-72.1852844416236,64.62275139997999,56.606976916635006,87.07025104067631,-3.167302933168301,16.968248836605976,Unfeasible shape,GPSampler,PRUNED
