,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-21 16:50:20.609781,2026-04-21 16:50:20.900685,0 days 00:00:00.290904,-77.85891249666226,17.13779380019099,44.05939864700579,92.47946826421007,70.83330878981776,38.67796039186878,-68.82733045146978,77.90105785718731,65.93970747500643,35.34570460894757,11.34405444510329,110.32080252104927,Unfeasible shape,RandomSampler,PRUNED
1,1,0.09383119560707698,2026-04-21 16:50:21.019057,2026-04-21 16:50:30.500195,0 days 00:00:09.481138,-41.678103461397406,29.65581159730138,26.711285037503135,77.54385668026916,39.91767958260094,55.38603061366972,-41.58961455492878,61.02249182796045,31.277414655941175,66.94903205678662,26.653510990818795,58.353191847007764,,RandomSampler,COMPLETE
2,2,6.0,2026-04-21 16:50:31.710009,2026-04-21 16:50:31.829907,0 days 00:00:00.119898,-57.548611717815675,80.38113428622239,75.81967391744486,57.01955518623771,-2.2411992099397535,4.18269225098102,-56.21656771605164,16.33330670443575,92.39273632630811,46.942486268845556,4.484832948708728,-1.130859399145269,Unfeasible shape,GPSampler,PRUNED
3,3,6.0,2026-04-21 16:50:31.980499,2026-04-21 16:50:32.069976,0 days 00:00:00.089477,-73.14662372167595,95.44939149625272,12.45567212222795,28.953060864676612,84.51278837648266,-11.603028659404249,-63.099325264850705,79.26903107718674,65.45504769993164,99.90783678109982,22.474076398979804,39.14913647760108,Unfeasible shape,GPSampler,PRUNED
4,4,6.0,2026-04-21 16:50:32.194119,2026-04-21 16:50:32.250275,0 days 00:00:00.056156,-61.06732430046772,57.19344234677729,15.020978298047995,38.86366605143232,67.63119659355965,-12.991313885697593,-25.800797077431028,46.17172531183571,74.6308550737312,16.55913276283561,-3.283461002347874,43.4294525168103,Unfeasible shape,GPSampler,PRUNED
5,5,6.0,2026-04-21 16:50:32.379962,2026-04-21 16:50:32.480030,0 days 00:00:00.100068,-54.00954043607046,27.692444832803737,50.18505644540998,13.946056069196898,60.47955875878178,-20.015003842905855,-72.46027469332415,40.37331233377677,84.53989262378748,58.35199499094534,14.397964480973648,89.37631811588963,Unfeasible shape,GPSampler,PRUNED
6,6,6.349433095357163,2026-04-21 16:50:32.611708,2026-04-21 16:50:38.092647,0 days 00:00:05.480939,-66.30226716025872,45.19450529652737,86.01545576586678,32.74675844702129,24.60667907189798,29.07026838951932,-71.67568864650565,44.087794739063796,74.39150122813078,43.31756149056718,37.68712705470699,4.2653993465727975,Unattained target,GPSampler,PRUNED
7,7,6.0,2026-04-21 16:50:38.205049,2026-04-21 16:50:38.279583,0 days 00:00:00.074534,-68.5001173520108,75.49479815664726,83.23577858647879,36.53062663340087,32.02850825756497,28.27192377171992,-34.71052247420829,73.15004488376235,93.89640278922167,85.18761070364899,-1.5200841271560144,3.6677657204043115,Unfeasible shape,GPSampler,PRUNED
8,8,6.0,2026-04-21 16:50:38.420446,2026-04-21 16:50:38.489982,0 days 00:00:00.069536,-27.535435798903222,82.033683602542,16.393845043751128,32.57356096260931,18.11802462703695,11.62380521188912,-40.90126517936877,47.307852976793995,23.762993541794486,40.41816891098195,-1.0053663005122502,46.12070134437811,Unfeasible shape,GPSampler,PRUNED
9,9,6.0,2026-04-21 16:50:38.620049,2026-04-21 16:50:38.683039,0 days 00:00:00.062990,-42.88047414235107,42.28192762258657,26.55385588258891,24.564296502558385,32.33321392920117,-20.783324542828097,-32.326430443463735,84.97687491261054,23.211294748726534,82.87683224664957,4.294251818788091,29.729810571809573,Unfeasible shape,GPSampler,PRUNED
10,10,6.0,2026-04-21 16:50:38.810293,2026-04-21 16:50:38.897245,0 days 00:00:00.086952,-52.778056887483245,17.12826816823969,82.44477655714633,23.958038150770818,7.039136224529443,11.118223080175696,-67.06039557390616,20.942048856464545,44.68858620576669,43.699762080909935,-0.2122175925885692,7.7123409755425705,Unfeasible shape,GPSampler,PRUNED
11,11,6.0,2026-04-21 16:50:39.150242,2026-04-21 16:50:39.240145,0 days 00:00:00.089903,-79.97648831619333,54.742117403664516,50.21471014096694,44.784065032863175,100.5473794670892,52.926507067159264,-24.699750257681103,11.386146250827895,57.574175781980095,96.5196851545591,5.2888678460905325,29.81820128249803,Unfeasible shape,GPSampler,PRUNED
12,12,6.0,2026-04-21 16:50:39.375163,2026-04-21 16:50:39.439997,0 days 00:00:00.064834,-27.46945161011964,90.81787434161578,34.766495203211754,89.62841756051013,-6.642156419841741,-1.9274776064870132,-35.94379408412631,88.45891265553065,15.445515410995982,94.25026347584873,-11.757151011442708,38.55830759737425,Unfeasible shape,GPSampler,PRUNED
13,13,6.0,2026-04-21 16:50:39.575228,2026-04-21 16:50:39.650409,0 days 00:00:00.075181,-41.535818774920784,15.340151454198944,43.20140805372796,65.05203857480768,38.26506815546603,51.37009308616662,-53.899581354837125,50.58641173326843,25.621802993298594,39.24062531259456,0.5722508150190535,17.37128992834913,Unfeasible shape,GPSampler,PRUNED
14,14,6.0,2026-04-21 16:50:39.800130,2026-04-21 16:50:39.900465,0 days 00:00:00.100335,-31.068402203706583,70.41749248417372,61.21327633090459,53.59033895251871,108.65036180395359,42.59501788853743,-44.1712867713255,55.37385292367567,57.763525054549795,22.920818781170254,35.851530346405895,28.148992473865043,Unfeasible shape,GPSampler,PRUNED
15,15,6.0,2026-04-21 16:50:40.124608,2026-04-21 16:50:40.203087,0 days 00:00:00.078479,-46.372648110374676,92.40038113185571,82.9890077105524,42.57546678890251,28.859360222279108,60.77991849091647,-41.36478625443021,88.250806040044,20.628380212362536,39.185942916231674,-15.984200627827944,77.5327117794089,Unfeasible shape,GPSampler,PRUNED
16,16,6.0,2026-04-21 16:50:40.350313,2026-04-21 16:50:40.401868,0 days 00:00:00.051555,-64.08724036841208,34.90236416162967,94.84207641579137,59.43581027962571,25.087317633067144,-13.962214950366672,-44.8161987285245,22.11960647388698,26.953670316051976,65.01223472819603,-6.851010866232006,62.83556168441035,Unfeasible shape,GPSampler,PRUNED
17,17,6.0,2026-04-21 16:50:40.552308,2026-04-21 16:50:40.632009,0 days 00:00:00.079701,-64.01167785443529,87.32609878489546,32.91684934305411,67.47110351566143,42.49200524365362,-7.778011187500127,-40.113309629084824,28.69031468807383,79.05702316171579,50.57372393122194,14.968128370354101,43.93797606885273,Unfeasible shape,GPSampler,PRUNED
18,18,6.0,2026-04-21 16:50:40.790772,2026-04-21 16:50:40.870224,0 days 00:00:00.079452,-55.67510588256057,67.59573727217887,52.70505900695081,41.05907932936205,-3.16172337196544,-29.01625165558492,-72.78310538914205,92.64194217814534,67.95506796882299,89.77014845317798,-28.932991563017502,-4.254753771089142,Unfeasible shape,GPSampler,PRUNED
19,19,6.0,2026-04-21 16:50:40.990414,2026-04-21 16:50:41.145388,0 days 00:00:00.154974,-21.151330327229935,41.292618007957785,47.31447719547788,31.13681348295939,-6.968362515028296,68.4785542965706,-62.102507295138054,97.13437629088413,86.91247469287809,24.767666570624044,31.6117178149224,65.20544324151757,Unfeasible shape,GPSampler,PRUNED
20,20,6.0,2026-04-21 16:50:41.275117,2026-04-21 16:50:41.360485,0 days 00:00:00.085368,-39.10725123503431,77.21495236562275,51.90752597966948,88.08543767726427,46.444682681417866,-13.372181975666866,-47.65402295674193,47.2934407010369,63.67218792099898,68.97559494212133,-27.264041947796287,33.49254160656184,Unfeasible shape,GPSampler,PRUNED
21,21,6.0,2026-04-21 16:50:41.498457,2026-04-21 16:50:41.591237,0 days 00:00:00.092780,-32.47548251944841,37.962403895282435,13.15283383386458,13.660391031651036,77.72051605904579,-17.680179521895816,-23.093264094483004,16.2782063981565,11.469546553677347,23.031414186071608,9.47479165823102,63.06502094657526,Unfeasible shape,GPSampler,PRUNED
22,22,6.0,2026-04-21 16:50:41.740165,2026-04-21 16:50:41.810077,0 days 00:00:00.069912,-63.86417696275901,97.15334345209197,89.51822060467516,96.6396951356448,16.51845935568779,19.47357164694676,-40.03247715058078,83.94409590054865,97.97588174364064,41.32638856694299,-2.412317614284426,15.091974619295378,Unfeasible shape,GPSampler,PRUNED
23,23,6.0,2026-04-21 16:50:41.963161,2026-04-21 16:50:42.100282,0 days 00:00:00.137121,-55.28373429501301,23.763166163251924,64.80120521278235,54.85485260099172,55.56510297887063,69.00248598957907,-74.56005667669814,72.86956636450472,44.11709282672079,84.98187395329231,33.26190821953317,26.94355130867681,Unfeasible shape,GPSampler,PRUNED
24,24,6.0,2026-04-21 16:50:42.243679,2026-04-21 16:50:42.335329,0 days 00:00:00.091650,-63.7479264798004,33.428144215200355,47.480642721015705,42.89655290315528,-3.135173264309153,-13.462215205489333,-25.47849405966666,25.361841510814305,21.855196732560188,39.09206703437076,8.153123167296243,49.465520509919486,Unfeasible shape,GPSampler,PRUNED
25,25,6.0,2026-04-21 16:50:42.460329,2026-04-21 16:50:42.530371,0 days 00:00:00.070042,-35.01294646953851,53.63407822080212,47.60555355784998,28.13043902616408,85.07899713305164,32.53340589554656,-61.71668731180235,14.23723666135898,71.36227069835918,19.309799557159206,-29.47238367211108,75.09427435625054,Unfeasible shape,GPSampler,PRUNED
26,26,5.218068472985344,2026-04-21 16:50:42.747177,2026-04-21 16:50:48.371484,0 days 00:00:05.624307,-48.37977829818563,72.92398570314563,17.085177087749216,81.3964246832201,63.78219602201857,78.95158077106167,-64.81111121809862,55.34129295390363,66.81119497182793,36.874207017706496,35.05529961744891,71.97359348484338,Unattained target,GPSampler,PRUNED
27,27,6.0,2026-04-21 16:50:48.522373,2026-04-21 16:50:48.602215,0 days 00:00:00.079842,-39.556419789491265,53.29255350747842,99.74005054805058,40.6850568156666,93.24174940476607,47.715820764956305,-46.23250551614616,17.59603622095151,28.05323811775064,74.39225832339767,0.19543643280613665,23.415801859649847,Unfeasible shape,GPSampler,PRUNED
28,28,6.0,2026-04-21 16:50:48.730233,2026-04-21 16:50:48.902353,0 days 00:00:00.172120,-35.11440224522369,49.375356964975566,18.657133269646238,40.82266995415153,95.29249878233362,2.0447738543109395,-65.28877231128178,55.4197203916131,78.69796673451371,20.579204973388514,0.44588287115730907,70.01212245102151,Unfeasible shape,GPSampler,PRUNED
29,29,6.0,2026-04-21 16:50:49.040690,2026-04-21 16:50:49.242298,0 days 00:00:00.201608,-28.591401646221485,14.742718869515626,42.46483013278523,17.7525045353056,95.83507718061227,-15.378171545957844,-20.22972789270669,72.24281195211933,81.3624810177433,10.813361920690728,19.40002843893469,30.127991596013686,Unfeasible shape,GPSampler,PRUNED
30,30,6.0,2026-04-21 16:50:49.370719,2026-04-21 16:50:49.461414,0 days 00:00:00.090695,-30.071136088367695,34.235951888633394,23.436464783572823,31.791282453278857,96.38222229860898,78.367827957479,-58.59828080130623,40.037427903487696,27.881103595460907,83.15331812076589,39.065615333825846,0.8538115307778078,Unfeasible shape,GPSampler,PRUNED
