,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 18:09:21.711396,2026-05-12 18:09:22.590368,0 days 00:00:00.878972,-22.15040088283596,90.76736917168196,96.0014950497377,60.91854010279586,2.603252729717795,60.36715764349077,-62.8790652911524,26.899470849042594,47.92503286363979,37.17377523593581,61.26467040619975,3.9478250087060047,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 18:09:22.736733,2026-05-12 18:09:23.079123,0 days 00:00:00.342390,-20.99321703210154,35.113931046355056,68.70888387361538,64.39167403023157,32.79030368471295,17.86216162222448,-59.78917250827182,25.105530736443257,68.26141480900992,95.20031071137174,23.38478366545412,64.54021986338155,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 18:09:23.161408,2026-05-12 18:09:23.410008,0 days 00:00:00.248600,-67.71182347061783,61.810192988317226,43.257732040275,35.30440021100397,62.642206874532924,57.106874948032896,-68.88714375125022,80.98427653983238,66.79316288834394,12.17772859950722,69.33702603765096,57.59622121869979,Unfeasible shape,,PRUNED
3,3,140.0,2026-05-12 18:09:23.517847,2026-05-12 18:09:23.789281,0 days 00:00:00.271434,-54.76155332519852,74.9216216383477,66.47893013728805,88.21967138385989,57.39136512957176,5.156254550031925,-22.713349336898737,14.312551697353953,34.499889230159056,10.836779930848316,7.010058207491762,62.31506303807507,Unfeasible shape,,PRUNED
4,4,140.0,2026-05-12 18:09:23.895754,2026-05-12 18:09:24.159742,0 days 00:00:00.263988,-55.79790922094915,78.43358391703742,89.94731155981603,41.872730311285466,31.135027668503763,0.08734620533445425,-52.381271555066405,11.220239657499825,44.1479954496719,80.50658583092766,17.002792099200686,53.25784572501552,Unfeasible shape,,PRUNED
5,5,52.32620203499036,2026-05-12 18:09:24.267768,2026-05-12 18:09:44.638704,0 days 00:00:20.370936,-26.7894040724605,29.371024013122305,68.07824144231522,55.69607689153687,4.479849940726033,4.6525319354451256,-73.38776996004019,21.434847122963394,28.29321740753894,24.15778108842226,11.334128451065004,31.151457391213384,,,COMPLETE
6,6,140.0,2026-05-12 18:09:46.140759,2026-05-12 18:09:46.660322,0 days 00:00:00.519563,-54.968420791348564,57.84903811228828,44.113020339313664,36.03635099908627,20.985435604540665,33.69544183213466,-49.21397107397027,58.968939171798205,54.813949898679226,62.23985488841852,34.27960617281501,30.52373679853905,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 18:09:46.779889,2026-05-12 18:09:47.039020,0 days 00:00:00.259131,-43.08174395427354,45.37229874591049,72.72739412148852,52.95554759340657,40.58224177689484,18.619979962652103,-52.614056195019174,51.36355717622645,70.52982773929793,52.45450417597092,56.004299143811835,37.34521108027844,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 18:09:47.131509,2026-05-12 18:09:47.395699,0 days 00:00:00.264190,-63.720220366199484,58.929125444350426,58.20209745137159,37.34540224404685,42.99053337553511,60.13809988608506,-37.86817049436926,53.59180760250739,65.3295896446009,75.18749531135484,62.20180175977832,44.40697878804421,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 18:09:47.498009,2026-05-12 18:09:47.787941,0 days 00:00:00.289932,-38.880426241972614,34.17054615291115,38.68446387321461,59.39173067556843,49.578926256907046,18.98891641411689,-29.880763305986648,90.90884479323049,48.760244286554226,62.02595503722982,42.5765547539826,51.28339101810312,Unfeasible shape,0.0,PRUNED
