,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,18.0804901039906,2026-04-21 15:25:21.940259,2026-04-21 15:25:29.923384,0 days 00:00:07.983125,-72.61316000766739,16.09529410783018,80.46274421040346,22.746565762193132,19.392560301991608,23.779530661461223,-34.31863859841186,82.08506809297084,98.57187504568796,93.04924382249449,59.59351952813904,6.361159146652291,Unattained target,RandomSampler,PRUNED
1,1,6.0,2026-04-21 15:25:30.037893,2026-04-21 15:25:30.147003,0 days 00:00:00.109110,-52.76092924111008,66.43214720038418,95.64462537284199,42.69684361623516,41.85125836284602,42.24596059590314,-64.29934831560033,17.504963838129957,65.0108407564303,19.4813979202658,-2.1509666309292292,49.05287861527984,Unfeasible shape,RandomSampler,PRUNED
2,2,6.958470134140526,2026-04-21 15:25:30.274675,2026-04-21 15:25:36.047925,0 days 00:00:05.773250,-73.70202075396271,97.29753163941746,47.63814207598628,42.637620197841905,45.61271344587733,40.96768271482666,-27.42329568866274,11.659994213862914,81.92609344493592,36.43303424769003,-4.730615876810351,32.594678545767096,Unattained target,RandomSampler,PRUNED
3,3,14.00838110784219,2026-04-21 15:25:36.180874,2026-04-21 15:25:42.080681,0 days 00:00:05.899807,-23.1640090997952,73.06301070920762,75.97395262990749,24.158579753723885,98.26851540124252,40.95635167698748,-75.88856858994424,95.39704218752149,35.42434978756108,25.083800015717884,26.062014656951817,56.607119785135815,Unattained target,RandomSampler,PRUNED
4,4,6.0,2026-04-21 15:25:42.230846,2026-04-21 15:25:42.290991,0 days 00:00:00.060145,-56.62163917869932,23.374113171739705,51.35710045637853,86.2507676556238,17.757924443146543,23.95103374417768,-29.803488945401845,80.12834324734605,90.09808336335296,49.544854858536894,8.707446302501378,43.99054194731585,Unfeasible shape,RandomSampler,PRUNED
5,5,8.328773098783955,2026-04-21 15:25:42.420850,2026-04-21 15:25:47.443350,0 days 00:00:05.022500,-67.03943199461372,81.80244081887378,58.06357086429499,60.935894616122376,17.44127926507437,18.781567711291316,-48.340611788444036,36.75558528728811,45.91785632798222,45.52415516377273,47.354881503960556,26.74904432211104,Unattained target,RandomSampler,PRUNED
6,6,6.0,2026-04-21 15:25:47.570780,2026-04-21 15:25:47.680966,0 days 00:00:00.110186,-62.88733181132524,81.35899940983457,63.23885564958287,17.168129898872273,105.68165985403404,55.43916575326418,-61.11469352098426,24.84803329896912,54.4402330095125,28.05366851159154,-9.680252886180861,71.10076716420174,Unfeasible shape,RandomSampler,PRUNED
7,7,6.0,2026-04-21 15:25:47.805830,2026-04-21 15:25:47.872584,0 days 00:00:00.066754,-29.502215199866143,37.74878213655271,25.028714963809097,86.37624455261798,83.03857558131368,19.66261969865308,-64.19806509011762,82.75178665236494,88.03990269686165,62.47564496905772,1.2889189164114967,30.129743152226638,Unfeasible shape,RandomSampler,PRUNED
8,8,6.0,2026-04-21 15:25:48.000964,2026-04-21 15:25:48.056892,0 days 00:00:00.055928,-52.018251705058915,96.0002147749861,55.92867548480316,28.570876381399174,-15.50624528741361,74.25903692531091,-52.53711644976889,91.49239904405907,29.442919638595008,73.56977660369176,97.644055330901,65.59695874434371,Unfeasible shape,RandomSampler,PRUNED
9,9,6.0,2026-04-21 15:25:48.180839,2026-04-21 15:25:48.241106,0 days 00:00:00.060267,-79.08726855113493,60.16554748719909,79.3186393671356,70.2112178992148,64.21696139742737,62.312809783504065,-66.59858478870666,70.78737512490119,34.926800760587625,62.69678718129952,-2.832617097051191,43.03118594048256,Unfeasible shape,RandomSampler,PRUNED
