Study                  : no-name-71c709e9-ea47-4549-a869-03f95a4de447
- Start                : 2026-05-12 18:54:33.099156
- End                  : 2026-05-12 22:04:11.103077
- Duration             : 3:09:38.003921
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 1000
-- Completed trials    : 612, 61.20 %
-- Pruned trials       : 388, 38.80 %
--- Unfeasible shapes  : 388, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 673, Value : 40.978119, Duration : 0:00:18.162344
                         Trial number : 957, Value : 40.981937, Duration : 0:00:14.695564
                         Trial number : 986, Value : 40.985334, Duration : 0:00:18.794991
                         Trial number : 953, Value : 40.987645, Duration : 0:00:16.691287
                         Trial number : 947, Value : 40.987975, Duration : 0:00:17.104623
                         Trial number : 961, Value : 40.989042, Duration : 0:00:19.209457
                         Trial number : 906, Value : 40.994989, Duration : 0:00:16.976664
                         Trial number : 952, Value : 40.997152, Duration : 0:00:16.075539
                         Trial number : 974, Value : 40.997578, Duration : 0:00:14.904157
                         Trial number : 740, Value : 40.997614, Duration : 0:00:16.490800
                         Trial number : 922, Value : 41.001100, Duration : 0:00:17.236680
                         Trial number : 960, Value : 41.001507, Duration : 0:00:17.304603
                         Trial number : 980, Value : 41.002341, Duration : 0:00:15.223040
                         Trial number : 964, Value : 41.005588, Duration : 0:00:15.051447
                         Trial number : 958, Value : 41.005805, Duration : 0:00:19.873704
                         Trial number : 949, Value : 41.006989, Duration : 0:00:17.062043
                         Trial number : 873, Value : 41.007428, Duration : 0:00:16.960937
                         Trial number : 926, Value : 41.008844, Duration : 0:00:18.384345
                         Trial number : 763, Value : 41.010023, Duration : 0:00:16.960692
                         Trial number : 966, Value : 41.013389, Duration : 0:00:15.138612
                         Trial number : 940, Value : 41.014007, Duration : 0:00:17.122864
                         Trial number : 999, Value : 41.016139, Duration : 0:00:16.773013
                         Trial number : 982, Value : 41.016410, Duration : 0:00:19.281890
                         Trial number : 989, Value : 41.016482, Duration : 0:00:14.662458
                         Trial number : 919, Value : 41.017752, Duration : 0:00:20.868910
                         Trial number : 429, Value : 41.019576, Duration : 0:00:15.889188
                         Trial number : 996, Value : 41.021362, Duration : 0:00:16.436585
                         Trial number : 449, Value : 41.021813, Duration : 0:00:14.837698
                         Trial number : 946, Value : 41.021913, Duration : 0:00:17.611472
                         Trial number : 445, Value : 41.023366, Duration : 0:00:17.142443
                         Trial number : 776, Value : 41.027618, Duration : 0:00:16.951784
                         Trial number : 954, Value : 41.027803, Duration : 0:00:16.108351
                         Trial number : 979, Value : 41.028450, Duration : 0:00:14.822774
                         Trial number : 909, Value : 41.029071, Duration : 0:00:17.176192
                         Trial number : 847, Value : 41.029577, Duration : 0:00:19.076402
                         Trial number : 807, Value : 41.030900, Duration : 0:00:17.322526
                         Trial number : 831, Value : 41.031971, Duration : 0:00:17.130196
                         Trial number : 927, Value : 41.035867, Duration : 0:00:16.413982
                         Trial number : 967, Value : 41.035921, Duration : 0:00:19.014437
                         Trial number : 672, Value : 41.037928, Duration : 0:00:19.818240
                         Trial number : 869, Value : 41.039159, Duration : 0:00:14.775647
                         Trial number : 639, Value : 41.041115, Duration : 0:00:17.052396
                         Trial number : 419, Value : 41.041474, Duration : 0:00:16.800041
                         Trial number : 929, Value : 41.045869, Duration : 0:00:17.157887
                         Trial number : 775, Value : 41.047410, Duration : 0:00:16.499766
                         Trial number : 983, Value : 41.047845, Duration : 0:00:17.117441
                         Trial number : 855, Value : 41.048448, Duration : 0:00:14.861579
                         Trial number : 916, Value : 41.048664, Duration : 0:00:17.288861
                         Trial number : 990, Value : 41.049809, Duration : 0:00:17.500053
                         Trial number : 885, Value : 41.049871, Duration : 0:00:20.383271
                         Trial number : 781, Value : 41.050140, Duration : 0:00:15.142380
                         Trial number : 790, Value : 41.050975, Duration : 0:00:18.616338
                         Trial number : 984, Value : 41.051831, Duration : 0:00:16.997493
                         Trial number : 803, Value : 41.056118, Duration : 0:00:17.789605
                         Trial number : 525, Value : 41.056955, Duration : 0:00:17.630200
                         Trial number : 583, Value : 41.057296, Duration : 0:00:17.450752
                         Trial number : 931, Value : 41.060478, Duration : 0:00:17.109500
                         Trial number : 527, Value : 41.061673, Duration : 0:00:17.011180
                         Trial number : 838, Value : 41.061970, Duration : 0:00:16.872876
                         Trial number : 634, Value : 41.062337, Duration : 0:00:18.594057
                         Trial number : 883, Value : 41.064379, Duration : 0:00:17.124399
                         Trial number : 726, Value : 41.065214, Duration : 0:00:17.215569
                         Trial number : 669, Value : 41.065343, Duration : 0:00:20.112032
                         Trial number : 874, Value : 41.065740, Duration : 0:00:17.294358
                         Trial number : 751, Value : 41.067964, Duration : 0:00:17.326506
                         Trial number : 558, Value : 41.068887, Duration : 0:00:18.846131
                         Trial number : 715, Value : 41.070861, Duration : 0:00:19.029791
                         Trial number : 965, Value : 41.072086, Duration : 0:00:17.116987
                         Trial number : 888, Value : 41.072188, Duration : 0:00:16.566166
                         Trial number : 725, Value : 41.072554, Duration : 0:00:17.142021
                         Trial number : 621, Value : 41.074344, Duration : 0:00:19.872736
                         Trial number : 664, Value : 41.074353, Duration : 0:00:38.787324
                         Trial number : 924, Value : 41.074570, Duration : 0:00:16.947604
                         Trial number : 956, Value : 41.075889, Duration : 0:00:17.014024
                         Trial number : 705, Value : 41.076098, Duration : 0:00:17.190501
                         Trial number : 897, Value : 41.076182, Duration : 0:00:16.852607
                         Trial number : 661, Value : 41.076399, Duration : 0:00:17.305374
                         Trial number : 792, Value : 41.076820, Duration : 0:00:17.308431
                         Trial number : 955, Value : 41.076944, Duration : 0:00:17.140923
                         Trial number : 914, Value : 41.079221, Duration : 0:00:15.257257
                         Trial number : 699, Value : 41.081035, Duration : 0:00:19.820226
                         Trial number : 902, Value : 41.081890, Duration : 0:00:19.370242
                         Trial number : 338, Value : 41.082180, Duration : 0:00:20.434402
                         Trial number : 785, Value : 41.082452, Duration : 0:00:17.173932
                         Trial number : 938, Value : 41.084600, Duration : 0:00:18.083244
                         Trial number : 970, Value : 41.085207, Duration : 0:00:19.198418
                         Trial number : 707, Value : 41.085295, Duration : 0:00:19.551678
                         Trial number : 542, Value : 41.086128, Duration : 0:00:17.024560
                         Trial number : 913, Value : 41.086453, Duration : 0:00:17.209354
                         Trial number : 532, Value : 41.090313, Duration : 0:00:18.343116
                         Trial number : 452, Value : 41.091310, Duration : 0:00:17.898991
                         Trial number : 895, Value : 41.092125, Duration : 0:00:18.796170
                         Trial number : 587, Value : 41.092189, Duration : 0:00:17.552736
                         Trial number : 846, Value : 41.096133, Duration : 0:00:16.822778
                         Trial number : 469, Value : 41.096533, Duration : 0:00:14.364323
                         Trial number : 674, Value : 41.097110, Duration : 0:00:19.256010
                         Trial number : 376, Value : 41.097947, Duration : 0:00:21.994356
                         Trial number : 584, Value : 41.098200, Duration : 0:00:17.591016
                         Trial number : 933, Value : 41.098326, Duration : 0:00:23.636782
                         Trial number : 917, Value : 41.098751, Duration : 0:00:18.240522
                         Trial number : 483, Value : 41.103841, Duration : 0:00:16.897523
                         Trial number : 652, Value : 41.107864, Duration : 0:00:16.958013
                         Trial number : 589, Value : 41.110234, Duration : 0:00:14.821734
                         Trial number : 709, Value : 41.110611, Duration : 0:00:17.295676
                         Trial number : 625, Value : 41.111192, Duration : 0:00:17.338476
                         Trial number : 710, Value : 41.112882, Duration : 0:00:16.622367
                         Trial number : 845, Value : 41.113061, Duration : 0:00:16.746487
