,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,state
0,0,140.0,2026-05-12 18:54:33.099156,2026-05-12 18:54:33.970597,0 days 00:00:00.871441,-70.62659955798622,18.519129638929076,22.426598893919508,50.123169776385076,60.39334928020858,69.29249292709083,-49.90909293391011,91.16782706416618,76.9062957487138,71.67234032236007,37.970525741536285,63.149656180027556,Unfeasible shape,,,,,,,PRUNED
1,1,140.0,2026-05-12 18:54:34.095701,2026-05-12 18:54:34.327310,0 days 00:00:00.231609,-20.48665352591572,47.60060818399501,58.35506175459493,68.07116713747834,39.47790871498871,1.55621518993653,-46.99343726253452,84.49836279003168,64.92896204924935,88.70158489979569,5.325616869827207,23.56845360459744,Unfeasible shape,,,,,,,PRUNED
2,2,140.0,2026-05-12 18:54:34.426831,2026-05-12 18:54:34.743992,0 days 00:00:00.317161,-24.2165228132462,63.72543892168831,33.34157437384253,54.16240884555049,4.9205941571572405,8.637944818834189,-68.37190863998691,12.46552439171858,65.14919784531932,28.332960818376883,39.48810920221675,8.78018789796895,Unfeasible shape,,,,,,,PRUNED
3,3,42.317177850425594,2026-05-12 18:54:34.840989,2026-05-12 18:54:50.888816,0 days 00:00:16.047827,-61.779820288084025,40.156430894943,42.39757364325885,55.50977784114114,31.423717999553453,60.99118599509836,-56.15512365363518,89.72427430398628,38.49630000120533,58.44507193491239,4.845856711397256,70.78603327824818,,,,,,,,COMPLETE
4,4,42.39394922505112,2026-05-12 18:54:52.202355,2026-05-12 18:55:08.662062,0 days 00:00:16.459707,-52.081210946614,48.62463267253776,61.37014501421765,58.26356698345388,35.17851709970667,62.294299073692116,-55.413754985299505,82.47734916545745,82.12531087236434,78.80560195554362,11.082746291906789,35.38839085363564,,0.0,,,,,,COMPLETE
5,5,140.0,2026-05-12 18:55:10.037628,2026-05-12 18:55:10.270908,0 days 00:00:00.233280,-43.43039162776078,55.81703488287243,43.95591336536616,33.73813315846942,38.59500092894286,44.6138729105405,-45.864472206945976,60.727587999207564,63.9022976261776,56.0842182574279,49.15657854731078,30.08641620368191,Unfeasible shape,0.0,,,,,,PRUNED
6,6,44.75081331797968,2026-05-12 18:55:10.380952,2026-05-12 18:55:24.455455,0 days 00:00:14.074503,-48.9665801830769,82.79792153032051,63.217871377707745,69.93220085435519,37.390673737517304,41.634890082642144,-48.279130156278214,61.47320108071948,58.11909163257522,70.58272504468167,36.56447470891448,30.41795632983804,,0.0,,,,,,COMPLETE
7,7,140.0,2026-05-12 18:55:25.723590,2026-05-12 18:55:26.003296,0 days 00:00:00.279706,-52.243115466018835,47.235228592628474,52.39843499661508,56.1040819948743,58.65849616606376,30.60958561626277,-44.67294757888577,81.9698442679291,23.33021787127501,31.419588922773126,42.11115020543211,37.74622369392084,Unfeasible shape,0.0,,,,,,PRUNED
8,8,43.193599742901014,2026-05-12 18:55:26.125195,2026-05-12 18:55:41.259672,0 days 00:00:15.134477,-47.42038790092303,59.892639826986255,46.46429222057111,60.67602516618393,33.89658757108789,39.98042297175154,-51.90698736350059,83.61751450206492,47.91783059318538,49.53520290556076,54.44893677968315,26.246579026312286,,0.0,,,,,,COMPLETE
9,9,43.349706865199124,2026-05-12 18:55:42.524409,2026-05-12 18:55:57.820329,0 days 00:00:15.295920,-55.80273666622565,60.187457624262684,31.92719601641735,52.57837211861013,55.03847772456155,40.825456256244685,-48.49806469805151,37.083154314923206,29.089547264925354,59.4688462992392,37.563079674246474,52.95112780136438,,0.0,,,,,,COMPLETE
10,10,44.936839353646505,2026-05-12 18:55:59.149642,2026-05-12 18:56:15.450258,0 days 00:00:16.300616,-57.75745739882213,37.43992873254774,93.17016408035778,51.35555524414355,34.24259578500058,28.932116971201182,-57.02493406192414,37.23634825701162,39.631601665704586,62.536902902852454,14.79640958245765,15.758457707177813,,0.0,,,,,,COMPLETE
11,11,44.9368393464988,2026-05-12 18:56:16.944460,2026-05-12 18:56:32.286526,0 days 00:00:15.342066,-35.75309099967975,50.09610092572722,60.41039322376528,63.064186370559426,35.94763043049833,25.443208542045564,-55.7551414074467,41.31581226341985,65.3690741937996,58.17549599749408,37.11686891275388,61.24187886874154,,0.0,,,,,,COMPLETE
12,12,43.41852126735249,2026-05-12 18:56:34.022294,2026-05-12 18:56:47.892810,0 days 00:00:13.870516,-30.215149230858287,41.2636408920732,51.38071814219,50.312228838522145,33.79848807088297,31.56099961160277,-44.77253591697377,55.94944579360234,36.483349947561265,57.99948991223744,29.76859151787928,28.03966569473657,,0.0,,,,,,COMPLETE
13,13,43.02207795212726,2026-05-12 18:56:49.301688,2026-05-12 18:57:02.817255,0 days 00:00:13.515567,-36.383491441453586,60.002248799824386,40.927775976459515,56.48466776296599,25.411547024653522,28.95038624648054,-44.07513452983673,48.8828716978684,46.21878900309511,49.4907960754772,29.526948478892592,31.065430627429983,,0.0,,,,,,COMPLETE
14,14,44.44613248187329,2026-05-12 18:57:04.061790,2026-05-12 18:57:20.191073,0 days 00:00:16.129283,-66.77860153599147,65.70326246719645,43.26849707605486,40.710432542972725,40.60748830440782,30.213573339634824,-44.665211437915744,51.41200016592297,43.76881415346852,32.63584775735643,36.29558720857106,47.16388288576149,,0.0,,,,,,COMPLETE
15,15,43.91731986491742,2026-05-12 18:57:21.587134,2026-05-12 18:57:36.194888,0 days 00:00:14.607754,-42.615076110406946,60.94848230613423,49.47306489038322,47.18160635364859,25.69032935305973,22.982295974088398,-50.7653758470159,29.16897401220694,59.51028093286486,52.36050881787129,40.99670316494556,18.063905261219816,,0.0,,,,,,COMPLETE
16,16,140.0,2026-05-12 18:57:38.008004,2026-05-12 18:57:38.237207,0 days 00:00:00.229203,-51.48874898970777,59.683847111126326,48.296459696967204,64.34508528656903,36.314094566459374,30.325000142081084,-54.18133275819897,31.139720355515326,57.491541166158896,54.17894416207434,35.89539597784777,45.083896892702995,Unfeasible shape,0.0,,,,,,PRUNED
17,17,140.0,2026-05-12 18:57:38.419522,2026-05-12 18:57:38.687296,0 days 00:00:00.267774,-72.15137825588532,43.26459806033553,63.64374383896372,29.98174524246196,30.35426110380856,52.04609209640981,-73.86682607100782,48.69525173665064,57.28141256993131,69.33009629725183,41.75053661569553,24.581900741303876,Unfeasible shape,0.0,,,,,,PRUNED
18,18,44.936839465293446,2026-05-12 18:57:38.810816,2026-05-12 18:57:54.977420,0 days 00:00:16.166604,-46.179276228935926,33.11263173015418,73.20545678727538,61.88371573331591,34.93585938968014,49.212718075036804,-55.83966575919345,31.234513227142074,38.77384934576496,46.4677249348285,49.55875120598989,41.25075344039118,,0.0,,,,,,COMPLETE
