,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 18:02:36.060320,2026-05-12 18:02:36.870877,0 days 00:00:00.810557,-32.20107679103926,48.99053191755603,24.33940206157019,27.552036784615204,64.21143122958352,27.683358091684607,-50.02065622184103,54.24902153735676,69.61430560806775,71.5624970117995,40.63106568010487,65.03744098899622,Unfeasible shape,,PRUNED
1,1,0.0,2026-05-12 18:02:36.969075,2026-05-12 18:02:54.879033,0 days 00:00:17.909958,-61.958881948389646,61.226303059051624,81.12893401957304,87.4526524496888,1.014272989923806,44.665493809621985,-51.826962387464846,90.53490593938267,19.49931385324784,38.832841284660645,39.833008840761735,60.61335967956724,,,COMPLETE
2,2,140.0,2026-05-12 18:02:56.591189,2026-05-12 18:02:57.130117,0 days 00:00:00.538928,-38.59603128927978,39.07170833068686,46.06675403266097,41.643691894899135,42.49131639465136,31.161442771598075,-57.05597523557009,53.445364472008535,57.19051783503339,45.84757323890906,48.310283584976396,46.27297819876003,Unfeasible shape,0.0,PRUNED
3,3,140.0,2026-05-12 18:02:57.237840,2026-05-12 18:02:57.492918,0 days 00:00:00.255078,-57.092889983400205,67.10747762877001,28.0554720757331,61.26377827037149,38.82540240674575,64.67264704219672,-65.31617323596183,86.81308826968804,32.508173337035856,69.53149893959628,42.230525056776344,61.38477940540988,Unfeasible shape,0.0,PRUNED
4,4,140.0,2026-05-12 18:02:57.600236,2026-05-12 18:02:57.829571,0 days 00:00:00.229335,-43.28767149671214,77.85702015384365,62.43871959370484,64.46445752671647,19.77764956552356,20.20943796438655,-36.85496321670016,65.96543342158174,43.8040146628427,37.45548328874431,46.56357097769372,52.714774841081876,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 18:02:57.947428,2026-05-12 18:02:58.237766,0 days 00:00:00.290338,-56.66118296025851,72.72735527358648,42.48343555352553,47.33639166653811,59.74766788142937,32.860457883858146,-58.29633508287819,46.30022606950993,70.66293539195978,48.30477113209747,42.37298585819727,48.97088136595852,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 18:02:58.346077,2026-05-12 18:02:58.637908,0 days 00:00:00.291831,-45.269863598980194,33.4246239439472,66.01814843927589,53.76313191974703,23.847462577407438,34.516090881881624,-64.52036456363088,43.585600947997236,71.44592730479098,47.61517657212534,20.61430540345758,29.338821106131753,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 18:02:58.735411,2026-05-12 18:02:58.968807,0 days 00:00:00.233396,-63.24668382590709,65.71677811847786,51.267863722943126,49.76411816881251,57.92636779604666,56.692759777830176,-56.95275273181832,52.787844964846016,60.30416503723261,49.23798995088817,34.67146312837676,30.512718988632972,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 18:02:59.077626,2026-05-12 18:02:59.343047,0 days 00:00:00.265421,-48.7836494964056,61.71928066929054,40.538922960802886,41.15865643846264,40.45239042065466,36.88791998195011,-45.19401181724741,58.4531746389976,33.019607012056525,49.70182591346875,47.09951832065894,48.43559784377027,Unfeasible shape,0.0,PRUNED
9,9,0.0,2026-05-12 18:02:59.510615,2026-05-12 18:03:18.543432,0 days 00:00:19.032817,-56.891328099156894,74.27270214085912,51.37174634714407,43.29771561550506,33.13428950167526,39.859634430528594,-67.83684343741885,69.53954269940618,35.45327444003245,58.129441387315474,40.36760786122932,33.06679071496781,,0.0,COMPLETE
