,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.1245965436777965,2026-04-13 10:00:34.703965,2026-04-13 10:00:40.703502,0 days 00:00:05.999537,43.94710041684761,32.53313830578784,21.17038531126655,-64.17846177500353,68.91131262804801,48.68925067078364,80.69651454224528,46.72219306392972,16.013297720087436,34.47829217992174,72.31194219654327,57.26565076257515,-79.0971530854591,54.94323235682392,31.134498550427026,49.618154459369066,42.94806948947406,23.91668692609131,Unattained target,RandomSampler,PRUNED
1,1,5.900632100910741,2026-04-13 10:00:40.828571,2026-04-13 10:00:46.146415,0 days 00:00:05.317844,89.41885176935484,67.55959972347333,20.89955684837861,-37.07417964358767,67.44350640393873,74.41133637578866,21.22880645734566,40.299104416069625,13.91227335304938,76.68239819589913,66.49818806851346,27.38462477321787,-55.8830786053269,53.1322493495353,10.40169009607786,35.87222495266886,38.95973491951723,13.570826752387424,Unattained target,RandomSampler,PRUNED
2,2,10.213947167536034,2026-04-13 10:00:46.277059,2026-04-13 10:00:51.570000,0 days 00:00:05.292941,81.2654424164143,56.67701336924645,30.11601754979268,-34.6074023186914,68.0155101133538,89.8795435810914,67.73450121143209,46.08113709788174,14.513547628142982,77.7894064028996,74.20407005014681,63.5843505322498,-27.89070996326867,69.87525891244728,68.62440340138116,92.13432152103366,46.37389448208097,17.439628621913016,Unattained target,RandomSampler,PRUNED
3,3,9.58582792833348,2026-04-13 10:00:51.693616,2026-04-13 10:00:56.802025,0 days 00:00:05.108409,80.25691091568258,99.11979883541628,40.05932438899026,-44.469625278653325,71.82726948091633,81.50982480197902,84.78070135033153,32.19032770446222,18.29073201588718,73.12526710078984,77.98168402437982,39.1210320072873,-51.94054135600977,23.863196511851534,64.65276871066524,35.46085118789321,49.11292453836293,26.02311477082164,Unattained target,RandomSampler,PRUNED
4,4,6.584738089719238,2026-04-13 10:00:56.932327,2026-04-13 10:01:02.147789,0 days 00:00:05.215462,28.207508668153352,38.43898504215741,83.42480846270712,-33.37242518390414,29.3070554114939,67.23881176874468,26.401886013130046,39.79790693314436,27.125548992950417,42.30478010308987,20.22442234283376,53.65894581610536,-74.59116925013235,58.36952009726062,25.999328373793734,14.186731669231357,46.124499801017244,29.444383917903288,Unattained target,RandomSampler,PRUNED
5,5,7.948079767273139,2026-04-13 10:01:02.265489,2026-04-13 10:01:07.492462,0 days 00:00:05.226973,37.83726920827493,65.69298461687674,91.79007603916332,-73.73368837945361,87.39429179566935,52.78754964379234,93.31680249169364,49.89715202597688,14.05863698980587,91.59001195416099,54.31542369252498,56.58201566044369,-74.7117641015077,25.149810163759973,82.12010866429777,91.45669730375002,39.16954528828663,20.364923185958666,Unattained target,RandomSampler,PRUNED
6,6,8.00218032078292,2026-04-13 10:01:07.615498,2026-04-13 10:01:12.754992,0 days 00:00:05.139494,41.57799768201525,79.65656882769827,12.763287648855052,-22.836556285213177,74.89748226706362,67.70987566465192,89.00548066439448,31.91365493313246,20.890885060834727,53.02516824226054,84.44544636109967,71.36512050679134,-78.22185901812874,59.709682765883656,10.62757823116504,56.1896065520384,34.90991356426732,27.16682284284841,Unattained target,RandomSampler,PRUNED
7,7,5.828093649375539,2026-04-13 10:01:12.892448,2026-04-13 10:01:17.874474,0 days 00:00:04.982026,42.15709556805164,89.0460232119343,88.20943607321956,-73.85250006356503,79.8997618024656,54.33714174466003,74.95543393196341,38.3924509069778,26.035635230750653,64.49776769544998,39.233783107800605,80.48844704323206,-43.119278489928874,46.75758020665005,48.415230813837915,63.64059508311203,47.81834412104432,16.900853629977448,Unattained target,RandomSampler,PRUNED
8,8,12.754544521596003,2026-04-13 10:01:18.005005,2026-04-13 10:01:23.255667,0 days 00:00:05.250662,41.26569387216815,61.47879297112226,63.92455871947266,-21.36383216551173,95.5861067297178,98.22168657505128,70.96874387482427,31.162175308418078,12.456415064398449,43.40708947029914,56.116174355934305,87.73507743887338,-47.47212691344056,55.90038689610779,15.953846213368438,68.98114051759177,40.11944815951661,20.167792156902348,Unattained target,RandomSampler,PRUNED
9,9,7.77699396757766,2026-04-13 10:01:23.374217,2026-04-13 10:01:28.444514,0 days 00:00:05.070297,43.84712365628842,33.04576987686157,54.67459964886111,-38.63704234572499,98.28464164455193,17.195250649814877,31.19617900590294,34.936125693985254,27.337989651601752,76.78144289531883,50.7388823982718,98.99830822836506,-66.35471487163187,97.04978672512621,53.86979252086442,29.28697705392983,39.130997510108116,26.540087902973156,Unattained target,RandomSampler,PRUNED
