,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-11 23:04:37.806614,2026-05-11 23:04:38.631152,0 days 00:00:00.824538,-50.111518589974146,89.24039092656095,82.75314330668847,72.92202597919504,66.36830374759055,64.41739623742181,-70.14111144409212,56.154987518490465,43.28540949157917,51.10974263140546,26.28223696678486,39.933002316030084,Unfeasible shape,,PRUNED
1,1,8.815142013371236,2026-05-11 23:04:38.734700,2026-05-11 23:04:54.341522,0 days 00:00:15.606822,-71.49122614325819,79.57849546618758,86.98306389343685,65.51705857223689,46.20762700336718,28.864971046134855,-53.75029733506754,66.25334608941151,89.4002091523089,84.82285549316427,1.0740442567153092,36.8538198812852,,,COMPLETE
2,2,8.822304185399197,2026-05-11 23:04:55.881685,2026-05-11 23:05:09.011939,0 days 00:00:13.130254,-36.02072912857086,93.26969309025459,29.729109378597887,69.7163721620666,48.13518411109483,33.2150624968551,-46.50230317844967,95.5710234881619,64.90908494897953,44.295539973061246,33.334724634638484,42.05252614617276,,0.0,COMPLETE
3,3,140.0,2026-05-11 23:05:10.344059,2026-05-11 23:05:10.549125,0 days 00:00:00.205066,-42.83736187877523,62.16120982538209,50.267412428433566,45.63203505964854,42.3497150681122,44.15190301181324,-53.940881015689754,34.05234256261062,47.13577929723877,37.348608755332876,34.45036724879335,44.327077960354515,Unfeasible shape,0.0,PRUNED
4,4,140.0,2026-05-11 23:05:10.655975,2026-05-11 23:05:10.879063,0 days 00:00:00.223088,-41.522270682902786,75.31311467612777,47.44768842731517,40.69772201607762,35.59980623319494,26.320609628920636,-59.63270384473988,54.251814236533036,52.61753010327745,48.6915658726277,51.74172563983559,51.585040703146966,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-11 23:05:11.001624,2026-05-11 23:05:11.209754,0 days 00:00:00.208130,-43.02957130088092,70.20926162281722,69.40092047662776,52.76446964047186,31.753173646394945,39.136869884683215,-34.275908521086286,71.97880221743293,38.36221312746021,46.20142598095272,63.05084397954548,32.869439880561586,Unfeasible shape,0.0,PRUNED
6,6,8.835516880396959,2026-05-11 23:05:11.336747,2026-05-11 23:05:27.587092,0 days 00:00:16.250345,-48.99293793618985,51.40538222885627,65.86119061156054,30.683304770185018,48.70894261175953,31.98852038695104,-56.29993103297123,42.532798607218886,45.5967877299425,82.03029303404948,35.8348439123573,30.929063143960285,,0.0,COMPLETE
7,7,140.0,2026-05-11 23:05:28.996290,2026-05-11 23:05:29.203026,0 days 00:00:00.206736,-58.395424347984246,51.41735138537954,39.21375654920026,74.39737002515191,19.387377813041933,16.57597699378782,-48.350600163025675,48.016240746961294,56.7721090022309,40.397274904333656,35.75825119226662,40.120358761206404,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-11 23:05:29.310758,2026-05-11 23:05:29.571679,0 days 00:00:00.260921,-49.34825323269608,70.81517471045949,64.03609490704083,69.72987752092001,46.04346614229978,23.913283590150908,-61.04127493633854,50.84430766188504,58.59904224274056,55.95036157781308,52.80237425640709,29.809893570492292,Unfeasible shape,0.0,PRUNED
9,9,8.811328840019996,2026-05-11 23:05:29.664211,2026-05-11 23:05:40.662663,0 days 00:00:10.998452,-47.78940338012086,73.23618348274374,59.47134653164969,64.65817048293107,29.888005969602798,46.983827050985006,-55.41775116157178,47.63617459757497,44.12016627746416,32.53227813507317,42.398476492207315,36.6389992414943,,0.0,COMPLETE
10,10,8.784267811128181,2026-05-11 23:05:41.889818,2026-05-11 23:05:55.425799,0 days 00:00:13.535981,-47.99785608500468,54.346867989738655,69.50828504855639,29.213958009279544,34.882287123846474,65.97749995252641,-45.79301418592464,26.784481557132228,37.82024527208623,78.6522844216035,37.710902301979665,31.381441509063677,,0.0,COMPLETE
11,11,140.0,2026-05-11 23:05:56.830449,2026-05-11 23:05:57.067685,0 days 00:00:00.237236,-54.91704447762232,64.38950395807665,47.29758576220987,33.396959005903355,60.26722884046533,41.45352083567579,-44.57699080565098,46.567207311785914,62.16508385999312,29.869490193711783,48.03297856507013,59.366009325437474,Unfeasible shape,0.0,PRUNED
12,12,8.835557030647031,2026-05-11 23:05:57.187206,2026-05-11 23:06:08.681974,0 days 00:00:11.494768,-55.97766201009087,52.01400245979239,64.47259034906953,23.25809102304586,47.194668822432895,37.64792551808101,-63.32227319074349,56.596644714342915,81.69693353966099,81.7903260631996,23.02808447791245,50.9274973846519,,0.0,COMPLETE
13,13,140.0,2026-05-11 23:06:10.162962,2026-05-11 23:06:10.400043,0 days 00:00:00.237081,-48.01577105225798,45.80012819143971,44.976169207588725,53.101234405403865,53.201716068739245,43.01860998999679,-39.17285662660919,40.684750103903205,62.49585409072128,57.200864723378665,42.72016212556045,25.960687876247448,Unfeasible shape,0.0,PRUNED
14,14,140.0,2026-05-11 23:06:10.525588,2026-05-11 23:06:10.803013,0 days 00:00:00.277425,-54.21805290761646,50.172801234006336,56.12337897243239,74.23330866141559,16.898629144178287,58.69943558318245,-48.361374837192855,64.46136434306572,81.7812036282276,52.532965076515055,39.8769997349301,32.44959691769965,Unfeasible shape,0.0,PRUNED
15,15,140.0,2026-05-11 23:06:10.904544,2026-05-11 23:06:11.115622,0 days 00:00:00.211078,-48.71542581429461,51.719722629802924,53.205091169805996,68.73952591329586,36.27379177795603,44.093982996170254,-56.65016306713206,36.22393992988821,52.60731104891289,40.26376960243795,22.23473836052556,40.9276392059231,Unfeasible shape,0.0,PRUNED
16,16,140.0,2026-05-11 23:06:11.288374,2026-05-11 23:06:11.518183,0 days 00:00:00.229809,-29.42250323662872,60.45568878879175,56.40548784008968,66.61999564757622,31.023218438370275,17.456803312841267,-43.61660875408587,38.6619744832657,67.5452004807027,51.07148636944639,40.13231862333248,27.830535496835108,Unfeasible shape,0.0,PRUNED
17,17,140.0,2026-05-11 23:06:11.683625,2026-05-11 23:06:11.899686,0 days 00:00:00.216061,-48.125441242470906,40.382437946727556,63.525300500218066,33.82148941040064,44.57977618291262,61.018477672993356,-38.573249785918016,79.71910844803239,27.025561656067417,49.031296775931,38.31463681955792,51.30731604776137,Unfeasible shape,0.0,PRUNED
18,18,8.830252192548969,2026-05-11 23:06:12.012214,2026-05-11 23:06:26.266169,0 days 00:00:14.253955,-49.24317135523704,85.42121138809642,52.26778410831385,65.21019162727981,52.06207780324591,37.63027245072928,-64.98211982868094,55.31673675941675,49.49837923338984,94.07110279164269,42.25490257315683,28.398883808170762,,0.0,COMPLETE
19,19,8.775228228520056,2026-05-11 23:06:27.668020,2026-05-11 23:06:44.031505,0 days 00:00:16.363485,-60.53085461579994,55.63619632140448,45.8271896651943,43.712289203681884,35.59237570496554,47.30469880784595,-48.90764863899561,47.98838817874284,37.90017237232753,41.42604287389631,40.59310482490245,40.63358588158216,,0.0,COMPLETE
