,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 18:08:35.753095,2026-05-12 18:08:36.615485,0 days 00:00:00.862390,-39.71461399024416,15.857341662439891,69.04612042762591,58.81934320229565,10.828640278986207,44.3276914835739,-51.970761533371046,35.679675884630704,71.31635623409228,29.444251776393166,66.09899328041662,61.54343655072878,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 18:08:36.721219,2026-05-12 18:08:37.583768,0 days 00:00:00.862549,-78.52110942750996,99.1426013842608,22.31018510720125,44.45073090102688,55.87906552432702,38.6813317989547,-46.11467381308031,40.42119942563839,60.43348643455297,30.589457456046993,0.6802060615275995,28.28094324945197,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 18:08:37.691793,2026-05-12 18:08:37.915368,0 days 00:00:00.223575,-29.08358337298253,40.86260305650356,40.535986398433536,35.24544049628339,67.20605242853568,39.21883026029479,-24.288620416142088,63.76444945063689,46.97088417221197,64.91953176588298,66.7007401532178,20.665133310120424,Unfeasible shape,,PRUNED
3,3,140.0,2026-05-12 18:08:38.006129,2026-05-12 18:08:38.286969,0 days 00:00:00.280840,-28.795458880010017,17.448595463358924,96.07685639783563,12.768675770312825,1.678218874817039,19.824860124620113,-75.57672379513293,93.52747860904144,34.7209081153606,47.72247116772042,2.2562336730078014,24.535527763451405,Unfeasible shape,,PRUNED
4,4,0.0,2026-05-12 18:08:38.389368,2026-05-12 18:08:53.627714,0 days 00:00:15.238346,-27.992843244059067,77.05427465353927,15.63002637392082,79.37481120320622,3.372612809095293,9.588460292248088,-61.843740462284494,85.471577290506,66.1385304368051,57.411852703774386,25.51820334814105,14.044271779226229,,,COMPLETE
5,5,140.0,2026-05-12 18:08:55.172642,2026-05-12 18:08:55.786542,0 days 00:00:00.613900,-59.130380799810524,76.40741091280991,35.87921560727389,65.36768408205674,30.11731726576152,57.47559773099879,-61.89435434176876,52.69318528363445,63.885167603530945,69.99989222751464,23.014863999727783,29.486327967215217,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 18:08:55.891682,2026-05-12 18:08:56.163809,0 days 00:00:00.272127,-53.77181455507404,69.31557358390572,65.32760635137842,51.68279795965833,50.036192438260535,30.83410465634365,-49.141223671720475,50.54319766704145,43.92089695870469,44.84051217551342,40.708459961346904,51.98349009742661,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 18:08:56.287644,2026-05-12 18:08:56.539642,0 days 00:00:00.251998,-53.77232168684373,76.03380934958767,48.507516019661104,46.925812687882335,35.44044631140441,42.44190011052783,-31.471620661407613,59.946600620646485,53.89304842395697,64.86930450085342,39.689012846002896,42.08674796771782,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 18:08:56.638147,2026-05-12 18:08:56.937042,0 days 00:00:00.298895,-60.69688357236074,71.66020581504408,62.52198567782247,47.206942202554444,23.435940842605508,24.552376098538566,-62.212830610482285,68.77655458535605,62.150561983984865,68.9289749948102,31.61762435023851,40.81434959654208,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 18:08:57.060524,2026-05-12 18:08:57.389480,0 days 00:00:00.328956,-42.41982825434992,28.538486721025976,49.55773154731877,50.09075343708342,55.49974091158704,33.409018864603475,-44.143446831794286,68.66958710490567,58.960557475142124,62.105543096561405,19.642178553630504,23.147881299731228,Unfeasible shape,0.0,PRUNED
