,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 17:56:10.505679,2026-05-12 17:56:11.377072,0 days 00:00:00.871393,-35.914750364037815,76.72597529689891,86.26771006780467,78.58926341226346,70.49932252374984,40.075085141633984,-40.65838686580546,72.4551146874359,86.38636648437188,81.2869483357104,59.27680935145264,16.170388063930634,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 17:56:11.475550,2026-05-12 17:56:11.742402,0 days 00:00:00.266852,-37.47481634646017,68.56351095789834,62.30564591852828,39.91417930472403,0.146909072648424,33.67023987023957,-56.52385572438354,99.24578931022504,93.2274458207353,89.93863547603131,49.19246370008648,30.608937858719482,Unfeasible shape,,PRUNED
2,2,0.0,2026-05-12 17:56:11.843409,2026-05-12 17:56:29.519326,0 days 00:00:17.675917,-23.105929768604952,26.02326175912238,19.85881417121727,78.10070325635012,32.39817003787317,1.8325834089403858,-27.87727832918042,80.53238287130732,58.12121290694977,58.74033278063455,2.980244792789502,53.27785494408545,,,COMPLETE
3,3,140.0,2026-05-12 17:56:30.877142,2026-05-12 17:56:31.394277,0 days 00:00:00.517135,-65.6574925385704,32.90420090762055,28.13236228863742,43.05344775758769,31.22790177477624,52.70954218038717,-51.714228230094406,65.74680449048229,44.914519861392755,61.84889376487516,58.57497327065201,21.78289282151945,Unfeasible shape,0.0,PRUNED
4,4,140.0,2026-05-12 17:56:31.520502,2026-05-12 17:56:31.798339,0 days 00:00:00.277837,-45.03035564941675,82.58656971447996,60.3026245576438,53.257229334653076,19.904282308874137,50.32598369877152,-55.136042640180214,63.7197071024594,52.18895234869222,42.22863406078169,37.35941947893146,71.13219712624145,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 17:56:31.892747,2026-05-12 17:56:32.168708,0 days 00:00:00.275961,-58.13192982913868,72.68406662734404,99.69977115597959,62.70457307163699,41.539911373398354,42.51713201965316,-57.81315866583415,39.25546676055124,47.68449347458271,64.44823952852451,21.8877089460801,26.686452480802593,Unfeasible shape,0.0,PRUNED
6,6,0.0,2026-05-12 17:56:32.260809,2026-05-12 17:56:48.198557,0 days 00:00:15.937748,-69.1306727359622,51.36361439734583,87.67457115642289,68.16562628132054,4.675030654819218,38.9252624577754,-65.24084122942482,73.72622453602183,71.9659084443602,77.01637499313743,23.777715511939075,55.64448219441104,,0.0,COMPLETE
7,7,140.0,2026-05-12 17:56:49.858424,2026-05-12 17:56:50.068917,0 days 00:00:00.210493,-59.11005179589483,48.54056967936162,84.99075361710732,58.422199736963506,33.31307494809923,31.954102327670917,-46.51058512416974,54.546639174398976,57.92633284970194,40.251607214680334,65.5975301170074,48.808662987514495,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 17:56:50.190847,2026-05-12 17:56:50.441697,0 days 00:00:00.250850,-57.40748268503573,59.474756837851025,30.414779614267907,64.8341879819526,45.008818731053815,48.55999547332374,-29.156725485556777,47.6194148570139,61.929897949388355,71.63221266451583,44.283463430573796,31.955657035426764,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 17:56:50.542634,2026-05-12 17:56:50.785853,0 days 00:00:00.243219,-45.44734015039237,71.08662625599388,56.10216283814366,54.40410386212392,46.530241209631974,18.011467490401355,-63.40361642542835,48.937877081976865,63.30076592645721,54.04897978520494,43.757210724161325,21.551358030329464,Unfeasible shape,0.0,PRUNED
