,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,5.378364665066158,2026-04-10 11:21:11.648830,2026-04-10 11:21:15.846175,0 days 00:00:04.197345,69.08927243163863,51.19026828591138,67.98359228554853,-50.54872756852243,16.63948918204761,79.09539832428237,89.23239219185722,43.57834764027538,26.375765226661755,28.54816314848234,75.78822796566399,99.89374709885384,-24.896118622196518,49.69080802250842,37.923183662061234,96.58854923437622,43.56109267172974,12.358344285006066,Unattained target,RandomSampler,PRUNED
1,1,5.343342418646248,2026-04-10 11:21:15.976068,2026-04-10 11:21:19.774075,0 days 00:00:03.798007,22.64436338999309,26.20173630070372,98.3972469051576,-64.98913891426054,18.019270510803395,22.115535446039488,75.14863542571926,37.88220772120421,12.094971917734203,43.39860701785688,18.32611617141168,91.8969760774257,-59.496565919898316,62.49411364429312,68.81216902873834,25.03764909282063,34.079209890758754,16.050392878655764,Unattained target,RandomSampler,PRUNED
2,2,7.2141111453478,2026-04-10 11:21:19.894360,2026-04-10 11:21:24.106217,0 days 00:00:04.211857,81.61230889409569,87.18897926784062,18.43605448643885,-55.97881568909425,88.41188068195852,84.79517473637618,91.54990054853455,49.200796011379,25.986511532735626,88.54342564900445,93.47129362610782,71.99872364541284,-28.920476167444626,51.32290020853601,89.63831744204005,97.66227288943348,42.12742258189812,14.096542888213023,Unattained target,RandomSampler,PRUNED
3,3,13.733103400591936,2026-04-10 11:21:24.230000,2026-04-10 11:21:28.260218,0 days 00:00:04.030218,64.210233761316,62.84434891223411,78.88052498418828,-41.43407634949582,92.80971305675332,70.61347018302604,49.894058784334874,34.998731851354314,19.29311634617558,29.8824341960633,98.38411372263947,74.8102001733307,-33.00390439923811,60.10066760396929,64.10902272159225,57.432175095124094,34.28068409381297,28.877790171587215,Unattained target,RandomSampler,PRUNED
4,4,6.22611271275046,2026-04-10 11:21:28.384472,2026-04-10 11:21:32.385580,0 days 00:00:04.001108,64.2812583940148,22.00024307779267,56.72779238151111,-47.32512673175998,89.9912558371413,21.137291303625183,56.95004970631094,49.857077128043684,11.234474745150013,41.33353828440618,49.35824549752072,61.92568020753109,-53.98064414716647,54.76080576255856,39.55812756098969,60.850974150283555,47.456163462529986,23.68658973550164,Unattained target,RandomSampler,PRUNED
5,5,5.013680295497625,2026-04-10 11:21:32.510634,2026-04-10 11:21:36.496122,0 days 00:00:03.985488,68.74960793140463,17.277774594931316,11.337907725617198,-29.84341953915994,77.69490578762755,92.62571339034955,21.544855000892483,48.88889467396235,15.407592136658808,51.807805670339626,82.24066553749263,82.56622107457729,-79.28493906756462,10.369247862176003,60.476379458234824,91.88893639593614,41.369088130402844,21.99268941483547,Unattained target,RandomSampler,PRUNED
6,6,5.477603360395946,2026-04-10 11:21:36.611706,2026-04-10 11:21:40.466301,0 days 00:00:03.854595,60.082102838458376,47.24316761972109,49.1580161459282,-79.97971482214226,68.90994838038117,66.66513762319447,55.14980417895554,33.62838905437249,16.982784677032996,84.88536942487652,37.0677699452188,84.80138384915428,-37.08816868098501,20.164606205500068,72.93829401419777,44.25932577624556,49.052436405456504,23.369072387156102,Unattained target,RandomSampler,PRUNED
7,7,7.314029724424451,2026-04-10 11:21:40.596684,2026-04-10 11:21:45.008153,0 days 00:00:04.411469,66.46581181191452,54.609440582967146,93.55619527633577,-40.44549392792981,63.42306519347685,48.150512144915844,31.03600665192729,41.020849767671386,16.50347989080612,73.19280479636839,82.78323836036037,13.666926851742561,-74.38905362398941,13.493089927133651,63.63222785711631,90.6027797815864,37.986970479059956,25.20916888063704,Unattained target,RandomSampler,PRUNED
8,8,10.126653608833607,2026-04-10 11:21:45.133235,2026-04-10 11:21:49.114891,0 days 00:00:03.981656,39.225325626894346,44.81562750455228,60.935593026383565,-60.544563031889794,59.27742951012339,31.760565994350834,97.06903625183591,48.86885271307267,10.072844432139597,77.50309553160537,87.36155989624795,96.8273703523716,-45.96090290104684,56.839811082128726,54.21513378400066,56.513270268220815,46.14410035418027,12.298789504796515,Unattained target,RandomSampler,PRUNED
9,9,8.77633326123,2026-04-10 11:21:49.241750,2026-04-10 11:21:53.331730,0 days 00:00:04.089980,42.69479122204583,68.74419770739024,54.169430997405485,-26.401958185332916,17.84255597633091,98.56628368102922,67.95146039949856,45.29724644302982,26.687652385133255,43.89771378521056,82.97690259110252,65.89667608463455,-23.167661999814783,49.547267544150124,58.39473031925495,73.95892867112394,49.246822833824965,16.287291616932816,Unattained target,RandomSampler,PRUNED
