,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,system_attrs_fixed_params,state
0,0,9.553151968081814,2026-04-14 15:16:53.303383,2026-04-14 15:16:58.279747,0 days 00:00:04.976364,48.987455282518155,95.82230785024674,16.576036905104758,-42.41078162337815,74.02986709033742,20.928570518785243,98.46944291289006,30.994481832778387,24.522599499078865,49.336883639451806,95.49065320149711,38.679719918049,-67.3205295080431,62.869003991961975,69.17611725776666,39.5688459589695,46.01173978515199,11.989462842233642,Unattained target,RandomSampler,,PRUNED
1,1,9.55315150883127,2026-04-14 15:16:58.406058,2026-04-14 15:17:02.418645,0 days 00:00:04.012587,48.987455282518155,95.82230785024674,16.576036905104758,-42.41078162337815,74.02986709033742,20.928570518785243,98.46944291289006,30.994481832778387,24.522599499078865,49.336883639451806,95.49065320149711,38.679719918049,-67.3205295080431,62.869003991961975,69.17611725776666,39.5688459589695,46.01173978515199,11.989462842233642,Unattained target,RandomSampler,"{'sLegPt.rL0': 62.869003991961975, 'sLegPt.lL0': 49.336883639451806, 'sLegPt.rL1': 69.17611725776666, 'sLegPt.lL1': 95.49065320149711, 'sLegPt.x1': 46.01173978515199, 'sLegPt.y1': 11.989462842233642, 'sLegPt.rA1': -67.3205295080431, 'sLegPt.rL2': 39.5688459589695, 'sLegPt.lL2': 38.679719918049, 'lLegPt.rL0': 74.02986709033742, 'lLegPt.lL0': 48.987455282518155, 'lLegPt.rL1': 20.928570518785243, 'lLegPt.lL1': 95.82230785024674, 'lLegPt.x1': 30.994481832778387, 'lLegPt.y1': 24.522599499078865, 'lLegPt.rA1': -42.41078162337815, 'lLegPt.rL2': 98.46944291289006, 'lLegPt.lL2': 16.576036905104758}",PRUNED
2,2,9.553151591374302,2026-04-14 15:17:02.536007,2026-04-14 15:17:06.174428,0 days 00:00:03.638421,48.987455282518155,95.82230785024674,16.576036905104758,-42.41078162337815,74.02986709033742,20.928570518785243,98.46944291289006,30.994481832778387,24.522599499078865,49.336883639451806,95.49065320149711,38.679719918049,-67.3205295080431,62.869003991961975,69.17611725776666,39.5688459589695,46.01173978515199,11.989462842233642,Unattained target,RandomSampler,"{'sLegPt.rL0': 62.869003991961975, 'sLegPt.lL0': 49.336883639451806, 'sLegPt.rL1': 69.17611725776666, 'sLegPt.lL1': 95.49065320149711, 'sLegPt.x1': 46.01173978515199, 'sLegPt.y1': 11.989462842233642, 'sLegPt.rA1': -67.3205295080431, 'sLegPt.rL2': 39.5688459589695, 'sLegPt.lL2': 38.679719918049, 'lLegPt.rL0': 74.02986709033742, 'lLegPt.lL0': 48.987455282518155, 'lLegPt.rL1': 20.928570518785243, 'lLegPt.lL1': 95.82230785024674, 'lLegPt.x1': 30.994481832778387, 'lLegPt.y1': 24.522599499078865, 'lLegPt.rA1': -42.41078162337815, 'lLegPt.rL2': 98.46944291289006, 'lLegPt.lL2': 16.576036905104758}",PRUNED
3,3,7.8024042102873885,2026-04-14 15:17:06.310805,2026-04-14 15:17:09.976262,0 days 00:00:03.665457,70.29346212772896,34.704182960818606,45.147176575092914,-72.37115625567625,90.13235890175356,14.505186278828049,69.06003001390445,33.03222934144349,20.914610602950304,64.92284670880954,27.668279148614143,54.124836466128826,-79.99453610630805,45.22784479977503,87.33965370433215,53.88351281853456,40.39093531800388,27.256109952838607,Unattained target,RandomSampler,,PRUNED
4,4,7.802403648849769,2026-04-14 15:17:10.137988,2026-04-14 15:17:24.517406,0 days 00:00:14.379418,70.29346212772896,34.704182960818606,45.147176575092914,-72.37115625567625,90.13235890175356,14.505186278828049,69.06003001390445,33.03222934144349,20.914610602950304,64.92284670880954,27.668279148614143,54.124836466128826,-79.99453610630805,45.22784479977503,87.33965370433215,53.88351281853456,40.39093531800388,27.256109952838607,Unattained target,RandomSampler,"{'sLegPt.rL0': 45.22784479977503, 'sLegPt.lL0': 64.92284670880954, 'sLegPt.rL1': 87.33965370433215, 'sLegPt.lL1': 27.668279148614143, 'sLegPt.x1': 40.39093531800388, 'sLegPt.y1': 27.256109952838607, 'sLegPt.rA1': -79.99453610630805, 'sLegPt.rL2': 53.88351281853456, 'sLegPt.lL2': 54.124836466128826, 'lLegPt.rL0': 90.13235890175356, 'lLegPt.lL0': 70.29346212772896, 'lLegPt.rL1': 14.505186278828049, 'lLegPt.lL1': 34.704182960818606, 'lLegPt.x1': 33.03222934144349, 'lLegPt.y1': 20.914610602950304, 'lLegPt.rA1': -72.37115625567625, 'lLegPt.rL2': 69.06003001390445, 'lLegPt.lL2': 45.147176575092914}",PRUNED
5,5,7.8024033804368536,2026-04-14 15:17:24.687519,2026-04-14 15:17:41.029674,0 days 00:00:16.342155,70.29346212772896,34.704182960818606,45.147176575092914,-72.37115625567625,90.13235890175356,14.505186278828049,69.06003001390445,33.03222934144349,20.914610602950304,64.92284670880954,27.668279148614143,54.124836466128826,-79.99453610630805,45.22784479977503,87.33965370433215,53.88351281853456,40.39093531800388,27.256109952838607,Unattained target,RandomSampler,"{'sLegPt.rL0': 45.22784479977503, 'sLegPt.lL0': 64.92284670880954, 'sLegPt.rL1': 87.33965370433215, 'sLegPt.lL1': 27.668279148614143, 'sLegPt.x1': 40.39093531800388, 'sLegPt.y1': 27.256109952838607, 'sLegPt.rA1': -79.99453610630805, 'sLegPt.rL2': 53.88351281853456, 'sLegPt.lL2': 54.124836466128826, 'lLegPt.rL0': 90.13235890175356, 'lLegPt.lL0': 70.29346212772896, 'lLegPt.rL1': 14.505186278828049, 'lLegPt.lL1': 34.704182960818606, 'lLegPt.x1': 33.03222934144349, 'lLegPt.y1': 20.914610602950304, 'lLegPt.rA1': -72.37115625567625, 'lLegPt.rL2': 69.06003001390445, 'lLegPt.lL2': 45.147176575092914}",PRUNED
6,6,21.691211976395216,2026-04-14 15:17:41.162433,2026-04-14 15:18:00.697517,0 days 00:00:19.535084,78.32790197302216,40.798708392275834,92.75744550621911,-25.31885847735493,62.75060118737399,82.81312544017669,60.0776996885001,34.796816285873305,18.032327861016245,95.70044417872988,65.33008669230166,21.755203459716917,-33.29466023447071,76.08421440615022,49.53110007301091,22.097528596798046,34.187910274459085,26.680302412079005,Unattained target,RandomSampler,,PRUNED
7,7,21.691211684052,2026-04-14 15:18:00.838367,2026-04-14 15:18:16.143206,0 days 00:00:15.304839,78.32790197302216,40.798708392275834,92.75744550621911,-25.31885847735493,62.75060118737399,82.81312544017669,60.0776996885001,34.796816285873305,18.032327861016245,95.70044417872988,65.33008669230166,21.755203459716917,-33.29466023447071,76.08421440615022,49.53110007301091,22.097528596798046,34.187910274459085,26.680302412079005,Unattained target,RandomSampler,"{'sLegPt.rL0': 76.08421440615022, 'sLegPt.lL0': 95.70044417872988, 'sLegPt.rL1': 49.53110007301091, 'sLegPt.lL1': 65.33008669230166, 'sLegPt.x1': 34.187910274459085, 'sLegPt.y1': 26.680302412079005, 'sLegPt.rA1': -33.29466023447071, 'sLegPt.rL2': 22.097528596798046, 'sLegPt.lL2': 21.755203459716917, 'lLegPt.rL0': 62.75060118737399, 'lLegPt.lL0': 78.32790197302216, 'lLegPt.rL1': 82.81312544017669, 'lLegPt.lL1': 40.798708392275834, 'lLegPt.x1': 34.796816285873305, 'lLegPt.y1': 18.032327861016245, 'lLegPt.rA1': -25.31885847735493, 'lLegPt.rL2': 60.0776996885001, 'lLegPt.lL2': 92.75744550621911}",PRUNED
8,8,21.691211632206013,2026-04-14 15:18:16.505266,2026-04-14 15:18:31.099811,0 days 00:00:14.594545,78.32790197302216,40.798708392275834,92.75744550621911,-25.31885847735493,62.75060118737399,82.81312544017669,60.0776996885001,34.796816285873305,18.032327861016245,95.70044417872988,65.33008669230166,21.755203459716917,-33.29466023447071,76.08421440615022,49.53110007301091,22.097528596798046,34.187910274459085,26.680302412079005,Unattained target,RandomSampler,"{'sLegPt.rL0': 76.08421440615022, 'sLegPt.lL0': 95.70044417872988, 'sLegPt.rL1': 49.53110007301091, 'sLegPt.lL1': 65.33008669230166, 'sLegPt.x1': 34.187910274459085, 'sLegPt.y1': 26.680302412079005, 'sLegPt.rA1': -33.29466023447071, 'sLegPt.rL2': 22.097528596798046, 'sLegPt.lL2': 21.755203459716917, 'lLegPt.rL0': 62.75060118737399, 'lLegPt.lL0': 78.32790197302216, 'lLegPt.rL1': 82.81312544017669, 'lLegPt.lL1': 40.798708392275834, 'lLegPt.x1': 34.796816285873305, 'lLegPt.y1': 18.032327861016245, 'lLegPt.rA1': -25.31885847735493, 'lLegPt.rL2': 60.0776996885001, 'lLegPt.lL2': 92.75744550621911}",PRUNED
9,9,15.906582131191719,2026-04-14 15:18:31.250882,2026-04-14 15:18:43.701727,0 days 00:00:12.450845,87.71870226818713,83.11861523546372,44.913396684544736,-73.62836014428292,24.21712059731119,85.84381978743278,15.733539952893615,33.8940400380553,21.265932396141878,43.75571515268088,96.03364795379451,10.75089953481821,-53.89814115891524,56.34643104294892,28.609061441065823,46.67852179978125,36.001239269899166,28.365097438054182,Unattained target,RandomSampler,,PRUNED
