,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,140.0,2026-05-12 17:59:53.129291,2026-05-12 17:59:53.918034,0 days 00:00:00.788743,-23.004103297353907,62.856607909412844,33.33080536951729,98.06095574105362,40.55280298431583,71.95065663637284,-41.695890437602024,97.9067533853878,77.81227350339577,19.738456398705345,38.48280969688186,33.908437799709986,Unfeasible shape,PRUNED
1,1,140.0,2026-05-12 17:59:54.023425,2026-05-12 17:59:54.267137,0 days 00:00:00.243712,-64.88614121926614,72.01098161257033,54.28407444787647,24.81638380602348,72.75910193592765,29.505136214894236,-49.97810165779869,19.037656394125904,43.091456484260874,57.74833994120617,61.20604994445793,35.99484266596095,Unfeasible shape,PRUNED
2,2,140.0,2026-05-12 17:59:54.356034,2026-05-12 17:59:54.617999,0 days 00:00:00.261965,-38.029591665713305,61.552902583131136,32.372824233059745,28.821827156769096,4.457163722142757,41.74243728154955,-55.09468021026106,10.09932927128217,76.75385756900852,38.34998604807821,30.751673166031942,35.73859069463487,Unfeasible shape,PRUNED
3,3,140.0,2026-05-12 17:59:54.713429,2026-05-12 17:59:54.963804,0 days 00:00:00.250375,-41.224405407724944,38.03053228859133,10.907319367494967,12.868624363230511,38.21749609654152,24.04001369670199,-47.554554395429136,90.03227143733217,53.98261488019153,43.48461276453272,59.64050888438858,35.612934657451156,Unfeasible shape,PRUNED
4,4,140.0,2026-05-12 17:59:55.064728,2026-05-12 17:59:55.323964,0 days 00:00:00.259236,-49.311773509956154,39.930822923744415,60.37176100893619,62.590959761476526,4.4693548687434,27.838647296637152,-49.67628801291001,71.51735274927663,65.32948895282593,19.32793732554705,32.42298151165366,48.394916712828994,Unfeasible shape,PRUNED
5,5,140.0,2026-05-12 17:59:55.417189,2026-05-12 17:59:55.691799,0 days 00:00:00.274610,-32.66876882369694,63.609295731095145,41.33940369552023,81.60027557113565,52.623015957741174,15.765034460827836,-20.49140666318035,26.172632355100323,77.56579087870993,34.73784441744045,1.990587055192805,58.608429888057614,Unfeasible shape,PRUNED
6,6,140.0,2026-05-12 17:59:55.784652,2026-05-12 17:59:56.045335,0 days 00:00:00.260683,-24.798493473888676,93.23547342634062,63.88287533907593,15.670293681173694,55.34404909487407,48.99228579566569,-28.62214045425631,90.6359706908879,24.900517998254262,16.193068530808223,26.98245064961841,70.8250479275865,Unfeasible shape,PRUNED
7,7,140.0,2026-05-12 17:59:56.150396,2026-05-12 17:59:56.404218,0 days 00:00:00.253822,-74.55961831588034,61.70238300786211,59.557103540831584,26.001530613690615,19.069406664972554,70.82642426243507,-77.43631374910939,72.75895630270779,84.59606041824323,22.95663318931784,68.84074035210158,67.85321669019339,Unfeasible shape,PRUNED
8,8,140.0,2026-05-12 17:59:56.515336,2026-05-12 17:59:56.764210,0 days 00:00:00.248874,-69.84070241591448,44.726660012123894,47.60252228357995,41.91926098251722,65.76482533878601,48.02115571288173,-58.8750900732821,41.946879851941794,82.0001162253488,90.68152314157616,70.66304910562206,48.25780275275366,Unfeasible shape,PRUNED
9,9,140.0,2026-05-12 17:59:56.866971,2026-05-12 17:59:57.146729,0 days 00:00:00.279758,-23.915517199137938,15.992695416532106,54.72681955409402,85.18559596539882,55.39703631278385,46.406596136423886,-65.97161335271352,41.5017202944757,31.76627203363066,49.62277490737275,39.10106888956395,4.646304426978487,Unfeasible shape,PRUNED
