,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,140.0,2026-05-12 17:59:36.549187,2026-05-12 17:59:37.317271,0 days 00:00:00.768084,-72.69830657908437,92.01990845252968,58.00150540120079,79.39797382926793,61.96494203787477,31.330907597080245,-27.279048902076113,22.08492209574108,47.27618878411741,29.65471740755879,69.22658756115763,54.317260509670895,Unfeasible shape,PRUNED
1,1,140.0,2026-05-12 17:59:37.416220,2026-05-12 17:59:37.710641,0 days 00:00:00.294421,-32.209984295231536,81.94155025056418,63.00381896086715,11.146655025536884,34.62796419402935,38.329870983732334,-41.86335679953052,72.39604387222883,40.29901269738035,82.95771713369614,11.261314348231585,74.14000834244146,Unfeasible shape,PRUNED
2,2,140.0,2026-05-12 17:59:37.800762,2026-05-12 17:59:38.059326,0 days 00:00:00.258564,-41.411744537701026,18.34126038061433,19.2870784272566,20.34486607688204,16.25813460927731,21.651114380585966,-73.97333472622158,98.55260808328664,14.265991311103827,45.38098655949841,68.22251730198114,7.884182782826282,Unfeasible shape,PRUNED
3,3,140.0,2026-05-12 17:59:38.149118,2026-05-12 17:59:38.420995,0 days 00:00:00.271877,-74.99697320523518,10.13101432620705,55.686400469944815,67.12516708669449,66.17299172086764,53.268055035829526,-60.729971457181605,78.96971438723611,48.29989450238686,58.87531815516433,64.5701925021258,70.84072972426559,Unfeasible shape,PRUNED
4,4,140.0,2026-05-12 17:59:38.515210,2026-05-12 17:59:38.764717,0 days 00:00:00.249507,-31.30146842388239,33.231850194753164,22.955733706935774,96.19766977484089,67.07573262993589,57.685155978131164,-63.14938710433127,13.78127308553054,87.11452819134486,68.36511796387524,44.70363907970188,42.860371262453654,Unfeasible shape,PRUNED
5,5,140.0,2026-05-12 17:59:38.876615,2026-05-12 17:59:39.110397,0 days 00:00:00.233782,-44.382931509498896,78.26081502448862,25.1865271660727,50.97542361997403,12.035301077306043,62.96975283349155,-59.19486113638499,18.972268600669423,15.203608166901713,22.649854636595027,20.8813832783962,54.760646361847876,Unfeasible shape,PRUNED
6,6,140.0,2026-05-12 17:59:39.233603,2026-05-12 17:59:39.482911,0 days 00:00:00.249308,-60.18367622941008,43.50356577410112,95.2337341998953,84.5425068687909,60.85699937058965,61.70560044786149,-25.492795436714694,82.14945419304115,52.16790374615307,85.25897576494563,58.616261242458094,30.022724572819282,Unfeasible shape,PRUNED
7,7,140.0,2026-05-12 17:59:39.646500,2026-05-12 17:59:39.894010,0 days 00:00:00.247510,-37.74898139418224,51.381565458215064,46.93202547932105,34.855532698409775,3.965588700324327,0.1701576352999945,-46.94939977076007,85.51214292782774,89.32050541396504,40.9015676092594,69.25927235843653,20.76281226362665,Unfeasible shape,PRUNED
8,8,140.0,2026-05-12 17:59:39.985383,2026-05-12 17:59:40.347028,0 days 00:00:00.361645,-24.13698033991956,37.12462214550707,82.41578880273394,16.296326050606663,69.98054997713268,53.01153077247359,-39.249634680239026,62.67051757817347,18.142260935762792,30.587853170203363,31.190578486316245,0.5322900922314244,Unfeasible shape,PRUNED
9,9,140.0,2026-05-12 17:59:40.436258,2026-05-12 17:59:40.679617,0 days 00:00:00.243359,-36.74652368308921,70.13863272508645,68.597849452252,20.904413976606456,39.35098176212211,49.68602460018328,-22.344632215095416,66.67815712333831,34.96949017316736,97.86430795688094,33.13005593173098,31.716403027305372,Unfeasible shape,PRUNED
