,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,,2026-05-13 16:29:02.688583,2026-05-13 16:29:03.583180,0 days 00:00:00.894597,195.03428834284085,76.2569522228873,41.65192574420219,-62.17679219494512,78.86770695240746,98.98861437738596,37.25988730493918,72.08825362612124,61.540881365965944,40.17258037538839,64.79935734334609,43.69279020958558,-28.92140271174214,187.68883859057928,172.51676780432638,2.718529186465332,34.00162841449358,59.677879585137234,Unfeasible shape,,PRUNED
1,1,,2026-05-13 16:29:03.673741,2026-05-13 16:29:03.906084,0 days 00:00:00.232343,184.97274490723967,35.956020578529106,162.35882497749085,-15.719099678601538,91.08910477417618,153.1881844653811,140.26921097623273,44.910265999136264,67.48991435731536,183.40959980673668,9.20477886019614,110.32400313016737,-28.212764359185556,81.58762057307912,98.78014164603279,42.169776746647685,60.37245696899142,28.48660007429752,Unfeasible shape,,PRUNED
2,2,,2026-05-13 16:29:04.010370,2026-05-13 16:29:04.297321,0 days 00:00:00.286951,70.15505342980633,157.7064106326514,66.54376762947003,-26.803355815511893,54.4646799737898,146.7592196263603,148.31893061982865,74.93065325351401,59.27046658834314,80.55524633247565,174.2698425393058,82.09545401143752,-40.62359186827561,49.10044104483134,43.737629001214174,141.5117756809439,16.492828904388816,3.2603058388898125,Unfeasible shape,,PRUNED
3,3,,2026-05-13 16:29:04.407059,2026-05-13 16:29:04.683552,0 days 00:00:00.276493,21.389439085442486,26.694454842328245,38.320407037190556,-61.40734532292602,185.26704074033006,65.02181973016718,194.05755384933013,60.564495288821966,66.92521376556039,3.4079424050574696,23.498329353007367,163.459286460988,-25.492425381580837,135.86418295794883,197.81824499786055,4.607377144264352,40.10919125245435,66.26230033097866,Unfeasible shape,,PRUNED
4,4,,2026-05-13 16:29:04.778936,2026-05-13 16:29:05.090970,0 days 00:00:00.312034,107.53968219172314,38.39270821502824,47.24627302091798,-76.12921956254964,137.71461094503476,77.01687588873288,71.43876387551764,49.682190647711174,69.82268235212346,73.47936238654366,34.12867509562737,14.075984430458389,-76.5043226167816,178.27996788303255,180.0827905300652,10.461271053897011,3.09651624319833,69.24153925247661,Unfeasible shape,,PRUNED
5,5,,2026-05-13 16:29:05.181132,2026-05-13 16:29:05.431003,0 days 00:00:00.249871,65.15853464823694,39.56567307302816,92.01090331753728,-69.2946635250624,127.54089379864759,13.308905413244858,73.56192262368798,19.02882018294108,24.81757434999679,98.84626610475445,80.9090879131756,98.60315768182627,-54.34522030861403,189.48866636053089,150.53778912683913,160.25273572210276,39.45960260719819,70.51835343674546,Unfeasible shape,,PRUNED
6,6,,2026-05-13 16:29:05.548518,2026-05-13 16:29:05.776747,0 days 00:00:00.228229,138.66856501648616,156.09939059682952,156.79793949601418,-79.70990452696613,40.04176108101475,155.94100428160334,89.31682862349983,68.78262388543239,29.664703101149268,88.5265352625057,53.67337140876412,101.23399136235159,-45.03310424499925,48.16612359673297,181.55863584381038,155.708448006877,73.02560095721668,46.35863804183975,Unfeasible shape,,PRUNED
7,7,52.48642529908264,2026-05-13 16:29:05.890444,2026-05-13 16:29:16.675955,0 days 00:00:10.785511,33.216154313216485,140.88294378871547,87.38566133485686,-70.08175254133833,146.72451310849488,47.88608971670036,42.5018399639917,24.649253464273087,24.679575099777807,10.49022077373468,11.041973376508434,53.418672385055835,-35.667065985463054,108.55999420221886,29.244224044144985,68.75659167421765,3.5233248107238073,44.24296202412366,,,COMPLETE
8,8,,2026-05-13 16:29:18.199697,2026-05-13 16:29:18.781339,0 days 00:00:00.581642,97.12188637194527,111.43112902162102,43.66342811234296,-53.776038697329845,56.455873303646875,15.574047639016737,127.80933959381254,69.89141189601563,38.74532598992813,106.01753539630332,105.38271403434467,120.19111245863354,-62.972850792167414,54.15936469289081,64.83080452239068,29.743277401571,26.51224815300301,44.77413392137451,Unfeasible shape,0.0,PRUNED
9,9,,2026-05-13 16:29:18.883800,2026-05-13 16:29:19.138527,0 days 00:00:00.254727,90.63705953164083,84.57927159498018,80.04593027452115,-51.185514746580154,80.91178806693173,68.96623461894744,58.69551364670307,46.67171644031199,52.271308623897426,104.3777537326909,131.83191576441533,117.10148454679944,-41.52627021447389,72.10299479431163,48.42398568617389,129.85407280826973,47.864843988191055,40.15501086734878,Unfeasible shape,0.0,PRUNED
