,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 18:07:32.260687,2026-05-12 18:07:33.054209,0 days 00:00:00.793522,-54.42114489235077,73.20887026042547,50.248478662013646,66.25604590880481,24.151559285932994,45.32270668884186,-23.618460239785186,45.95891492919344,44.849145071170355,17.00763294375169,43.22224055842657,38.91837222139443,Unfeasible shape,,PRUNED
1,1,0.0,2026-05-12 18:07:33.153894,2026-05-12 18:07:50.047892,0 days 00:00:16.893998,-53.627927546426875,46.23122302900535,12.9501729328625,74.75467681086583,42.63232202620063,49.00741983379679,-61.17870161003403,28.00318425129091,17.83894116654489,43.587942338213175,7.013304287891989,47.1368261291724,,,COMPLETE
2,2,140.0,2026-05-12 18:07:51.556836,2026-05-12 18:07:52.073836,0 days 00:00:00.517000,-52.96555917628733,27.16361116104943,72.6006084275845,41.70626419277537,31.613761698388707,9.681802143068087,-36.50706316957228,49.289156349675295,68.4639024334749,72.96512434250315,44.01109579718123,33.96321378731302,Unfeasible shape,0.0,PRUNED
3,3,140.0,2026-05-12 18:07:52.195570,2026-05-12 18:07:52.458899,0 days 00:00:00.263329,-41.68129203520104,60.0631966426954,75.12515255723096,58.78621016320256,30.369996387515652,43.02047605692243,-28.20429054965406,93.3117817080498,45.398560554774036,58.88721168316582,40.06919879067729,29.51447115306402,Unfeasible shape,0.0,PRUNED
4,4,140.0,2026-05-12 18:07:52.561926,2026-05-12 18:07:52.810433,0 days 00:00:00.248507,-57.807951816263476,59.43231436397708,28.309744232739376,56.01019016798785,59.45415907091135,34.19688693276713,-45.31210646032242,51.11106155927608,52.434936955021875,56.15358794582886,46.47300298130365,57.66458735407337,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 18:07:52.916703,2026-05-12 18:07:53.192220,0 days 00:00:00.275517,-53.05293824800593,55.686383837323724,53.80125021663576,59.56860185406069,51.10360092602424,25.057533201302302,-42.103582376589735,62.460300689745445,45.72129877177752,50.90234389985349,38.16078927667842,49.028115224087344,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 18:07:53.317045,2026-05-12 18:07:53.591252,0 days 00:00:00.274207,-34.51577391835608,52.996061816107016,50.54393184791721,80.52955574140196,40.93604719777974,37.49920215629603,-30.386284639616335,60.09455561462346,46.38278219062892,57.651385611298906,35.442397335796095,37.18142509432289,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 18:07:53.749890,2026-05-12 18:07:54.006730,0 days 00:00:00.256840,-44.57022416297891,81.48698852448847,69.48835680898273,80.39483489898916,34.760395720543855,12.489942157303858,-63.43039131230529,55.1592363999177,67.27215875168491,76.85039346749431,52.47890879251658,46.64832914893224,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 18:07:54.135814,2026-05-12 18:07:54.441834,0 days 00:00:00.306020,-44.78036801245686,30.956338482899525,52.08411394639795,46.377993807480046,39.34736108618421,33.46822662356138,-46.425206377465706,48.69933556146164,56.154503931129,45.434949137959855,30.936263456152332,47.61863986732433,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 18:07:54.537275,2026-05-12 18:07:54.809463,0 days 00:00:00.272188,-60.90662625246031,77.7223498861353,42.866779319389984,53.83498476575162,25.668632967337228,13.856130872619083,-36.61224511984726,70.60931084265485,51.74046459072354,35.70591779879064,36.38222999615463,50.05848881322568,Unfeasible shape,0.0,PRUNED
