Study                  : no-name-b33cf3c0-5860-44cd-8f60-cf545cc2eb69
- Start                : 2026-05-12 22:08:41.725436
- End                  : 2026-05-13 04:48:47.042927
- Duration             : 6:40:05.317491
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 2000
-- Completed trials    : 1411, 70.55 %
-- Pruned trials       : 589, 29.45 %
--- Unfeasible shapes  : 589, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 1925, Value : 40.957854, Duration : 0:00:15.280116
                         Trial number : 1108, Value : 40.961255, Duration : 0:00:13.403102
                         Trial number : 1914, Value : 40.961937, Duration : 0:00:15.394892
                         Trial number : 1882, Value : 40.962734, Duration : 0:00:16.826547
                         Trial number : 1932, Value : 40.964318, Duration : 0:00:14.078127
                         Trial number : 1596, Value : 40.965558, Duration : 0:00:12.902302
                         Trial number : 1679, Value : 40.965609, Duration : 0:00:15.200208
                         Trial number : 1923, Value : 40.967031, Duration : 0:00:13.784335
                         Trial number : 1941, Value : 40.968190, Duration : 0:00:14.756897
                         Trial number : 1691, Value : 40.969219, Duration : 0:00:15.035973
                         Trial number : 1775, Value : 40.969254, Duration : 0:00:15.327466
                         Trial number : 929, Value : 40.969722, Duration : 0:00:14.006957
                         Trial number : 1939, Value : 40.969778, Duration : 0:00:15.111816
                         Trial number : 1769, Value : 40.972177, Duration : 0:00:13.603470
                         Trial number : 1993, Value : 40.972891, Duration : 0:00:17.346346
                         Trial number : 1803, Value : 40.972901, Duration : 0:00:14.759746
                         Trial number : 1919, Value : 40.974054, Duration : 0:00:16.932247
                         Trial number : 1989, Value : 40.974140, Duration : 0:00:15.928892
                         Trial number : 1717, Value : 40.974617, Duration : 0:00:14.774578
                         Trial number : 1903, Value : 40.974819, Duration : 0:00:15.517301
                         Trial number : 1892, Value : 40.974953, Duration : 0:00:14.935846
                         Trial number : 1974, Value : 40.975013, Duration : 0:00:13.313048
                         Trial number : 1907, Value : 40.975240, Duration : 0:00:14.888322
                         Trial number : 1940, Value : 40.975253, Duration : 0:00:13.392390
                         Trial number : 888, Value : 40.975597, Duration : 0:00:16.148523
                         Trial number : 1998, Value : 40.975922, Duration : 0:00:13.079365
                         Trial number : 1169, Value : 40.975928, Duration : 0:00:14.757480
                         Trial number : 1915, Value : 40.975947, Duration : 0:00:14.715822
