,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-22 17:54:22.247947,2026-04-22 17:54:22.532622,0 days 00:00:00.284675,-24.182071603530673,40.05993724228027,67.36998498134284,21.564361266655588,21.859663175415506,37.05712032597947,-32.58801667095156,59.66184196808121,62.567963583463204,80.460539425267,-12.200428554577172,29.242942235992373,Unfeasible shape,RandomSampler,PRUNED
1,1,6.0,2026-04-22 17:54:22.655615,2026-04-22 17:54:22.760504,0 days 00:00:00.104889,-59.21422976335977,84.34373432415964,62.99544509804491,78.18215213883985,71.2637679252452,69.99685311546504,-35.90115292062725,62.79236286822163,50.28008867442155,25.403970702318574,21.06711137853263,47.27597278636482,Unfeasible shape,RandomSampler,PRUNED
2,2,6.0,2026-04-22 17:54:22.897872,2026-04-22 17:54:22.949864,0 days 00:00:00.051992,-65.26441061431215,53.00627275914495,48.47992417532875,21.81418785666392,-12.366675985318391,58.52219104022278,-36.91696225913255,35.69295237939586,76.7431198651783,54.482356662478786,-10.648212744032236,8.584138877412986,Unfeasible shape,RandomSampler,PRUNED
3,3,6.0,2026-04-22 17:54:23.079856,2026-04-22 17:54:23.173042,0 days 00:00:00.093186,-50.35208271205492,94.94177599192224,85.50189344927855,97.4820012458926,-10.259864086312865,34.99513629680155,-21.37339811274606,14.25264153653958,45.709145286023016,15.774990534871833,11.27659531845071,17.72881286521728,Unfeasible shape,RandomSampler,PRUNED
4,4,6.0,2026-04-22 17:54:23.307208,2026-04-22 17:54:23.381010,0 days 00:00:00.073802,-58.04145122382594,13.004764445610828,66.07074245092323,12.752733354860482,-16.627158001808453,50.608997005638,-73.47633143027166,41.330252805616155,99.54514116019624,89.05929991454165,-11.373074806276033,-3.7793437525409175,Unfeasible shape,RandomSampler,PRUNED
5,5,6.0,2026-04-22 17:54:23.498759,2026-04-22 17:54:23.590332,0 days 00:00:00.091573,-46.213277851040935,95.26733179042003,86.64586985004921,99.84679825184153,67.43813846606264,17.956092945854465,-48.30754464262421,30.438092801096598,27.391816410883642,63.15789885486044,12.011801143811837,24.784256287620472,Unfeasible shape,RandomSampler,PRUNED
6,6,6.0,2026-04-22 17:54:23.712906,2026-04-22 17:54:23.806191,0 days 00:00:00.093285,-54.900844941323456,88.63459672304832,46.17791729294446,80.65372772470529,55.323812455633714,50.65434085265868,-74.15963745962617,84.03016554363143,11.049665796308453,66.52773780012535,13.836872362497061,65.84683627679387,Unfeasible shape,RandomSampler,PRUNED
7,7,6.0,2026-04-22 17:54:23.965321,2026-04-22 17:54:24.057024,0 days 00:00:00.091703,-53.05521748888991,48.8720651037838,82.81515920114637,95.1944609028308,7.6625923908471165,52.95468508265833,-57.45597106991653,29.246464210014903,66.66540949611787,99.56789142230046,26.226547474752557,15.447492298621391,Unfeasible shape,RandomSampler,PRUNED
8,8,0.027599675993172923,2026-04-22 17:54:24.194592,2026-04-22 17:54:36.453667,0 days 00:00:12.259075,-77.26890808650643,64.48137583451191,62.57550353162726,91.44769647615743,33.10727810315371,17.66605280445343,-51.09521417715018,25.230655582885394,15.760001038810502,86.80584105727412,13.046216484415027,-0.24002773951260892,,RandomSampler,COMPLETE
9,9,0.002067199379187201,2026-04-22 17:54:37.714434,2026-04-22 17:54:50.043586,0 days 00:00:12.329152,-30.727240062517815,39.9287384457031,14.80021945279265,50.81921479018096,62.831315832440495,-26.087094360743073,-69.02587100724223,74.9606788247246,33.83548144023456,42.95645400556559,19.527113285389845,14.3006355642881,,GPSampler,COMPLETE
