,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 18:08:54.582883,2026-05-18 18:08:55.381721,0 days 00:00:00.798838,130.71148555777083,146.81938275428655,193.0960433683051,-56.88230024030741,183.91174653300325,137.1573409415056,136.76433251653862,-29.798222363856112,19.98809739681009,110.80883717762033,38.3043072497024,4.338507469190192,-53.18896873315718,79.96667320242489,88.41542684508727,31.288460963099087,9.416248374981322,40.594769822251436,Unfeasible shape,RandomSampler,PRUNED
1,1,,2026-05-18 18:08:55.514313,2026-05-18 18:08:55.781017,0 days 00:00:00.266704,122.81104974866302,79.05936568622768,28.5894727695627,-22.3401732975818,88.91896690175724,195.0828549707495,46.76184577672798,11.729407134973243,44.61895842456032,63.7612725848111,37.27361096800234,80.99591670381982,-71.34486864581051,137.3361520493345,147.57737932886573,32.355055972140086,-16.665254776832356,76.98788404008289,Unfeasible shape,RandomSampler,PRUNED
2,2,23.963444631723245,2026-05-18 18:08:55.915976,2026-05-18 18:09:52.498922,0 days 00:00:56.582946,81.528476012683,156.08863201389818,84.07873719524771,-70.87939689825873,38.834323245313136,153.67612676759907,172.3832927352054,-39.55558843673572,69.72445222436173,40.91167138263952,63.10403266120784,55.078309378059735,-70.32653448737908,130.12194822676096,17.242957582861724,119.47397615272949,-3.2507288758405437,34.23819711132712,,RandomSampler,COMPLETE
3,3,,2026-05-18 18:09:54.161058,2026-05-18 18:09:54.453797,0 days 00:00:00.292739,92.90180591557812,62.83578735115879,158.87845359627855,-10.740681451700112,108.29553408430162,199.94460790826307,106.68223067811218,9.490292747414173,127.14509549959942,148.39163457667854,24.038560409125083,122.46472084916513,-30.189137294771662,105.81126284531881,103.71701441713775,41.557936506617715,20.752300171494156,106.39018556753473,Unfeasible shape,GPSampler,PRUNED
4,4,,2026-05-18 18:09:54.595877,2026-05-18 18:09:54.872036,0 days 00:00:00.276159,146.32191076337398,65.70300783267619,43.221797331871024,-37.884023109403046,150.60337024042255,32.12878443808995,54.509807178400294,-50.10077440757133,15.139485435514686,64.9261804460781,24.14823574283568,72.46904208939424,-5.083920800786558,30.60111631872077,15.26322488763499,129.12735848079387,-29.7522466201771,43.90506962705773,Unfeasible shape,GPSampler,PRUNED
5,5,,2026-05-18 18:09:55.013872,2026-05-18 18:09:55.258915,0 days 00:00:00.245043,98.75031094982856,110.89487426272069,131.03496184161688,-28.545397930085016,85.78946887273197,58.5164111358002,182.4286083295431,14.386021119899993,164.90596179378025,4.7421398410262645,138.14280799165343,141.4901362262264,-79.716402254264,144.71113283490658,87.37544962588888,48.00538818758527,20.476356721442627,66.7672608604779,Unfeasible shape,GPSampler,PRUNED
6,6,,2026-05-18 18:09:55.393832,2026-05-18 18:09:55.649020,0 days 00:00:00.255188,72.16083223194437,106.61831252200656,179.08419972283173,-16.82912054346619,144.4051318325677,174.5625532369149,190.5693440060403,-4.211564325064479,151.01886048117694,134.8298476660831,64.90259349131243,86.42962946306368,-64.57898679144773,8.44531207010839,134.82308772453374,28.060514034870252,-29.62142217761331,39.118235921416186,Unfeasible shape,GPSampler,PRUNED
7,7,,2026-05-18 18:09:55.788138,2026-05-18 18:09:56.043270,0 days 00:00:00.255132,58.980782655737315,92.51806082271936,155.1838934374838,-69.9786171778412,74.71099957299532,57.43016336819132,53.79697313569609,-41.870837629627474,111.13746434571628,65.21733553841095,58.90218739657401,1.548866862682953,-49.68641806599724,28.490622330297263,14.607704372932048,101.35685829923865,25.53822101782724,85.84435742899271,Unfeasible shape,GPSampler,PRUNED
8,8,,2026-05-18 18:09:56.179858,2026-05-18 18:09:56.420813,0 days 00:00:00.240955,142.90006686094063,122.78711608790032,68.11320133463411,-80.06265392091878,178.6657484879157,30.540684421333985,73.29569959238259,-51.58461664812957,107.48286746188609,10.260313486827906,145.4528963085827,82.91310288412095,-57.1832421484695,47.370254838192736,21.298410253884978,104.87692641888972,29.24105317111342,79.52472209111579,Unfeasible shape,GPSampler,PRUNED
9,9,24.277031059228733,2026-05-18 18:09:56.687178,2026-05-18 18:10:56.387997,0 days 00:00:59.700819,199.69670567893445,69.930079466564,42.573868180370965,-52.273471906751055,25.524612942182568,32.4875507407635,52.624280326144586,-39.979582285064126,18.236545948342282,4.947701683337126,44.791920130280744,44.96640916404022,-66.7327096786403,54.89380478141378,58.16040561910966,59.08909795041274,-39.42402750237671,35.56055153766269,,GPSampler,COMPLETE
10,10,,2026-05-18 18:10:58.025697,2026-05-18 18:10:58.335425,0 days 00:00:00.309728,20.17067538834236,161.74583539824587,3.979419525934477,-30.988189314001495,27.537817121957772,175.91997279813052,13.787672793041713,-29.994131201623784,143.92201268258137,118.03433384632821,118.05710220998836,139.19736045595047,-39.0135685690796,34.830017123954654,74.36777677123466,86.14568826377636,-45.31583576746345,39.00965761008565,Unfeasible shape,GPSampler,PRUNED
11,11,,2026-05-18 18:10:58.473373,2026-05-18 18:10:58.705430,0 days 00:00:00.232057,44.73720388577556,180.29515959730526,63.00517744947623,-21.17586737851557,79.81649415332666,178.98419564972048,20.74591303855031,-2.853018604247481,0.5641875789485358,61.88553452498309,78.36318435538423,72.95542019669755,-67.18475690192408,105.23366819334674,90.46508475702832,68.26178240929329,6.529154615844604,83.8738309952669,Unfeasible shape,GPSampler,PRUNED
12,12,,2026-05-18 18:10:58.838256,2026-05-18 18:10:59.080127,0 days 00:00:00.241871,166.3781981780769,143.78574525501054,164.62704246478296,-46.3991245810202,2.3977285997651823,34.39769015905507,127.66434452858336,28.815250212071433,116.31772695218034,37.65846062980926,24.725329924898055,8.608895187575406,-50.874410110129126,91.08668807788025,144.19837729387686,3.0799351252163083,3.7765555632504046,87.87873557350196,Unfeasible shape,GPSampler,PRUNED
13,13,,2026-05-18 18:10:59.247775,2026-05-18 18:10:59.547002,0 days 00:00:00.299227,20.861782981999934,147.04573082889263,124.32346335497172,-47.627477971891146,165.9154352056924,148.7685016866633,123.0499303834319,-42.22231295538323,78.3610821173961,40.62377647829816,27.677014670959313,131.85799500469562,-46.01495142508543,7.022725038198162,95.89407553855631,148.21009857300123,-31.351357021828736,77.70891108333171,Unfeasible shape,GPSampler,PRUNED
14,14,,2026-05-18 18:10:59.678138,2026-05-18 18:10:59.915147,0 days 00:00:00.237009,95.44194368426062,135.7754447503537,78.31307853332413,-49.55019345841463,196.51765140850029,47.61260222430196,142.14902195001315,11.343008384602442,127.84386219936218,106.02283809553012,118.01999935045515,1.2697893341429585,-53.39085799482935,41.762869086352985,50.02193763161125,125.64442284104774,-47.71503326665911,70.18033961227543,Unfeasible shape,GPSampler,PRUNED
15,15,,2026-05-18 18:11:00.059099,2026-05-18 18:11:00.297692,0 days 00:00:00.238593,150.4997162934001,39.3959912158489,136.19673219323542,-71.26943574013868,33.69489057524748,43.763686128995346,19.98445548929145,-56.70635149207884,143.15095839672543,141.36507197717893,54.90908660862992,59.3622225649944,-38.42550357075933,38.95666273195665,46.13222855665231,26.679084297994393,7.068860716015834,106.63625509882499,Unfeasible shape,GPSampler,PRUNED
