,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 20:31:32.670269,2026-05-18 20:31:33.428497,0 days 00:00:00.758228,54.54913557041305,51.0186972861906,36.13568652550841,-41.876837014400444,6.26439575604727,8.958366910164466,35.151566022196114,25.771608571501503,115.5344668874338,51.23858782219526,67.15055349182748,15.31837475079123,-48.981885832793786,73.54311532565544,77.55307051042143,27.69102199997684,-22.777377842183917,11.782625790989805,Unfeasible shape,RandomSampler,PRUNED
1,1,,2026-05-18 20:31:33.557021,2026-05-18 20:31:33.790088,0 days 00:00:00.233067,35.28461250530757,21.81741631174318,3.9029441640347455,-63.242292060479706,48.04902039332982,9.590869159628092,49.85328874643336,29.472046729471586,89.90577003926364,37.01764418396791,41.56822875131358,70.985832506039,-19.630516913942046,14.941231875093065,7.563458927344739,16.135774563291633,-45.53205173026769,2.1472888402419077,Unfeasible shape,RandomSampler,PRUNED
2,2,,2026-05-18 20:31:33.916128,2026-05-18 20:31:34.171182,0 days 00:00:00.255054,79.63000561415707,44.528366080553276,1.3733462851148897,-66.49041440735628,41.56670645624535,68.52731678194088,61.60147125182089,-46.31266713587427,29.12289488765179,64.25779737798652,8.784128672292306,69.31354984200944,-52.95031049628843,40.13003066661947,69.10488440682431,30.592079128674463,-11.245897601859333,-0.11670491993506893,Unfeasible shape,RandomSampler,PRUNED
3,3,,2026-05-18 20:31:34.298236,2026-05-18 20:31:34.574161,0 days 00:00:00.275925,15.387558534914675,39.59110200774999,49.329417032247434,-24.665932719893753,35.522904249195506,19.458304557053754,36.748265864818514,-58.66551731041641,17.180482298288233,37.94437490623774,32.81605258956334,35.70963345869212,-40.91870190251684,18.108311062499816,12.62458318363006,51.20339186454168,-10.73927244777014,-4.582032935297873,Unfeasible shape,RandomSampler,PRUNED
4,4,25.630049312205998,2026-05-18 20:31:34.707205,2026-05-18 20:31:58.582581,0 days 00:00:23.875376,72.40743414471692,27.115183760060788,32.119455671606346,-74.47289687529572,10.560862306695022,2.1273614516589476,13.927304558046249,-36.38077887809243,96.84877650434677,54.112890127890076,13.640740618522495,52.7285382349603,-63.46605803804189,79.91382988418002,24.96117085678644,13.598158671244262,-1.1317914386581407,-9.00171492470105,,RandomSampler,COMPLETE
5,5,27.658778707518017,2026-05-18 20:31:59.443730,2026-05-18 20:32:23.179697,0 days 00:00:23.735967,13.141756647154182,3.112664291841043,17.986363773857097,-31.274441084777067,29.653921365024974,41.67820549291278,69.08855693911045,-3.7089900434145164,65.74415239665787,23.92795330391377,2.936441732838001,62.756870312688925,-44.15439281950807,46.069813698469225,38.46122646120802,41.84729683068722,-31.00520905842265,16.71570532417265,,GPSampler,COMPLETE
6,6,,2026-05-18 20:32:33.710014,2026-05-18 20:32:33.985836,0 days 00:00:00.275822,78.52881215343268,13.9760067414709,58.35854833583466,-10.294186445916665,27.211845053963383,71.44049846025302,38.76531145388832,2.3948059462954134,97.13923724183861,61.77724237031822,21.30895596268745,64.3821624689873,-40.48704436074612,10.532293708590965,40.547581171558186,56.820392621915936,-19.310015171642263,23.03320034758069,Unfeasible shape,GPSampler,PRUNED
7,7,18.01082789173721,2026-05-18 20:32:34.141726,2026-05-18 20:33:00.792059,0 days 00:00:26.650333,31.00634420946233,48.682169883493245,14.303017725973383,-27.063120127638022,70.94000387458216,13.96356692275695,46.39802002565704,-26.307809079809672,36.59984909472418,49.17342029323683,22.432486756397147,53.47761888338195,-60.55386006339746,6.200064435333925,19.264251233536413,71.15687388751026,-19.238075462101776,24.40373851976257,,GPSampler,COMPLETE
8,8,,2026-05-18 20:33:02.512493,2026-05-18 20:33:02.793425,0 days 00:00:00.280932,44.508240549905956,20.303375085120013,50.60130685168033,-62.64263881389646,79.49838661798194,49.26330918817646,53.866678535293936,11.248283106865898,84.36084708085494,8.871862919249176,27.877977668708272,71.08261077531317,-84.45736560404605,55.356712530265206,66.35070869314036,58.672591776983204,8.903679068243221,61.98246102557857,Unfeasible shape,GPSampler,PRUNED
9,9,17.647309812792614,2026-05-18 20:33:02.956271,2026-05-18 20:33:26.776209,0 days 00:00:23.819938,55.13335329581368,65.19998447666202,29.191753355353907,-69.46195287944096,56.65189904222061,42.02486066362909,64.20558249316235,-49.76147193779018,52.075836861617624,32.40511377656286,9.486462054257885,58.69286951995105,-74.08209364134281,12.210395647120762,25.766149724849384,64.66948271748153,-16.184633141931982,15.659184332881864,,GPSampler,COMPLETE
