,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,140.0,2026-05-12 17:22:00.049828,2026-05-12 17:22:00.948235,0 days 00:00:00.898407,-55.55353462088827,24.754017341020024,18.88439847573211,34.976887751809514,72.50149879406547,5.734074034921555,-23.98429419448177,73.69502181218652,67.9975052455047,45.470659838961936,62.146303150455196,74.62116842484073,Unfeasible shape,PRUNED
1,1,140.0,2026-05-12 17:22:01.054659,2026-05-12 17:22:01.277088,0 days 00:00:00.222429,-71.92041222982363,50.12320835032096,89.37974744770985,12.824488525114838,66.39238681707178,50.172970746796594,-54.46588085010592,32.01873441945479,43.23848368963937,69.93414119128448,62.793422580494216,2.7484608572556413,Unfeasible shape,PRUNED
2,2,140.0,2026-05-12 17:22:01.388726,2026-05-12 17:22:01.634758,0 days 00:00:00.246032,-26.345647765383617,92.0228876536761,32.02434174895046,51.412614940737456,53.946169779390004,67.43075501852653,-79.53020858088728,85.13094960526581,30.678562597908915,87.44655464806473,57.729559292350714,22.63776017208637,Unfeasible shape,PRUNED
3,3,140.0,2026-05-12 17:22:01.762441,2026-05-12 17:22:02.027203,0 days 00:00:00.264762,-43.19315822088637,38.78498331980012,97.4279464784869,27.3381911114623,54.66687501231379,19.086160286020185,-22.056821892790666,68.12160635821952,70.00375527776868,15.87203635158811,69.35963844537036,70.23891509805277,Unfeasible shape,PRUNED
4,4,140.0,2026-05-12 17:22:02.148318,2026-05-12 17:22:02.383030,0 days 00:00:00.234712,-54.24270448101714,90.47595791551333,29.996889122441974,90.3219840225045,41.40581233581387,70.66640183726206,-75.19754995933079,86.38847388584094,66.99631366205872,79.90447704749728,61.535074552402186,74.9863063432256,Unfeasible shape,PRUNED
5,5,140.0,2026-05-12 17:22:02.484321,2026-05-12 17:22:02.772871,0 days 00:00:00.288550,-76.77685327673191,10.591112796442012,73.68579155796479,28.508077538190324,73.37144219491752,28.373392341365488,-69.84483676898422,76.87255789780858,30.842141762264657,28.573941618266293,6.532873653684823,48.136793002410364,Unfeasible shape,PRUNED
6,6,140.0,2026-05-12 17:22:02.855489,2026-05-12 17:22:03.146780,0 days 00:00:00.291291,-28.216488876077598,45.80343573217546,63.629655584244816,21.080233937040894,22.301694798711562,60.16783465397991,-54.399146991431856,51.14742707558513,85.02136495229254,63.764611903470254,4.194581424879873,29.991384544288497,Unfeasible shape,PRUNED
7,7,140.0,2026-05-12 17:22:03.247565,2026-05-12 17:22:03.491849,0 days 00:00:00.244284,-50.54779430588418,62.917160548496526,62.10917782352088,61.661699220874446,37.32511399415048,64.49817627930882,-47.4614271273708,53.13748409036359,16.671925810877667,76.07410206068474,49.00705120036808,60.72616159965649,Unfeasible shape,PRUNED
8,8,140.0,2026-05-12 17:22:03.589527,2026-05-12 17:22:03.820331,0 days 00:00:00.230804,-63.55772186071844,83.94787281402837,86.41747353778699,61.46521693482626,25.369669991237203,50.16112995477855,-31.19200174019563,49.73083693086337,20.395781637814498,79.66258892041319,58.13181691071775,43.23606600985019,Unfeasible shape,PRUNED
9,9,140.0,2026-05-12 17:22:04.008995,2026-05-12 17:22:04.226302,0 days 00:00:00.217307,-24.973925058976988,69.10667012848825,71.34408333354729,48.757584341938276,57.76659358092918,72.39765599505203,-59.35754939949426,50.095531202564764,63.1065585653181,72.00360395187846,39.43785334851524,4.177273790139055,Unfeasible shape,PRUNED
