,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,140.0,2026-05-12 18:07:17.764289,2026-05-12 18:07:18.741642,0 days 00:00:00.977353,-78.13584403866886,23.782438851520105,23.686817454412804,76.38451636644709,74.4951437756654,39.748558636499745,-33.661951522724976,60.4521660309442,82.2203639358524,21.891310773517493,23.650749974787157,36.37641387822286,Unfeasible shape,PRUNED
1,1,140.0,2026-05-12 18:07:18.839039,2026-05-12 18:07:19.120040,0 days 00:00:00.281001,-44.781751004823285,50.32060365531803,61.80181582471929,63.03838111899243,9.726591461769829,63.66971792158551,-48.054284256836,30.50719567480842,89.60586378025509,76.63684899942766,25.022889124053354,64.05004078813161,Unfeasible shape,PRUNED
2,2,140.0,2026-05-12 18:07:19.238623,2026-05-12 18:07:19.516456,0 days 00:00:00.277833,-55.81135552184207,67.86674838159321,49.677565577946446,63.10825908308233,52.384410574148724,8.346268355315322,-55.907863343779475,74.35299791323793,36.47423046204526,23.085145182610805,14.339812028342388,22.478893919255977,Unfeasible shape,PRUNED
3,3,140.0,2026-05-12 18:07:19.607389,2026-05-12 18:07:19.898046,0 days 00:00:00.290657,-63.53140517265561,74.56604764955361,50.67914636049742,88.20088187991162,74.84013530318603,66.33526707409398,-47.265609892513076,19.89988575432278,18.326392557138114,61.39434853063831,41.025559842339234,55.82891472022871,Unfeasible shape,PRUNED
4,4,140.0,2026-05-12 18:07:20.156327,2026-05-12 18:07:20.392906,0 days 00:00:00.236579,-37.697510651744025,12.474795871689032,55.004915219498145,81.18286192296966,18.90582782016251,19.466083718588347,-25.293228797342337,60.43842508793058,32.097542895273655,52.014107818996564,42.123721766123154,3.8911904410684928,Unfeasible shape,PRUNED
5,5,140.0,2026-05-12 18:07:20.492654,2026-05-12 18:07:20.780625,0 days 00:00:00.287971,-76.9742723321915,86.90939912519977,15.503046343630363,56.31511547848124,1.244315789208264,2.2578001866433106,-77.36875853217353,28.386035820209926,47.72152011655219,19.557124641690958,68.18179672839888,21.289247219175213,Unfeasible shape,PRUNED
6,6,140.0,2026-05-12 18:07:20.878106,2026-05-12 18:07:21.156249,0 days 00:00:00.278143,-29.82646245247348,70.9354095410168,41.44893761952381,48.931747319370906,41.38802394661354,57.788497001544876,-30.015264899016728,88.33590217764116,61.508892814614725,90.32531861145412,24.963470243137063,50.913710407534076,Unfeasible shape,PRUNED
7,7,140.0,2026-05-12 18:07:21.253701,2026-05-12 18:07:21.466830,0 days 00:00:00.213129,-39.0633242790753,42.629329362694875,94.8860361266449,37.41220628433559,24.672182424254206,60.16993719870561,-46.595856300387695,40.68762500782053,60.92999551115803,88.49768064501808,50.53359143838985,58.24947459766828,Unfeasible shape,PRUNED
8,8,140.0,2026-05-12 18:07:21.600569,2026-05-12 18:07:21.861166,0 days 00:00:00.260597,-29.319691759294635,33.002431176978746,25.17795378912222,62.043925760703935,45.54561888278308,13.75283522954186,-65.96216564229726,42.72868979733487,35.657119696605946,37.217408421797145,65.1114734330007,41.48953102064352,Unfeasible shape,PRUNED
9,9,140.0,2026-05-12 18:07:21.995636,2026-05-12 18:07:22.243770,0 days 00:00:00.248134,-47.402487694435685,46.02221044186489,65.03819225540767,96.8755788951021,17.03670495228187,7.060839345096282,-34.04890771033971,10.654637263051697,32.445547708298776,25.709252721425543,63.828636912276686,56.96722919126207,Unfeasible shape,PRUNED
