,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,,2026-05-13 16:13:05.375524,2026-05-13 16:13:06.255739,0 days 00:00:00.880215,195.9514503569305,36.973272816661094,106.2181460908047,-34.54594950804664,35.59277811989027,176.6413472463723,39.84989113274777,34.84667646594703,44.694382885531695,138.95551006254763,88.92193796702412,166.7912403589573,-46.72300293124977,196.0324148073768,111.34897213211613,69.11840798852351,63.2586478386521,46.46631771457085,Unfeasible shape,,PRUNED
1,1,,2026-05-13 16:13:06.360790,2026-05-13 16:13:06.689883,0 days 00:00:00.329093,62.15107145932906,61.5316159857574,78.43239417793356,-60.996978010327595,8.57315391211075,188.7861031439719,195.41589853006948,71.63475384125027,30.573398589328743,31.20235029743499,80.65472060421001,143.1482734372469,-62.49207088542343,60.00520593333752,36.80117457498119,103.54383728500962,5.933255597560208,62.769911652285835,Unfeasible shape,,PRUNED
2,2,,2026-05-13 16:13:06.799176,2026-05-13 16:13:07.038546,0 days 00:00:00.239370,85.38892858584182,150.26268683247,112.46602263461945,-37.524770834396435,79.06756488380731,32.58512619638057,15.817129932021363,16.238581160267206,38.847451806641615,3.4881941888674914,22.67805469239006,150.4556378876032,-53.22475418116706,122.88816235772131,67.50530475565664,182.15121986227197,68.27713770634652,54.75408911684611,Unfeasible shape,,PRUNED
3,3,,2026-05-13 16:13:07.131462,2026-05-13 16:13:07.380147,0 days 00:00:00.248685,162.1168017543824,131.25462175511828,120.10297868503217,-67.22335950173603,153.67052107144693,199.0321453804656,193.8836740923139,19.387188179026214,48.22075402211404,104.30200212931867,87.77291061295314,57.757651016980105,-68.50335609620899,69.63908442071383,193.90738846078816,162.4598548591867,39.130472692132976,43.0560150043848,Unfeasible shape,,PRUNED
4,4,,2026-05-13 16:13:07.493774,2026-05-13 16:13:07.792100,0 days 00:00:00.298326,13.59091175955487,12.988785184036098,197.96627401499853,-72.64546425696622,169.45555511381485,130.93817678126553,101.48517207606383,69.87828744720169,9.881912281397435,196.23554784858274,74.2151191815115,90.1795349145028,-75.53968330801636,197.62824021855835,28.232888445270937,172.4140856547063,30.322742873517164,47.91836704573057,Unfeasible shape,,PRUNED
5,5,,2026-05-13 16:13:07.913979,2026-05-13 16:13:08.162058,0 days 00:00:00.248079,70.59927962297506,14.255103813337975,10.591534083299363,-57.405095912259604,22.567037969385726,106.09993444911076,115.0798452615479,1.5513083201759426,5.577507955154304,25.89135685724589,42.481084222920714,107.85360099703088,-15.414815399584995,131.37142469540365,97.52231157434278,136.76759805181516,59.420835229877866,4.599138876339798,Unfeasible shape,,PRUNED
6,6,8.774543193532047,2026-05-13 16:13:08.268405,2026-05-13 16:13:26.087897,0 days 00:00:17.819492,115.50932761897295,107.85536296436719,58.70140855878283,-67.48283804360126,32.64457972431224,19.03662723567524,92.00381747248036,6.10542050711125,44.71935400995586,93.95859245424099,26.167904978170466,62.63610608089209,-72.13294584211164,10.092609027549392,180.40505325320578,32.80575126809377,3.5475320246829645,7.241688903820672,,,COMPLETE
7,7,8.77755426583397,2026-05-13 16:13:27.699091,2026-05-13 16:13:40.023392,0 days 00:00:12.324301,167.61239487275506,73.86436820494599,194.51837278158314,-53.78394720417287,95.88172767977969,69.45065053769115,101.44436679170313,35.443420209241225,44.24670768278076,130.84124227847178,99.73258503500539,47.101646873778456,-73.21253896482922,128.75759043779175,134.124317746949,98.80081964458849,40.36873877457275,42.26948981944154,,0.0,COMPLETE
8,8,,2026-05-13 16:13:41.386988,2026-05-13 16:13:41.636876,0 days 00:00:00.249888,118.42073308713991,93.49250008452748,69.00908886601891,-43.65596066509443,76.96776835698348,98.79469242882206,81.71920594044653,53.42037034103042,43.42100726635756,82.97832195051356,121.6195385900663,44.369563320406996,-46.8152020804186,175.98810312286275,130.29439214262706,113.41767120162474,43.133955837844375,60.498976117159046,Unfeasible shape,0.0,PRUNED
9,9,,2026-05-13 16:13:41.756499,2026-05-13 16:13:41.977655,0 days 00:00:00.221156,48.45973276457835,161.85075932845788,58.82203124474318,-44.000418134375714,116.30585015814356,100.00498734861817,58.00618012910229,30.331901641688084,37.20763348038754,110.86470306704837,79.83270710981154,56.9093171454699,-36.52468191469042,54.77470611734115,130.15564069206624,75.31836691544069,23.209508758431486,15.089437686912236,Unfeasible shape,0.0,PRUNED
