,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-11 23:02:32.948644,2026-05-11 23:02:33.994874,0 days 00:00:01.046230,-46.73894271513372,28.183467459678234,50.920719877008416,65.77240044352197,72.69756784017648,23.96615569577307,-69.67638739225531,26.864422393277554,57.73416010660359,93.67083544730413,57.65472091314425,0.3106872519022863,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-11 23:02:34.097585,2026-05-11 23:02:34.313248,0 days 00:00:00.215663,-24.424544277723662,19.254835478065544,47.40544367110169,59.374792261389224,12.202521095611255,36.68648155837309,-70.43871939485796,92.53242361957017,60.97127809697739,54.821780667148445,54.75337358413043,1.103962832158667,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-11 23:02:34.399717,2026-05-11 23:02:34.636737,0 days 00:00:00.237020,-40.113387952225814,35.74649526502668,96.54144556426323,76.50137007903274,34.396312395819095,44.84680747158363,-24.22725718357769,95.94237308342387,81.33230959643151,49.34610491371576,37.04840164001262,45.55987114926542,Unfeasible shape,,PRUNED
3,3,140.0,2026-05-11 23:02:34.749540,2026-05-11 23:02:34.969775,0 days 00:00:00.220235,-63.24815994179091,44.20994989933539,45.57276323567015,85.25739035672053,7.78276670381903,56.04960857751289,-25.70729261722348,22.047067239385616,52.49791889758977,36.70690920839574,41.51314762103754,19.795127290651212,Unfeasible shape,,PRUNED
4,4,140.0,2026-05-11 23:02:35.063299,2026-05-11 23:02:35.261798,0 days 00:00:00.198499,-67.61545372070353,60.1333462740821,44.43403322122979,77.67937949266057,24.057463108516263,3.848425745283732,-77.906392280772,22.932346766976412,27.104292882584897,69.9233460252038,9.729213969091424,24.998038863263066,Unfeasible shape,,PRUNED
5,5,8.763819502016652,2026-05-11 23:02:35.360149,2026-05-11 23:02:47.410802,0 days 00:00:12.050653,-31.84897603589166,56.75005600426354,10.465965797159665,66.74281019032213,11.478942362238781,62.90607142760238,-45.86774812312408,87.1675429063944,80.83377252459523,69.10242021085188,16.51299978968361,65.34731800272121,,,COMPLETE
6,6,8.836634447134848,2026-05-11 23:02:48.850201,2026-05-11 23:03:04.315543,0 days 00:00:15.465342,-66.49887297157555,43.49275322279832,67.28066638757821,53.679331275567115,60.54541066552676,32.1112762160723,-68.63235334299668,62.32621018999598,32.941574613717776,51.41428214539389,23.496586228725793,25.61598408890439,,0.0,COMPLETE
7,7,8.83066247954509,2026-05-11 23:03:06.079315,2026-05-11 23:03:21.235145,0 days 00:00:15.155830,-46.11834863532533,61.02201576485248,66.13006768063653,65.22846759680007,20.863027295152857,31.30867506249365,-56.94302142546134,54.63021739072235,59.00489259798458,40.28906474675021,40.56453430636001,29.0238860578357,,0.0,COMPLETE
8,8,8.774161695495359,2026-05-11 23:03:22.722695,2026-05-11 23:03:35.268817,0 days 00:00:12.546122,-39.69223382385528,37.44124279744588,60.1400184966762,37.460129736210526,20.26879948795276,41.84112614915201,-51.67685522035184,55.61615198548104,37.87231296214259,60.8201250940243,26.068000279581035,20.31674049661435,,0.0,COMPLETE
9,9,8.785789433089434,2026-05-11 23:03:36.543154,2026-05-11 23:04:05.620362,0 days 00:00:29.077208,-50.40479015315428,10.246011842579165,37.69712771204027,44.356969790575455,31.671899235200094,23.187768403130214,-41.85247483843789,61.39192750991347,59.43223633684904,64.23250517398878,38.2493430097861,49.43454793503644,,0.0,COMPLETE
