,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 17:13:25.608155,2026-05-18 17:13:26.265983,0 days 00:00:00.657828,97.43197774633903,2.5122457333752406,39.961704023865586,-63.58218533833492,95.07630998825688,30.22437303469684,1.7652845460424849,-89.30547799447855,240.70608876563114,22.072703533678567,92.39587067029399,26.85223009949763,-49.62398902261089,52.50932304742753,48.12074063397513,22.900299998426362,-33.39410286038983,45.20057184914427,Unfeasible shape,RandomSampler,PRUNED
1,1,8.76202101088091,2026-05-18 17:13:26.383228,2026-05-18 17:14:27.581054,0 days 00:01:01.197826,49.01385634881341,76.64429595965699,82.4046338779095,-58.20142842968504,25.35396425168126,53.96089433040732,69.32137296094736,-47.036923370983686,42.4240538516239,66.09494218815982,82.07327846842871,33.103999724358836,-46.825504651619916,69.6955761128843,25.23343995832102,6.032548044660929,-75.30153953759732,111.4415444000134,,RandomSampler,COMPLETE
2,2,,2026-05-18 17:14:29.535223,2026-05-18 17:14:29.798420,0 days 00:00:00.263197,64.23615134288374,98.35735517436608,66.31998999930006,-22.384068276080697,55.77200492639249,51.9758369500444,82.25745928149517,-63.9546511677281,225.44340861878538,10.193945650132214,51.51050698643923,81.59843391874853,-62.64726600054972,58.59452995355674,39.76294495520299,52.38901780825553,-43.89240825764469,153.58934435822337,Unfeasible shape,GPSampler,PRUNED
3,3,,2026-05-18 17:14:29.926225,2026-05-18 17:14:30.152875,0 days 00:00:00.226650,49.83510195463438,98.06421775804118,38.49287307050785,-43.63094902042065,46.61313811720493,42.763636863178256,87.09686589742628,-49.55124427444735,197.57849688644498,9.733427857547502,64.44748575028356,1.1369444733461802,-47.43611431613174,96.28441183552547,4.1910578578571425,16.227654484618576,26.445468443887208,134.88608923947345,Unfeasible shape,GPSampler,PRUNED
4,4,,2026-05-18 17:14:30.290388,2026-05-18 17:14:30.520332,0 days 00:00:00.229944,18.811773075794605,77.94921241412732,21.64234757471299,-63.31494224283195,32.6991248156463,60.41500930026651,70.41561398277048,8.447151460646921,239.20209476988154,3.7353856666392122,92.41432306213981,21.871954787885254,-49.376871133149685,97.16336046298113,91.16923339748384,16.54593156083883,-0.1692264158516963,110.79598065101308,Unfeasible shape,GPSampler,PRUNED
5,5,,2026-05-18 17:14:30.649115,2026-05-18 17:14:30.945334,0 days 00:00:00.296219,53.424666671901505,67.30442892796133,65.58728365077685,-73.26157238186057,36.53447920761032,53.958340391923755,79.80897970587625,-59.41228431484632,97.31881232801541,81.16451788740854,25.72849538793748,56.6288290375386,-43.76036120297462,95.21247017716838,31.55259531374233,83.49123231196222,4.7804818215936535,164.72060058441062,Unfeasible shape,GPSampler,PRUNED
6,6,,2026-05-18 17:14:31.105004,2026-05-18 17:14:31.435293,0 days 00:00:00.330289,2.570925532283048,22.256129712409926,65.73891354297514,-76.45065632333534,6.689367572041009,69.80697732284226,18.147392696502177,26.29601856527374,68.675136328251,69.81784724800977,40.929953584678415,6.27380786460283,-10.468134156425364,3.2964348883294776,20.354736439878515,51.0460971036596,-41.959150565562084,116.58252747052424,Unfeasible shape,GPSampler,PRUNED
7,7,,2026-05-18 17:14:31.569051,2026-05-18 17:14:32.478616,0 days 00:00:00.909565,63.79068360335995,52.37614892356485,61.06150886313925,-79.7460812734014,58.903792380282496,14.660146878718999,13.119392565710204,-69.06325216698954,215.3692733935878,63.03373778817341,60.88400572156564,59.39255699419019,-22.57017438576198,94.88529008901777,32.64109987134437,98.83928739057325,-40.32487640642331,78.6078603391045,Unfeasible shape,GPSampler,PRUNED
8,8,,2026-05-18 17:14:32.608134,2026-05-18 17:14:32.926621,0 days 00:00:00.318487,21.797816495163794,58.211664478910606,2.805235252624689,-12.698895295242778,88.3384874910676,56.794532262225836,55.91300734463035,26.520280930095865,216.74092373763156,37.823081578730346,55.49825851738608,57.7150708681009,-21.91302335607636,51.75890946119966,59.17849245516052,78.12074582725734,-65.21490124477307,141.83020631743284,Unfeasible shape,GPSampler,PRUNED
9,9,,2026-05-18 17:14:33.047114,2026-05-18 17:14:33.311952,0 days 00:00:00.264838,97.5675192998336,83.36443181319203,50.19046644997353,-41.46954178999638,13.094918858007187,42.679185076375084,52.226233402555394,-6.658883650489599,51.817534184812956,84.98815400168873,55.73946953066289,3.9486289385389655,-21.165530301555783,95.60788339816675,99.7830347323814,4.134950381395534,-71.38035264148198,29.45025901150904,Unfeasible shape,GPSampler,PRUNED
10,10,,2026-05-18 17:14:33.445254,2026-05-18 17:14:33.705398,0 days 00:00:00.260144,18.844594811521223,99.35866269467589,47.50896504061002,-38.88042620458598,55.49247650465105,38.226955821388486,56.236731401988685,-41.5243590557527,244.39173225960275,96.13126734430537,10.812853295071118,7.015442634561753,-53.24741595761925,14.00661968421428,87.54324481342901,62.390438134006445,-78.65560487912965,128.03670900783436,Unfeasible shape,GPSampler,PRUNED
11,11,,2026-05-18 17:14:33.835129,2026-05-18 17:14:34.145509,0 days 00:00:00.310380,79.32742564390047,91.88847138734475,59.80911279492857,-12.07215750413495,49.43849308989548,15.133128580427812,49.38785636881395,-6.372735056894996,3.442520870713393,73.7027897421428,53.14115125429032,53.63191765576652,-74.62731313275503,74.20147526451386,54.406186959108865,51.126064135324796,20.173815353869344,13.705556925706066,Unfeasible shape,GPSampler,PRUNED
12,12,12.940643223784173,2026-05-18 17:14:34.285242,2026-05-18 17:15:31.256258,0 days 00:00:56.971016,17.902191493057686,12.77440755613209,41.12846812275473,-36.13809156632727,81.69998439858003,39.57035017091488,9.0845603317205,-22.326952049584264,32.49294808181459,93.6740688358841,5.117652668845547,28.96046177268048,-22.547017190236154,46.25552116860025,96.14317428088225,41.615548420137955,-64.06344797540962,121.74113931794906,,GPSampler,COMPLETE
13,13,,2026-05-18 17:15:32.867360,2026-05-18 17:15:33.126069,0 days 00:00:00.258709,54.39420496141142,4.196806566908179,74.30913710866234,-71.13376742216178,34.35253617901228,35.6402976835543,29.62633594833482,-30.762237104357986,223.98959652440908,90.4361906506615,30.669227962496908,47.83531982529519,-58.92165098265258,39.06803527146764,53.774282611797496,45.970682949319375,4.723595121716542,118.2676793953317,Unfeasible shape,GPSampler,PRUNED
14,14,,2026-05-18 17:15:33.284636,2026-05-18 17:15:33.555538,0 days 00:00:00.270902,86.02188979199349,32.62827340090902,31.449140194084606,-61.20297514671084,71.49085483064287,1.148060389867579,81.68022940429698,3.3914492533815235,244.74835582872012,5.8397034544340105,45.184431476895085,51.08866632860641,-73.3052939504352,71.73466853217002,13.910038580993133,70.85298814343882,-22.683195692584178,125.60581326299123,Unfeasible shape,GPSampler,PRUNED
15,15,,2026-05-18 17:15:33.701627,2026-05-18 17:15:33.958213,0 days 00:00:00.256586,61.32012021775804,60.24410560971091,32.753134986864154,-54.33717542048336,8.43515241061273,86.69764880250281,76.19247766428862,-70.86499791128834,170.65217817465575,95.72233932871323,12.956850258245058,81.97682394313348,-63.16997258864923,97.42971746717822,69.78098597601071,17.95368121470108,-80.57274188614186,114.7405834811922,Unfeasible shape,GPSampler,PRUNED
