,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-22 13:56:17.516495,2026-04-22 13:56:18.447586,0 days 00:00:00.931091,-56.20468857962184,40.47797241117572,77.33496706330143,64.32575635047957,52.65272906055071,9.198082781490875,-28.774592076448286,26.83266720662405,51.192364400354116,47.64108794254034,-25.63684766915781,16.580605444786936,Unfeasible shape,RandomSampler,PRUNED
1,1,0.044805731721481834,2026-04-22 13:56:18.569281,2026-04-22 13:56:31.472131,0 days 00:00:12.902850,-32.03510782909595,70.94347680799686,11.731676623810529,36.88307384068304,4.759371524371508,27.5798460468635,-24.098465644731505,23.18693866727626,16.278344110163037,62.2885481119124,15.548489518174598,14.427741040446119,,RandomSampler,COMPLETE
2,2,6.0,2026-04-22 13:56:32.889466,2026-04-22 13:56:32.961978,0 days 00:00:00.072512,-57.3740394164648,41.70388421803152,18.693209504523754,19.600073679510857,59.83737848604811,-21.121486006755156,-79.81178122035597,68.45698716312637,92.96737563747624,22.862392286347745,-24.884648238378627,35.22629356016976,Unfeasible shape,GPSampler,PRUNED
3,3,6.0,2026-04-22 13:56:33.080749,2026-04-22 13:56:33.192320,0 days 00:00:00.111571,-74.30038378103464,14.2523519517034,84.06123693221278,33.409076241618195,49.58306147578101,9.069221434722003,-53.428473624049246,62.79060954044917,84.29580443966188,34.617453679923244,-27.124782539282194,9.420164048455732,Unfeasible shape,GPSampler,PRUNED
4,4,6.0,2026-04-22 13:56:33.329815,2026-04-22 13:56:33.402747,0 days 00:00:00.072932,-66.63637459909515,47.46447571885556,77.4054930830088,43.83141459509726,20.67744975693849,-27.50227588480935,-56.45644678186213,68.94960200733982,64.84160894824639,89.89926582635964,-6.0467418265717505,22.533429315334132,Unfeasible shape,GPSampler,PRUNED
5,5,6.0,2026-04-22 13:56:33.534254,2026-04-22 13:56:33.595291,0 days 00:00:00.061037,-36.53763061273574,91.9709379881493,31.219246305728454,41.62481522227158,4.867429491591457,-8.653120934744077,-77.06967925877028,53.9842472868494,43.412861115828235,48.111492791081794,-13.616314027317067,44.04921158093802,Unfeasible shape,GPSampler,PRUNED
6,6,6.0,2026-04-22 13:56:33.734583,2026-04-22 13:56:33.830027,0 days 00:00:00.095444,-61.030261147057374,96.86694127593748,78.15156558231865,47.24898800447551,26.661619168561494,45.31589063765813,-35.23065401727637,11.24196226433506,50.948081757975395,91.17624244449367,13.199050862537973,1.5566638698770099,Unfeasible shape,GPSampler,PRUNED
7,7,6.0,2026-04-22 13:56:33.949884,2026-04-22 13:56:34.028738,0 days 00:00:00.078854,-41.70554596316485,62.007274059811344,28.489271281314704,72.82543809583402,12.128046036562381,14.318926177849264,-74.75920728430883,44.55366229384171,90.49659991034757,25.10535230387041,-28.56569443991812,13.00101367049291,Unfeasible shape,GPSampler,PRUNED
8,8,6.0,2026-04-22 13:56:34.149318,2026-04-22 13:56:34.244312,0 days 00:00:00.094994,-30.574992713173806,34.00505134618791,30.236399315280327,73.58883502985293,16.27069816413924,19.83466905678994,-21.88639840805763,51.25927374069826,23.418297292996176,49.213275524698076,-9.467985325791947,10.301284611220947,Unfeasible shape,GPSampler,PRUNED
9,9,6.0,2026-04-22 13:56:34.425240,2026-04-22 13:56:34.544279,0 days 00:00:00.119039,-46.56246895855047,57.2107796184437,37.02909027614814,29.382813529570825,44.525496963799746,11.64246352559801,-61.554275863462784,29.82516827995483,49.15545011171581,26.972627626778195,-6.221254699433388,14.778600208381189,Unfeasible shape,GPSampler,PRUNED
10,10,12.504834342772604,2026-04-22 13:56:34.663224,2026-04-22 13:56:40.481835,0 days 00:00:05.818611,-32.692151456310086,70.806008852656,68.43720489434386,39.8932549411072,40.15510413862342,-9.05138423206705,-47.07422583478819,35.15593953742777,56.85529124763935,35.93993407278134,12.564435128827185,8.672105370844893,Unattained target,GPSampler,PRUNED
11,11,6.0,2026-04-22 13:56:40.604414,2026-04-22 13:56:40.667907,0 days 00:00:00.063493,-44.157670296253116,16.812461826696946,69.72398698655638,82.65312778970625,-7.365550324998685,23.63147776352661,-48.911854683321245,85.91478669943666,42.117155402756936,75.48330000846003,-0.3980871755467703,41.470982360405955,Unfeasible shape,GPSampler,PRUNED
12,12,6.0,2026-04-22 13:56:40.809783,2026-04-22 13:56:40.879628,0 days 00:00:00.069845,-63.10107207467972,98.39138041869717,33.49136181193511,74.40112722644383,14.688578559824407,0.7398894551066846,-43.18862790479493,72.87677723633087,52.48476068318531,64.51099371209526,-6.9055382989842045,-7.23659404484677,Unfeasible shape,GPSampler,PRUNED
13,13,6.0,2026-04-22 13:56:41.025860,2026-04-22 13:56:41.098459,0 days 00:00:00.072599,-66.18188168387826,31.067264400077356,50.795129773280095,91.73954378941579,38.68724907551419,46.510732145781304,-70.83195524637456,74.30614865566953,87.82724555323479,97.20450230922847,-27.388429371296038,60.881469808860786,Unfeasible shape,GPSampler,PRUNED
14,14,6.0,2026-04-22 13:56:41.217945,2026-04-22 13:56:41.383578,0 days 00:00:00.165633,-41.65885885235141,56.23326612478046,57.838915449130496,34.459245409083664,10.838151257864961,-9.139793382872615,-51.640207536577044,74.97022377455468,51.09113244609756,55.3162829643379,-16.18159558856462,23.3895387924836,Unfeasible shape,GPSampler,PRUNED
15,15,6.0,2026-04-22 13:56:41.517803,2026-04-22 13:56:41.583134,0 days 00:00:00.065331,-52.87042510332365,30.831527300598644,62.98710237886446,40.12058244834018,23.12896200335063,36.45672193395765,-28.879134385538293,79.72505126115898,55.1267691587333,94.60011392775236,19.760111805830384,58.11198844663578,Unfeasible shape,GPSampler,PRUNED
16,16,6.0,2026-04-22 13:56:41.727255,2026-04-22 13:56:41.792489,0 days 00:00:00.065234,-51.42391128453373,86.45036377577273,22.272035847575708,97.16227813883017,4.888061051754475,27.81985359086103,-48.730065929712154,76.33038157237489,49.702680484343,66.66691618778052,-0.5800736292633744,17.94715545366744,Unfeasible shape,GPSampler,PRUNED
