,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-01-30 17:34:22.177760,2026-01-30 17:34:22.441792,0 days 00:00:00.264032,50.456625222679335,11.46338019220623,29.945283802682592,-72.712656088991,55.29217041131711,13.002569106907611,53.28315670631275,43.246572215252705,24.53123044897323,75.0,98.47078248762706,26.074136481771863,43.10712972304426,-31.875391592417174,66.52510138190569,81.8867153059355,50.77058196608455,45.99610419463521,27.927466913505537,5.0,Unfeasible shape,RandomSampler,PRUNED
1,1,6.0,2026-01-30 17:34:22.555419,2026-01-30 17:34:22.618213,0 days 00:00:00.062794,18.577186452189782,81.59271884189937,36.989680519672845,-68.51877446867488,59.86088612825583,63.10791092520408,58.58901093331864,33.369025808268916,29.06025971102911,80.0,57.919989422445695,12.398356838140828,96.39143056717369,-70.21116231692967,98.4957768715801,75.3575407389914,45.73608900571142,43.87376103231473,20.318223483579978,10.0,Unfeasible shape,RandomSampler,PRUNED
2,2,11.870292140687958,2026-01-30 17:34:22.729925,2026-01-30 17:34:26.407069,0 days 00:00:03.677144,98.14235709534016,15.172615729310758,27.716313142466802,-66.19174908084875,10.305465935916668,99.25073437448113,53.43675820659076,35.75341245387595,28.046809179940787,110.0,97.92963481092407,37.40516467597699,45.43585134399997,-31.590110662800633,37.04228233758489,62.15828738567418,21.701488220500675,30.591065560675112,19.523216084082524,5.0,Unattained target,RandomSampler,PRUNED
3,3,6.0,2026-01-30 17:34:26.526881,2026-01-30 17:34:26.604625,0 days 00:00:00.077744,38.57292891669869,35.48389703252877,41.4682375241986,-72.00341091348734,42.978490487359196,87.70504822284512,74.43990396809217,44.781404523530526,17.802436451993337,75.0,73.70374114036454,12.189665374087909,67.27020009051427,-51.8151627951985,46.82118025368174,46.112097238509264,80.09533681378147,39.23039467890361,11.297579273705631,5.0,Unfeasible shape,RandomSampler,PRUNED
4,4,7.696424655177196,2026-01-30 17:34:26.722539,2026-01-30 17:34:30.293536,0 days 00:00:03.570997,85.17247791687068,40.75828244392427,79.870610950781,-41.46884647339626,60.12277976663503,91.07489528475836,59.88622484481853,34.088091464715355,28.226746477924397,100.0,69.986229511181,98.0644565542892,10.401839202145334,-29.721982038489088,91.64519495483654,78.16482405153857,20.79938929306073,47.38984022143749,25.556947530871405,5.0,Unattained target,RandomSampler,PRUNED
5,5,6.0,2026-01-30 17:34:30.401045,2026-01-30 17:34:30.467417,0 days 00:00:00.066372,28.094282620727064,59.93949776220048,49.11108513771742,-36.25228080223605,20.745765854564045,58.721751327160234,63.881618929979886,38.96627724296557,20.48378391095383,80.0,33.37856276968671,72.23941815556994,64.64164334507281,-23.494722520133138,84.11542684903777,43.2465052581929,78.92342781718006,33.75791061370386,25.843955031395215,5.0,Unfeasible shape,RandomSampler,PRUNED
6,6,6.0,2026-01-30 17:34:30.599766,2026-01-30 17:34:30.677622,0 days 00:00:00.077856,42.16683702485089,68.65997611383342,26.0228751470812,-43.680531698540356,76.72058041939015,32.21048488572204,57.27655502134854,49.558395427786856,15.64285334045212,120.0,56.01535261408077,48.25073821060633,37.342811103296484,-30.109057095984824,43.74250656242924,84.60900993388111,69.94265351292162,38.30765472022901,25.478624745315695,10.0,Unfeasible shape,RandomSampler,PRUNED
7,7,13.030954597107339,2026-01-30 17:34:30.801507,2026-01-30 17:34:34.429296,0 days 00:00:03.627789,44.908987177819824,80.1669692349916,59.38704560871269,-28.320842176927158,70.79135261753582,44.17939313663058,63.39076008892312,41.59460586903073,28.496516455992655,120.0,20.564712067860086,90.95522221088949,14.961450733345824,-21.334135416839985,18.104619458027937,60.29761443702078,63.23115219604873,41.26459301098986,26.262766809489296,5.0,Unattained target,RandomSampler,PRUNED
8,8,13.152883137073953,2026-01-30 17:34:34.534595,2026-01-30 17:34:38.277292,0 days 00:00:03.742697,62.69793459876993,75.52345070910184,88.85917981950575,-58.44296904799732,17.989366827995678,60.04914339258923,47.7061928861652,46.15244138406713,13.724549981490224,80.0,93.04708068407196,57.70831138284611,89.27974370652228,-72.07193193845656,44.21243415565283,98.12104725107103,34.04418753848982,30.35618302469476,11.907147096576772,5.0,Unattained target,RandomSampler,PRUNED
9,9,6.0,2026-01-30 17:34:38.386109,2026-01-30 17:34:38.445526,0 days 00:00:00.059417,45.9009316655309,42.431625754015506,47.22178859683525,-64.46243474420562,64.4813492768058,13.492422919768211,36.44701201592749,42.49579172555206,20.832534905690295,100.0,89.92613628233065,45.031416323173104,93.9572297870877,-29.77196433833557,98.33713601967384,58.35876239441096,25.513578179836088,42.79862329636394,26.42437731352167,5.0,Unfeasible shape,RandomSampler,PRUNED
