,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 13:45:32.945100,2026-05-12 13:45:34.158919,0 days 00:00:01.213819,-71.80023207554936,37.32678118533635,98.80291818947846,91.65864097464619,23.55812226844406,53.67521112934841,-68.35834284865662,87.78781845865373,57.61351455333198,90.72815716790342,52.880005357187905,19.49298572779636,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 13:45:34.277462,2026-05-12 13:45:34.512855,0 days 00:00:00.235393,-63.65191373948082,77.3774233048261,57.32627497530783,17.879363292492485,53.603888864056586,45.81156602554336,-24.43388752802622,39.748453918509796,85.20592074816152,53.19977302430855,15.52187858741564,62.4619902862511,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 13:45:34.639787,2026-05-12 13:45:34.849753,0 days 00:00:00.209966,-47.30371126328527,23.580123389335277,37.20671080750753,78.83175227692784,40.16507789718095,70.31175974646389,-44.022959293177884,84.95846547193429,79.18789006237807,80.76275686750914,69.97705513574883,19.937141898912543,Unfeasible shape,,PRUNED
3,3,0.8771247020265122,2026-05-12 13:45:34.948926,2026-05-12 13:46:51.801519,0 days 00:01:16.852593,-22.35863519245298,99.13263544962774,12.717324701746705,40.61103722854398,51.70488103936398,62.04426284614893,-30.87676479602206,19.85709942012371,16.290509239808543,51.912284202790495,11.583581126074987,33.74507809001546,,,COMPLETE
4,4,0.8792976750367508,2026-05-12 13:46:53.200942,2026-05-12 13:48:14.087534,0 days 00:01:20.886592,-65.42293716838945,53.38000391504919,57.239255967037984,59.54648094795665,22.937303740752142,50.23026124777595,-36.32300726540508,98.2506462412308,55.09411028989797,59.698564246829314,21.955808461092456,28.620534129316862,,0.0,COMPLETE
5,5,0.8865742138564869,2026-05-12 13:48:15.804104,2026-05-12 13:49:31.945671,0 days 00:01:16.141567,-41.73483662820886,58.32055149090487,55.297818430778555,32.583693415936125,51.95772300403976,46.23070096996657,-46.53997952282918,63.66123202401666,40.66959920034594,68.90479853989333,25.213713075088585,37.46530701459924,,0.0,COMPLETE
6,6,0.8782394875503385,2026-05-12 13:49:33.512326,2026-05-12 13:50:54.806551,0 days 00:01:21.294225,-55.39443881098357,59.27458066035514,32.7600952661585,43.48762974891553,44.45964763243392,57.79821573378214,-75.00091960690804,67.845330438692,64.7887504072267,58.559501115511104,36.79070472813599,38.034142248747074,,0.0,COMPLETE
7,7,140.0,2026-05-12 13:50:56.241069,2026-05-12 13:50:56.485569,0 days 00:00:00.244500,-59.35917565358906,29.670184054132385,52.261917185352566,72.85472629322447,25.845710266072466,33.46963031063276,-61.35222964708607,56.26078919121273,52.26274671794907,48.56956701963591,27.085901421750798,42.45843884650002,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 13:50:56.614862,2026-05-12 13:50:56.876055,0 days 00:00:00.261193,-38.19733403310779,51.88672080427995,48.010874655331016,87.32075309202737,18.599490277611427,38.39149278893001,-55.639423384928634,56.985436519945296,65.5039368228844,28.61114222054451,24.38492403510459,36.31083314277011,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 13:50:56.983820,2026-05-12 13:50:57.213871,0 days 00:00:00.230051,-68.91605702920097,48.10721906285426,70.04325567695867,42.121957319486995,29.256750233612053,33.909197714038235,-44.8590001312079,42.00935155022561,63.37744167381039,76.36729241718783,52.699757910878745,30.90796372201707,Unfeasible shape,0.0,PRUNED
10,10,0.8757563620489407,2026-05-12 13:50:57.329410,2026-05-12 13:52:11.055999,0 days 00:01:13.726589,-37.29410308196299,53.42904244679663,74.94629980751797,33.720427622728764,27.415271002141957,38.754232758814496,-55.048358963382654,40.420586314300024,68.87165604921859,43.713268214008934,14.612635461702103,42.958834627473095,,0.0,COMPLETE
11,11,140.0,2026-05-12 13:52:12.410285,2026-05-12 13:52:12.640086,0 days 00:00:00.229801,-49.97610732202332,59.87226266496607,47.317530802119244,35.18598513991657,51.67698182015842,49.96031767113089,-45.796662209349016,62.73772855879392,72.13555333550154,47.142029475580415,39.22108754155922,48.456279369796995,Unfeasible shape,0.0,PRUNED
12,12,0.879029007822296,2026-05-12 13:52:12.762991,2026-05-12 13:53:28.565296,0 days 00:01:15.802305,-61.619347424034416,73.37233242466814,32.57563302444197,41.765347868279875,42.120087818335136,39.378388536196326,-59.376564440992084,57.00175031318824,51.153623345489535,72.43472011843703,39.735702395061445,52.572183090979685,,0.0,COMPLETE
13,13,140.0,2026-05-12 13:53:30.154510,2026-05-12 13:53:30.424982,0 days 00:00:00.270472,-36.759762085048436,54.95098442406839,54.86338983242767,62.315187040434374,44.59972264942517,30.274917714761244,-50.55664394105727,34.346650484054614,88.47859059714412,46.27536934556121,46.21084614338534,39.19929419460293,Unfeasible shape,0.0,PRUNED
14,14,0.8848402823997219,2026-05-12 13:53:30.578846,2026-05-12 13:54:42.032350,0 days 00:01:11.453504,-50.716052682894265,60.38850648495982,36.736712199757505,55.971435103717,43.01843290830845,34.51339038277296,-46.903472082289184,54.29049038377278,34.972837298651555,79.20120672886407,37.10465121990059,22.555875543442653,,0.0,COMPLETE
15,15,0.8820297176786276,2026-05-12 13:54:43.297738,2026-05-12 13:56:27.319041,0 days 00:01:44.021303,-55.072579320502385,48.14422482376014,69.94822348541514,38.09489859101232,22.741007640550162,33.93627522041151,-75.2564032819485,51.414733034658994,44.354679846724565,68.52024477952403,18.752242557424683,49.15499001864879,,0.0,COMPLETE
16,16,0.8816532063200071,2026-05-12 13:56:28.682162,2026-05-12 13:57:44.632500,0 days 00:01:15.950338,-35.59187677472753,45.649119987770334,36.70951568933397,59.390416420576614,26.964517715008878,27.63934264387309,-55.569613695326765,67.13628452211529,53.9045280888945,48.39679093358701,28.37756862488323,33.54267020661148,,0.0,COMPLETE
17,17,140.0,2026-05-12 13:57:45.837918,2026-05-12 13:57:46.076350,0 days 00:00:00.238432,-56.58520516597911,68.67036188430988,58.3776110455504,65.22560946671317,15.693917392406581,19.27122400989665,-48.02134158734731,82.78750086193462,76.51488204279522,46.03013273633937,42.17830940612201,56.798846370859096,Unfeasible shape,0.0,PRUNED
18,18,0.8818158574483078,2026-05-12 13:57:46.193652,2026-05-12 13:59:33.131885,0 days 00:01:46.938233,-53.218879158354824,48.02285881193563,53.41135798234364,55.187376093650116,21.67567348869253,36.03866996077667,-40.26553179333589,48.29913723983231,47.14946154106217,67.45991707992292,35.183119431199756,35.319804425173245,,0.0,COMPLETE
19,19,140.0,2026-05-12 13:59:34.620090,2026-05-12 13:59:34.891863,0 days 00:00:00.271773,-68.31634744027922,29.67718793250247,57.07260767708169,33.34091693753637,16.89922832123469,29.16977721585308,-64.98600991346999,63.605822104389944,69.01084967050238,59.982585770392944,53.79176223587354,12.306934848839365,Unfeasible shape,0.0,PRUNED
