,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,,2026-05-18 14:01:35.422964,2026-05-18 14:01:36.322495,0 days 00:00:00.899531,63.02641871842659,59.79511154344353,85.8036254569248,-67.63922227721706,25.719707246211897,83.07623563167245,96.8696508325663,32.218432188818966,7.776480727836592,6.3834677897694645,82.38548721486521,81.42699794747118,-10.470733765563978,51.826404954622085,44.233115805039965,73.42991123055072,10.610782886073778,46.51710082911595,Unfeasible shape,,PRUNED
1,1,,2026-05-18 14:01:36.444377,2026-05-18 14:01:36.745139,0 days 00:00:00.300762,6.3617251416792655,21.944706401682662,76.08868194818044,-32.45986254909838,35.726234559868615,35.781736794672945,87.30588283110446,31.506752414900745,96.62744855174722,25.999618623373816,82.80429733559546,29.45309688902741,-79.82294760291768,85.87396941175473,11.381888065548129,90.39462689563885,12.56965158302528,-35.92082370937736,Unfeasible shape,,PRUNED
2,2,,2026-05-18 14:01:36.835328,2026-05-18 14:01:37.744071,0 days 00:00:00.908743,41.927308135290005,2.4017354009039824,95.15044010199017,-57.40109522570162,29.777828304216403,46.281016230803374,27.392847518389388,20.874901137728685,44.73131851457977,62.63839485094422,23.6037562205843,83.66608678464185,-65.41965622522568,72.35266455246742,47.33129991677495,98.93214629404311,-12.807339939121263,-20.44895297403749,Unfeasible shape,,PRUNED
3,3,,2026-05-18 14:01:37.837721,2026-05-18 14:01:38.084363,0 days 00:00:00.246642,64.28059732169751,33.295480284068326,23.70541342920817,-37.69852245771928,26.402614809188485,84.82357402744559,24.98532087745008,-27.74405376724559,130.64888910804282,28.55717899448615,22.917225030114892,91.57585955140613,-23.040636235196935,62.485461025437424,96.70249322086343,64.1988610896138,23.303935424471035,42.22608228895801,Unfeasible shape,,PRUNED
4,4,,2026-05-18 14:01:38.173050,2026-05-18 14:01:38.432391,0 days 00:00:00.259341,85.75186413263353,98.86699209057294,22.779078172392477,-75.26766036372022,38.732832277890594,2.87303594851459,99.24665902512358,26.335174113656336,141.6244019991717,62.49710365480714,65.23609876571192,32.68195892612145,-39.20378463184897,22.885475850242944,54.53794517839186,80.4239398228811,40.50795275594099,39.57109613364706,Unfeasible shape,,PRUNED
5,5,49.16588068789376,2026-05-18 14:01:38.519491,2026-05-18 14:02:34.156444,0 days 00:00:55.636953,26.387236028414524,72.76415266603283,40.322398538612966,-15.690946114638606,46.55767642506419,10.358681420985423,40.898889549063256,20.524405629392973,73.89764084967163,47.62814018470458,84.61220850813119,17.017567625527203,-69.80306015601906,62.43766747620487,72.31482649217249,96.8186945328844,21.603791776403597,-1.039939380209482,,,COMPLETE
6,6,,2026-05-18 14:02:35.555760,2026-05-18 14:02:36.074314,0 days 00:00:00.518554,91.15181699268324,18.69278493197761,83.80202032225795,-50.336877343727,54.936773486364444,58.715457478302774,52.58809670317969,3.773762788382328,88.32978923071579,52.71140691628389,23.259807923807916,64.72056339261553,-39.283998259378585,69.74760459083413,68.26307680933773,36.75513060634966,21.430252385347842,31.361795555785392,Unfeasible shape,0.0,PRUNED
7,7,,2026-05-18 14:02:36.180701,2026-05-18 14:02:36.388385,0 days 00:00:00.207684,33.958922294910906,57.601552598341556,75.5215178230786,-52.98177070603621,61.758048930999486,38.78527158214667,59.69007787562625,28.204332055265994,21.904842090240386,54.12489963222952,66.43478597231709,41.408289602243535,-33.82887297491563,83.25610135032674,52.0880525984884,53.895296417029314,31.915119844637523,19.434929454093023,Unfeasible shape,0.0,PRUNED
8,8,,2026-05-18 14:02:36.516729,2026-05-18 14:02:36.756497,0 days 00:00:00.239768,43.748671195857945,43.7597395565786,31.247280896687926,-41.7114663034526,50.806436349994435,62.48393016366765,71.71406251181124,-4.741195822390317,105.19365482176602,55.06130802854475,31.30506664603778,46.35394302009922,-34.22247155465477,42.35035462348806,24.76420554608612,53.415370782553026,60.99521716148425,19.076363229301954,Unfeasible shape,0.0,PRUNED
9,9,,2026-05-18 14:02:36.857386,2026-05-18 14:02:37.066587,0 days 00:00:00.209201,21.119521779158198,50.32797451525596,94.51925051963165,-52.1864891589575,55.880665832807566,33.89192440492312,57.71798158053709,-0.15784253023692685,51.072920934010654,64.48852145285461,52.3484088830003,50.170967071073285,-35.9005530971856,43.102018602071816,46.659213897196764,33.07496705074112,35.87186443076463,-21.67239452758782,Unfeasible shape,0.0,PRUNED
