,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,system_attrs_fixed_params,state
0,0,9.04952764490885,2026-04-14 16:10:53.449409,2026-04-14 16:10:58.460351,0 days 00:00:05.010942,58.590239415900385,94.94444423041739,93.25187707943368,-58.769555174029,41.05071083208074,71.18029897175322,61.98068853228067,36.25085544509504,17.728004269616928,78.81108818743006,95.48278651838577,72.71319465186222,-33.9774397718512,15.725472580624789,50.41616723678349,79.46299424506205,41.93065469538803,28.196409486422596,Unattained target,RandomSampler,,PRUNED
1,1,9.049527302673503,2026-04-14 16:10:58.584014,2026-04-14 16:11:02.222117,0 days 00:00:03.638103,58.590239415900385,94.94444423041739,93.25187707943368,-58.769555174029,41.05071083208074,71.18029897175322,61.98068853228067,36.25085544509504,17.728004269616928,78.81108818743006,95.48278651838577,72.71319465186222,-33.9774397718512,15.725472580624789,50.41616723678349,79.46299424506205,41.93065469538803,28.196409486422596,Unattained target,RandomSampler,"{'sLegPt.rL0': 15.725472580624789, 'sLegPt.lL0': 78.81108818743006, 'sLegPt.rL1': 50.41616723678349, 'sLegPt.lL1': 95.48278651838577, 'sLegPt.x1': 41.93065469538803, 'sLegPt.y1': 28.196409486422596, 'sLegPt.rA1': -33.9774397718512, 'sLegPt.rL2': 79.46299424506205, 'sLegPt.lL2': 72.71319465186222, 'lLegPt.rL0': 41.05071083208074, 'lLegPt.lL0': 58.590239415900385, 'lLegPt.rL1': 71.18029897175322, 'lLegPt.lL1': 94.94444423041739, 'lLegPt.x1': 36.25085544509504, 'lLegPt.y1': 17.728004269616928, 'lLegPt.rA1': -58.769555174029, 'lLegPt.rL2': 61.98068853228067, 'lLegPt.lL2': 93.25187707943368}",PRUNED
2,2,9.049526994621608,2026-04-14 16:11:02.368800,2026-04-14 16:11:06.252132,0 days 00:00:03.883332,58.590239415900385,94.94444423041739,93.25187707943368,-58.769555174029,41.05071083208074,71.18029897175322,61.98068853228067,36.25085544509504,17.728004269616928,78.81108818743006,95.48278651838577,72.71319465186222,-33.9774397718512,15.725472580624789,50.41616723678349,79.46299424506205,41.93065469538803,28.196409486422596,Unattained target,RandomSampler,"{'sLegPt.rL0': 15.725472580624789, 'sLegPt.lL0': 78.81108818743006, 'sLegPt.rL1': 50.41616723678349, 'sLegPt.lL1': 95.48278651838577, 'sLegPt.x1': 41.93065469538803, 'sLegPt.y1': 28.196409486422596, 'sLegPt.rA1': -33.9774397718512, 'sLegPt.rL2': 79.46299424506205, 'sLegPt.lL2': 72.71319465186222, 'lLegPt.rL0': 41.05071083208074, 'lLegPt.lL0': 58.590239415900385, 'lLegPt.rL1': 71.18029897175322, 'lLegPt.lL1': 94.94444423041739, 'lLegPt.x1': 36.25085544509504, 'lLegPt.y1': 17.728004269616928, 'lLegPt.rA1': -58.769555174029, 'lLegPt.rL2': 61.98068853228067, 'lLegPt.lL2': 93.25187707943368}",PRUNED
3,3,6.235899961741051,2026-04-14 16:11:06.380945,2026-04-14 16:11:10.207016,0 days 00:00:03.826071,24.783810912658474,51.21057103098554,47.515199017525056,-72.92889577988488,49.359106816548085,84.65981569546213,64.10126515376578,48.873108664010694,16.237364472797804,62.13340557822832,74.81476865686265,63.31162498984394,-38.007941195354945,95.7763477590221,92.03352930888474,67.95774493021061,42.60677928342574,14.274436062116148,Unattained target,RandomSampler,,PRUNED
4,4,6.235900112080973,2026-04-14 16:11:10.353336,2026-04-14 16:11:14.193324,0 days 00:00:03.839988,24.783810912658474,51.21057103098554,47.515199017525056,-72.92889577988488,49.359106816548085,84.65981569546213,64.10126515376578,48.873108664010694,16.237364472797804,62.13340557822832,74.81476865686265,63.31162498984394,-38.007941195354945,95.7763477590221,92.03352930888474,67.95774493021061,42.60677928342574,14.274436062116148,Unattained target,RandomSampler,"{'sLegPt.rL0': 95.7763477590221, 'sLegPt.lL0': 62.13340557822832, 'sLegPt.rL1': 92.03352930888474, 'sLegPt.lL1': 74.81476865686265, 'sLegPt.x1': 42.60677928342574, 'sLegPt.y1': 14.274436062116148, 'sLegPt.rA1': -38.007941195354945, 'sLegPt.rL2': 67.95774493021061, 'sLegPt.lL2': 63.31162498984394, 'lLegPt.rL0': 49.359106816548085, 'lLegPt.lL0': 24.783810912658474, 'lLegPt.rL1': 84.65981569546213, 'lLegPt.lL1': 51.21057103098554, 'lLegPt.x1': 48.873108664010694, 'lLegPt.y1': 16.237364472797804, 'lLegPt.rA1': -72.92889577988488, 'lLegPt.rL2': 64.10126515376578, 'lLegPt.lL2': 47.515199017525056}",PRUNED
5,5,6.235899921130564,2026-04-14 16:11:14.342012,2026-04-14 16:11:18.012309,0 days 00:00:03.670297,24.783810912658474,51.21057103098554,47.515199017525056,-72.92889577988488,49.359106816548085,84.65981569546213,64.10126515376578,48.873108664010694,16.237364472797804,62.13340557822832,74.81476865686265,63.31162498984394,-38.007941195354945,95.7763477590221,92.03352930888474,67.95774493021061,42.60677928342574,14.274436062116148,Unattained target,RandomSampler,"{'sLegPt.rL0': 95.7763477590221, 'sLegPt.lL0': 62.13340557822832, 'sLegPt.rL1': 92.03352930888474, 'sLegPt.lL1': 74.81476865686265, 'sLegPt.x1': 42.60677928342574, 'sLegPt.y1': 14.274436062116148, 'sLegPt.rA1': -38.007941195354945, 'sLegPt.rL2': 67.95774493021061, 'sLegPt.lL2': 63.31162498984394, 'lLegPt.rL0': 49.359106816548085, 'lLegPt.lL0': 24.783810912658474, 'lLegPt.rL1': 84.65981569546213, 'lLegPt.lL1': 51.21057103098554, 'lLegPt.x1': 48.873108664010694, 'lLegPt.y1': 16.237364472797804, 'lLegPt.rA1': -72.92889577988488, 'lLegPt.rL2': 64.10126515376578, 'lLegPt.lL2': 47.515199017525056}",PRUNED
6,6,5.526868218790888,2026-04-14 16:11:18.146656,2026-04-14 16:11:24.833249,0 days 00:00:06.686593,93.07596739265527,36.427045439288875,44.18050677167726,-55.00947133111765,23.790865704170585,29.814427292247593,55.65589861270616,45.572139123214185,27.532442402893544,92.53737834542693,18.39778585749752,77.28779537425193,-49.87230603266549,64.98917710159375,21.03314590455257,61.34525857669149,39.26799671439193,25.627785296661706,Unattained target,RandomSampler,,PRUNED
7,7,5.526701681739937,2026-04-14 16:11:24.985644,2026-04-14 16:11:31.600663,0 days 00:00:06.615019,93.07596739265527,36.427045439288875,44.18050677167726,-55.00947133111765,23.790865704170585,29.814427292247593,55.65589861270616,45.572139123214185,27.532442402893544,92.53737834542693,18.39778585749752,77.28779537425193,-49.87230603266549,64.98917710159375,21.03314590455257,61.34525857669149,39.26799671439193,25.627785296661706,Unattained target,RandomSampler,"{'sLegPt.rL0': 64.98917710159375, 'sLegPt.lL0': 92.53737834542693, 'sLegPt.rL1': 21.03314590455257, 'sLegPt.lL1': 18.39778585749752, 'sLegPt.x1': 39.26799671439193, 'sLegPt.y1': 25.627785296661706, 'sLegPt.rA1': -49.87230603266549, 'sLegPt.rL2': 61.34525857669149, 'sLegPt.lL2': 77.28779537425193, 'lLegPt.rL0': 23.790865704170585, 'lLegPt.lL0': 93.07596739265527, 'lLegPt.rL1': 29.814427292247593, 'lLegPt.lL1': 36.427045439288875, 'lLegPt.x1': 45.572139123214185, 'lLegPt.y1': 27.532442402893544, 'lLegPt.rA1': -55.00947133111765, 'lLegPt.rL2': 55.65589861270616, 'lLegPt.lL2': 44.18050677167726}",PRUNED
8,8,5.534681394030677,2026-04-14 16:11:31.721319,2026-04-14 16:11:38.125264,0 days 00:00:06.403945,93.07596739265527,36.427045439288875,44.18050677167726,-55.00947133111765,23.790865704170585,29.814427292247593,55.65589861270616,45.572139123214185,27.532442402893544,92.53737834542693,18.39778585749752,77.28779537425193,-49.87230603266549,64.98917710159375,21.03314590455257,61.34525857669149,39.26799671439193,25.627785296661706,Unattained target,RandomSampler,"{'sLegPt.rL0': 64.98917710159375, 'sLegPt.lL0': 92.53737834542693, 'sLegPt.rL1': 21.03314590455257, 'sLegPt.lL1': 18.39778585749752, 'sLegPt.x1': 39.26799671439193, 'sLegPt.y1': 25.627785296661706, 'sLegPt.rA1': -49.87230603266549, 'sLegPt.rL2': 61.34525857669149, 'sLegPt.lL2': 77.28779537425193, 'lLegPt.rL0': 23.790865704170585, 'lLegPt.lL0': 93.07596739265527, 'lLegPt.rL1': 29.814427292247593, 'lLegPt.lL1': 36.427045439288875, 'lLegPt.x1': 45.572139123214185, 'lLegPt.y1': 27.532442402893544, 'lLegPt.rA1': -55.00947133111765, 'lLegPt.rL2': 55.65589861270616, 'lLegPt.lL2': 44.18050677167726}",PRUNED
9,9,6.001231955404542,2026-04-14 16:11:38.246460,2026-04-14 16:11:42.130058,0 days 00:00:03.883598,57.869285224717,85.7527168992908,11.427177139065082,-21.406602376694188,41.53503441085317,87.97392306748357,11.830205960913823,33.813903720996656,11.06790946173964,39.16945805937294,94.04514589848908,28.708281902133074,-69.76926473802523,13.061078529681307,93.31501711406014,91.51189842603245,35.76811829754638,22.026198107037168,Unattained target,RandomSampler,,PRUNED
