,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,140.0,2026-05-12 18:00:29.997990,2026-05-12 18:00:30.840063,0 days 00:00:00.842073,-62.058551255649164,64.62255849789949,95.09440192758501,46.59320408047318,21.609255969994962,71.4463654326169,-77.30146359367215,58.659226717159584,74.23956199515047,59.79448307512421,55.88502307433258,60.498872495246786,Unfeasible shape,PRUNED
1,1,140.0,2026-05-12 18:00:30.929018,2026-05-12 18:00:31.199012,0 days 00:00:00.269994,-40.660374585153065,87.10996855660629,61.29354307878772,93.763199297244,18.618123348217434,22.75022455285859,-48.80389091303021,20.910909798950925,35.24826396287898,77.88478180615657,71.35521155737267,29.967597894397745,Unfeasible shape,PRUNED
2,2,140.0,2026-05-12 18:00:31.306127,2026-05-12 18:00:31.555040,0 days 00:00:00.248913,-46.95703284519606,26.33763609364384,38.57879242407671,75.03351752548649,74.64904281640597,61.29623702918073,-22.17771964202248,89.25900282587418,16.372626450070506,16.18518879536458,53.36309208112413,29.971759338284794,Unfeasible shape,PRUNED
3,3,140.0,2026-05-12 18:00:31.646478,2026-05-12 18:00:31.967591,0 days 00:00:00.321113,-23.272644511281563,80.97451001716523,56.04197517775492,95.52546786173843,37.07282745821294,29.481319786821615,-64.84827124336785,19.27011719323888,58.120420430505725,76.75415094788396,4.878328009007705,13.563596359046379,Unfeasible shape,PRUNED
4,4,140.0,2026-05-12 18:00:32.109328,2026-05-12 18:00:32.378142,0 days 00:00:00.268814,-29.695466522913456,33.52137243057873,28.60277903718059,40.40287520741385,57.037538001345986,5.5239127014523355,-26.107103601570465,39.664834891472246,47.104396771728986,30.745115445973095,28.36714882662979,57.95755712120189,Unfeasible shape,PRUNED
5,5,140.0,2026-05-12 18:00:32.475426,2026-05-12 18:00:32.761003,0 days 00:00:00.285577,-79.002054124696,37.55324036755938,49.01475148689453,74.15500759575829,65.45918197855467,64.3665541737851,-28.045056216917203,97.39817780194679,17.463785689645295,63.2435293841319,44.86012348527072,27.325669739454433,Unfeasible shape,PRUNED
6,6,140.0,2026-05-12 18:00:32.850374,2026-05-12 18:00:33.157445,0 days 00:00:00.307071,-42.38693673087776,17.10671362344854,28.81072391409961,90.76676108733068,54.46103963055927,13.319566948527884,-46.670220892756106,10.887843186793402,49.66882778693088,82.8790282872325,6.015851923408763,36.7975685580511,Unfeasible shape,PRUNED
7,7,140.0,2026-05-12 18:00:33.263222,2026-05-12 18:00:33.562268,0 days 00:00:00.299046,-64.35685102134404,62.89659783196662,23.768967542657194,70.46837108277583,18.429458341325038,9.530752033613632,-65.7540057969853,56.81479817674869,16.62498152582175,26.42232510354951,14.041917261341949,45.42806037205485,Unfeasible shape,PRUNED
8,8,140.0,2026-05-12 18:00:33.662770,2026-05-12 18:00:33.937629,0 days 00:00:00.274859,-37.055291542862754,80.51968819022879,26.163248174935482,61.66599586695357,72.35229207910896,55.96306952950724,-42.2030972920364,80.42301221301187,86.33327017686224,12.372597947504152,3.720427831331036,11.837629146073663,Unfeasible shape,PRUNED
9,9,140.0,2026-05-12 18:00:34.041386,2026-05-12 18:00:34.334892,0 days 00:00:00.293506,-44.73053247993946,51.90764066166527,52.41005056177613,63.19744341520202,52.57098133398513,28.284145895614447,-29.82259280669347,66.07847958168132,40.929701843018435,88.03912892835405,11.199500355125291,74.95715247483994,Unfeasible shape,PRUNED
