,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,system_attrs_fixed_params,state
0,0,6.9235410045666725,2026-04-14 13:41:25.950748,2026-04-14 13:41:30.159105,0 days 00:00:04.208357,21.095129327721136,69.95829437353996,40.29822809735337,-21.23339983038489,97.6660648175276,82.49724805889805,68.94449960395823,36.77980529845151,17.603508962562408,17.414542587044902,44.80747730502417,72.07289879315961,-25.661800847224512,28.76654917943181,62.4237372395123,31.62884825385618,45.23405778156676,12.003873730913565,Unattained target,RandomSampler,,PRUNED
1,1,6.923541049127479,2026-04-14 13:41:30.304610,2026-04-14 13:41:33.790094,0 days 00:00:03.485484,21.095129327721136,69.95829437353996,40.29822809735337,-21.23339983038489,97.6660648175276,82.49724805889805,68.94449960395823,36.77980529845151,17.603508962562408,17.414542587044902,44.80747730502417,72.07289879315961,-25.661800847224512,28.76654917943181,62.4237372395123,31.62884825385618,45.23405778156676,12.003873730913565,Unattained target,RandomSampler,"{'sLegPt.rL0': 28.76654917943181, 'sLegPt.lL0': 17.414542587044902, 'sLegPt.rL1': 62.4237372395123, 'sLegPt.lL1': 44.80747730502417, 'sLegPt.x1': 45.23405778156676, 'sLegPt.y1': 12.003873730913565, 'sLegPt.rA1': -25.661800847224512, 'sLegPt.rL2': 31.62884825385618, 'sLegPt.lL2': 72.07289879315961, 'lLegPt.rL0': 97.6660648175276, 'lLegPt.lL0': 21.095129327721136, 'lLegPt.rL1': 82.49724805889805, 'lLegPt.lL1': 69.95829437353996, 'lLegPt.x1': 36.77980529845151, 'lLegPt.y1': 17.603508962562408, 'lLegPt.rA1': -21.23339983038489, 'lLegPt.rL2': 68.94449960395823, 'lLegPt.lL2': 40.29822809735337}",PRUNED
2,2,6.923541043888047,2026-04-14 13:41:33.940968,2026-04-14 13:41:37.711547,0 days 00:00:03.770579,21.095129327721136,69.95829437353996,40.29822809735337,-21.23339983038489,97.6660648175276,82.49724805889805,68.94449960395823,36.77980529845151,17.603508962562408,17.414542587044902,44.80747730502417,72.07289879315961,-25.661800847224512,28.76654917943181,62.4237372395123,31.62884825385618,45.23405778156676,12.003873730913565,Unattained target,RandomSampler,"{'sLegPt.rL0': 28.76654917943181, 'sLegPt.lL0': 17.414542587044902, 'sLegPt.rL1': 62.4237372395123, 'sLegPt.lL1': 44.80747730502417, 'sLegPt.x1': 45.23405778156676, 'sLegPt.y1': 12.003873730913565, 'sLegPt.rA1': -25.661800847224512, 'sLegPt.rL2': 31.62884825385618, 'sLegPt.lL2': 72.07289879315961, 'lLegPt.rL0': 97.6660648175276, 'lLegPt.lL0': 21.095129327721136, 'lLegPt.rL1': 82.49724805889805, 'lLegPt.lL1': 69.95829437353996, 'lLegPt.x1': 36.77980529845151, 'lLegPt.y1': 17.603508962562408, 'lLegPt.rA1': -21.23339983038489, 'lLegPt.rL2': 68.94449960395823, 'lLegPt.lL2': 40.29822809735337}",PRUNED
3,3,9.478364325140966,2026-04-14 13:41:37.831129,2026-04-14 13:41:41.694496,0 days 00:00:03.863367,90.48099694136737,42.85007773903852,96.89506097923537,-30.803456770975316,18.69929445261104,67.78702110919039,82.73901390896937,38.1549729328662,17.197040562666324,81.333558850466,19.07485219544011,21.494024493347382,-65.7032472269849,36.77532614791089,78.43831056465795,72.55160056488728,33.14489297825972,14.529085123716941,Unattained target,RandomSampler,,PRUNED
4,4,9.478364263516127,2026-04-14 13:41:41.834371,2026-04-14 13:41:46.061622,0 days 00:00:04.227251,90.48099694136737,42.85007773903852,96.89506097923537,-30.803456770975316,18.69929445261104,67.78702110919039,82.73901390896937,38.1549729328662,17.197040562666324,81.333558850466,19.07485219544011,21.494024493347382,-65.7032472269849,36.77532614791089,78.43831056465795,72.55160056488728,33.14489297825972,14.529085123716941,Unattained target,RandomSampler,"{'sLegPt.rL0': 36.77532614791089, 'sLegPt.lL0': 81.333558850466, 'sLegPt.rL1': 78.43831056465795, 'sLegPt.lL1': 19.07485219544011, 'sLegPt.x1': 33.14489297825972, 'sLegPt.y1': 14.529085123716941, 'sLegPt.rA1': -65.7032472269849, 'sLegPt.rL2': 72.55160056488728, 'sLegPt.lL2': 21.494024493347382, 'lLegPt.rL0': 18.69929445261104, 'lLegPt.lL0': 90.48099694136737, 'lLegPt.rL1': 67.78702110919039, 'lLegPt.lL1': 42.85007773903852, 'lLegPt.x1': 38.1549729328662, 'lLegPt.y1': 17.197040562666324, 'lLegPt.rA1': -30.803456770975316, 'lLegPt.rL2': 82.73901390896937, 'lLegPt.lL2': 96.89506097923537}",PRUNED
5,5,9.478364226777586,2026-04-14 13:41:46.222212,2026-04-14 13:41:50.578923,0 days 00:00:04.356711,90.48099694136737,42.85007773903852,96.89506097923537,-30.803456770975316,18.69929445261104,67.78702110919039,82.73901390896937,38.1549729328662,17.197040562666324,81.333558850466,19.07485219544011,21.494024493347382,-65.7032472269849,36.77532614791089,78.43831056465795,72.55160056488728,33.14489297825972,14.529085123716941,Unattained target,RandomSampler,"{'sLegPt.rL0': 36.77532614791089, 'sLegPt.lL0': 81.333558850466, 'sLegPt.rL1': 78.43831056465795, 'sLegPt.lL1': 19.07485219544011, 'sLegPt.x1': 33.14489297825972, 'sLegPt.y1': 14.529085123716941, 'sLegPt.rA1': -65.7032472269849, 'sLegPt.rL2': 72.55160056488728, 'sLegPt.lL2': 21.494024493347382, 'lLegPt.rL0': 18.69929445261104, 'lLegPt.lL0': 90.48099694136737, 'lLegPt.rL1': 67.78702110919039, 'lLegPt.lL1': 42.85007773903852, 'lLegPt.x1': 38.1549729328662, 'lLegPt.y1': 17.197040562666324, 'lLegPt.rA1': -30.803456770975316, 'lLegPt.rL2': 82.73901390896937, 'lLegPt.lL2': 96.89506097923537}",PRUNED
6,6,7.1955816182194,2026-04-14 13:41:50.756546,2026-04-14 13:41:54.996272,0 days 00:00:04.239726,25.390911656497476,79.44910446864421,92.15248160980644,-70.077186893716,69.22552691128678,49.96739692865781,67.5208864352179,49.314671162755886,19.670977484789702,70.69657020505338,50.026124392554685,81.66722262738304,-27.65278756089404,81.16384264264822,77.43950296571691,33.25679184636286,36.11718503795836,26.87301347302411,Unattained target,RandomSampler,,PRUNED
7,7,7.195581866262458,2026-04-14 13:41:55.157928,2026-04-14 13:41:58.872814,0 days 00:00:03.714886,25.390911656497476,79.44910446864421,92.15248160980644,-70.077186893716,69.22552691128678,49.96739692865781,67.5208864352179,49.314671162755886,19.670977484789702,70.69657020505338,50.026124392554685,81.66722262738304,-27.65278756089404,81.16384264264822,77.43950296571691,33.25679184636286,36.11718503795836,26.87301347302411,Unattained target,RandomSampler,"{'sLegPt.rL0': 81.16384264264822, 'sLegPt.lL0': 70.69657020505338, 'sLegPt.rL1': 77.43950296571691, 'sLegPt.lL1': 50.026124392554685, 'sLegPt.x1': 36.11718503795836, 'sLegPt.y1': 26.87301347302411, 'sLegPt.rA1': -27.65278756089404, 'sLegPt.rL2': 33.25679184636286, 'sLegPt.lL2': 81.66722262738304, 'lLegPt.rL0': 69.22552691128678, 'lLegPt.lL0': 25.390911656497476, 'lLegPt.rL1': 49.96739692865781, 'lLegPt.lL1': 79.44910446864421, 'lLegPt.x1': 49.314671162755886, 'lLegPt.y1': 19.670977484789702, 'lLegPt.rA1': -70.077186893716, 'lLegPt.rL2': 67.5208864352179, 'lLegPt.lL2': 92.15248160980644}",PRUNED
8,8,7.195581830052248,2026-04-14 13:41:59.030956,2026-04-14 13:42:03.106879,0 days 00:00:04.075923,25.390911656497476,79.44910446864421,92.15248160980644,-70.077186893716,69.22552691128678,49.96739692865781,67.5208864352179,49.314671162755886,19.670977484789702,70.69657020505338,50.026124392554685,81.66722262738304,-27.65278756089404,81.16384264264822,77.43950296571691,33.25679184636286,36.11718503795836,26.87301347302411,Unattained target,RandomSampler,"{'sLegPt.rL0': 81.16384264264822, 'sLegPt.lL0': 70.69657020505338, 'sLegPt.rL1': 77.43950296571691, 'sLegPt.lL1': 50.026124392554685, 'sLegPt.x1': 36.11718503795836, 'sLegPt.y1': 26.87301347302411, 'sLegPt.rA1': -27.65278756089404, 'sLegPt.rL2': 33.25679184636286, 'sLegPt.lL2': 81.66722262738304, 'lLegPt.rL0': 69.22552691128678, 'lLegPt.lL0': 25.390911656497476, 'lLegPt.rL1': 49.96739692865781, 'lLegPt.lL1': 79.44910446864421, 'lLegPt.x1': 49.314671162755886, 'lLegPt.y1': 19.670977484789702, 'lLegPt.rA1': -70.077186893716, 'lLegPt.rL2': 67.5208864352179, 'lLegPt.lL2': 92.15248160980644}",PRUNED
9,9,5.345796367104818,2026-04-14 13:42:03.259333,2026-04-14 13:42:07.217841,0 days 00:00:03.958508,18.711146359780358,33.210183085743,58.05781824054033,-63.29698953977487,82.43094760938035,41.168112445586985,67.16712796543175,42.85263596801352,11.78089644065619,55.34810986773544,12.12710995785006,47.658755501650305,-21.884991931735165,13.067257886257277,94.78362344698742,83.8837607818192,36.10689020375894,16.017918367751292,Unattained target,RandomSampler,,PRUNED
10,10,5.345796358350025,2026-04-14 13:42:07.366321,2026-04-14 13:42:11.775334,0 days 00:00:04.409013,18.711146359780358,33.210183085743,58.05781824054033,-63.29698953977487,82.43094760938035,41.168112445586985,67.16712796543175,42.85263596801352,11.78089644065619,55.34810986773544,12.12710995785006,47.658755501650305,-21.884991931735165,13.067257886257277,94.78362344698742,83.8837607818192,36.10689020375894,16.017918367751292,Unattained target,RandomSampler,"{'sLegPt.rL0': 13.067257886257277, 'sLegPt.lL0': 55.34810986773544, 'sLegPt.rL1': 94.78362344698742, 'sLegPt.lL1': 12.12710995785006, 'sLegPt.x1': 36.10689020375894, 'sLegPt.y1': 16.017918367751292, 'sLegPt.rA1': -21.884991931735165, 'sLegPt.rL2': 83.8837607818192, 'sLegPt.lL2': 47.658755501650305, 'lLegPt.rL0': 82.43094760938035, 'lLegPt.lL0': 18.711146359780358, 'lLegPt.rL1': 41.168112445586985, 'lLegPt.lL1': 33.210183085743, 'lLegPt.x1': 42.85263596801352, 'lLegPt.y1': 11.78089644065619, 'lLegPt.rA1': -63.29698953977487, 'lLegPt.rL2': 67.16712796543175, 'lLegPt.lL2': 58.05781824054033}",PRUNED
11,11,5.34579631451593,2026-04-14 13:42:11.929226,2026-04-14 13:42:15.815893,0 days 00:00:03.886667,18.711146359780358,33.210183085743,58.05781824054033,-63.29698953977487,82.43094760938035,41.168112445586985,67.16712796543175,42.85263596801352,11.78089644065619,55.34810986773544,12.12710995785006,47.658755501650305,-21.884991931735165,13.067257886257277,94.78362344698742,83.8837607818192,36.10689020375894,16.017918367751292,Unattained target,RandomSampler,"{'sLegPt.rL0': 13.067257886257277, 'sLegPt.lL0': 55.34810986773544, 'sLegPt.rL1': 94.78362344698742, 'sLegPt.lL1': 12.12710995785006, 'sLegPt.x1': 36.10689020375894, 'sLegPt.y1': 16.017918367751292, 'sLegPt.rA1': -21.884991931735165, 'sLegPt.rL2': 83.8837607818192, 'sLegPt.lL2': 47.658755501650305, 'lLegPt.rL0': 82.43094760938035, 'lLegPt.lL0': 18.711146359780358, 'lLegPt.rL1': 41.168112445586985, 'lLegPt.lL1': 33.210183085743, 'lLegPt.x1': 42.85263596801352, 'lLegPt.y1': 11.78089644065619, 'lLegPt.rA1': -63.29698953977487, 'lLegPt.rL2': 67.16712796543175, 'lLegPt.lL2': 58.05781824054033}",PRUNED
12,12,5.097939668442756,2026-04-14 13:42:15.988305,2026-04-14 13:42:26.924774,0 days 00:00:10.936469,29.371874527459074,59.84232567428658,66.24715702322607,-33.947309761230215,10.717045048011741,38.557098753161924,48.7361844350789,31.530933652676687,18.765185433140154,34.30021119101781,48.65786658944568,75.62853362335264,-39.342564665825336,38.662287163567605,80.63078196714586,39.94978315846042,33.22226450963415,29.475118034619538,Unattained target,RandomSampler,,PRUNED
13,13,5.0588083283021135,2026-04-14 13:42:27.107219,2026-04-14 13:42:37.060036,0 days 00:00:09.952817,29.371874527459074,59.84232567428658,66.24715702322607,-33.947309761230215,10.717045048011741,38.557098753161924,48.7361844350789,31.530933652676687,18.765185433140154,34.30021119101781,48.65786658944568,75.62853362335264,-39.342564665825336,38.662287163567605,80.63078196714586,39.94978315846042,33.22226450963415,29.475118034619538,Unattained target,RandomSampler,"{'sLegPt.rL0': 38.662287163567605, 'sLegPt.lL0': 34.30021119101781, 'sLegPt.rL1': 80.63078196714586, 'sLegPt.lL1': 48.65786658944568, 'sLegPt.x1': 33.22226450963415, 'sLegPt.y1': 29.475118034619538, 'sLegPt.rA1': -39.342564665825336, 'sLegPt.rL2': 39.94978315846042, 'sLegPt.lL2': 75.62853362335264, 'lLegPt.rL0': 10.717045048011741, 'lLegPt.lL0': 29.371874527459074, 'lLegPt.rL1': 38.557098753161924, 'lLegPt.lL1': 59.84232567428658, 'lLegPt.x1': 31.530933652676687, 'lLegPt.y1': 18.765185433140154, 'lLegPt.rA1': -33.947309761230215, 'lLegPt.rL2': 48.7361844350789, 'lLegPt.lL2': 66.24715702322607}",PRUNED
14,14,5.076791669483086,2026-04-14 13:42:37.223023,2026-04-14 13:42:46.727038,0 days 00:00:09.504015,29.371874527459074,59.84232567428658,66.24715702322607,-33.947309761230215,10.717045048011741,38.557098753161924,48.7361844350789,31.530933652676687,18.765185433140154,34.30021119101781,48.65786658944568,75.62853362335264,-39.342564665825336,38.662287163567605,80.63078196714586,39.94978315846042,33.22226450963415,29.475118034619538,Unattained target,RandomSampler,"{'sLegPt.rL0': 38.662287163567605, 'sLegPt.lL0': 34.30021119101781, 'sLegPt.rL1': 80.63078196714586, 'sLegPt.lL1': 48.65786658944568, 'sLegPt.x1': 33.22226450963415, 'sLegPt.y1': 29.475118034619538, 'sLegPt.rA1': -39.342564665825336, 'sLegPt.rL2': 39.94978315846042, 'sLegPt.lL2': 75.62853362335264, 'lLegPt.rL0': 10.717045048011741, 'lLegPt.lL0': 29.371874527459074, 'lLegPt.rL1': 38.557098753161924, 'lLegPt.lL1': 59.84232567428658, 'lLegPt.x1': 31.530933652676687, 'lLegPt.y1': 18.765185433140154, 'lLegPt.rA1': -33.947309761230215, 'lLegPt.rL2': 48.7361844350789, 'lLegPt.lL2': 66.24715702322607}",PRUNED
15,15,9.498469060409086,2026-04-14 13:42:46.882376,2026-04-14 13:42:51.156736,0 days 00:00:04.274360,40.575502214308045,53.90059002946924,13.92669220197304,-71.42630578722873,82.53288256515076,65.90897522118036,62.6913307996301,43.79746482563111,13.11568831398496,50.14394158738157,84.1455189924855,29.592452496623935,-61.885163854997415,65.97208944060768,33.83741541596095,59.16837023477518,47.16803586356002,11.235651747302182,Unattained target,RandomSampler,,PRUNED
16,16,9.498469000564299,2026-04-14 13:42:51.293832,2026-04-14 13:42:55.121507,0 days 00:00:03.827675,40.575502214308045,53.90059002946924,13.92669220197304,-71.42630578722873,82.53288256515076,65.90897522118036,62.6913307996301,43.79746482563111,13.11568831398496,50.14394158738157,84.1455189924855,29.592452496623935,-61.885163854997415,65.97208944060768,33.83741541596095,59.16837023477518,47.16803586356002,11.235651747302182,Unattained target,RandomSampler,"{'sLegPt.rL0': 65.97208944060768, 'sLegPt.lL0': 50.14394158738157, 'sLegPt.rL1': 33.83741541596095, 'sLegPt.lL1': 84.1455189924855, 'sLegPt.x1': 47.16803586356002, 'sLegPt.y1': 11.235651747302182, 'sLegPt.rA1': -61.885163854997415, 'sLegPt.rL2': 59.16837023477518, 'sLegPt.lL2': 29.592452496623935, 'lLegPt.rL0': 82.53288256515076, 'lLegPt.lL0': 40.575502214308045, 'lLegPt.rL1': 65.90897522118036, 'lLegPt.lL1': 53.90059002946924, 'lLegPt.x1': 43.79746482563111, 'lLegPt.y1': 13.11568831398496, 'lLegPt.rA1': -71.42630578722873, 'lLegPt.rL2': 62.6913307996301, 'lLegPt.lL2': 13.92669220197304}",PRUNED
17,17,9.498469034609094,2026-04-14 13:42:55.243457,2026-04-14 13:42:59.021854,0 days 00:00:03.778397,40.575502214308045,53.90059002946924,13.92669220197304,-71.42630578722873,82.53288256515076,65.90897522118036,62.6913307996301,43.79746482563111,13.11568831398496,50.14394158738157,84.1455189924855,29.592452496623935,-61.885163854997415,65.97208944060768,33.83741541596095,59.16837023477518,47.16803586356002,11.235651747302182,Unattained target,RandomSampler,"{'sLegPt.rL0': 65.97208944060768, 'sLegPt.lL0': 50.14394158738157, 'sLegPt.rL1': 33.83741541596095, 'sLegPt.lL1': 84.1455189924855, 'sLegPt.x1': 47.16803586356002, 'sLegPt.y1': 11.235651747302182, 'sLegPt.rA1': -61.885163854997415, 'sLegPt.rL2': 59.16837023477518, 'sLegPt.lL2': 29.592452496623935, 'lLegPt.rL0': 82.53288256515076, 'lLegPt.lL0': 40.575502214308045, 'lLegPt.rL1': 65.90897522118036, 'lLegPt.lL1': 53.90059002946924, 'lLegPt.x1': 43.79746482563111, 'lLegPt.y1': 13.11568831398496, 'lLegPt.rA1': -71.42630578722873, 'lLegPt.rL2': 62.6913307996301, 'lLegPt.lL2': 13.92669220197304}",PRUNED
18,18,8.37375941984218,2026-04-14 13:42:59.156841,2026-04-14 13:43:02.837236,0 days 00:00:03.680395,16.40224159752624,62.31984022389453,61.0158960906884,-52.91507098654946,32.804717794524805,45.78611990227669,41.00295802067998,35.133250014497776,21.58694416798599,15.624983894637907,39.16840880947634,37.112635168898585,-72.93982920930476,85.02545967396938,25.972416511416256,59.173886617891235,31.466116035830144,21.967948118422818,Unattained target,RandomSampler,,PRUNED
19,19,8.373758778947717,2026-04-14 13:43:02.970261,2026-04-14 13:43:06.482964,0 days 00:00:03.512703,16.40224159752624,62.31984022389453,61.0158960906884,-52.91507098654946,32.804717794524805,45.78611990227669,41.00295802067998,35.133250014497776,21.58694416798599,15.624983894637907,39.16840880947634,37.112635168898585,-72.93982920930476,85.02545967396938,25.972416511416256,59.173886617891235,31.466116035830144,21.967948118422818,Unattained target,RandomSampler,"{'sLegPt.rL0': 85.02545967396938, 'sLegPt.lL0': 15.624983894637907, 'sLegPt.rL1': 25.972416511416256, 'sLegPt.lL1': 39.16840880947634, 'sLegPt.x1': 31.466116035830144, 'sLegPt.y1': 21.967948118422818, 'sLegPt.rA1': -72.93982920930476, 'sLegPt.rL2': 59.173886617891235, 'sLegPt.lL2': 37.112635168898585, 'lLegPt.rL0': 32.804717794524805, 'lLegPt.lL0': 16.40224159752624, 'lLegPt.rL1': 45.78611990227669, 'lLegPt.lL1': 62.31984022389453, 'lLegPt.x1': 35.133250014497776, 'lLegPt.y1': 21.58694416798599, 'lLegPt.rA1': -52.91507098654946, 'lLegPt.rL2': 41.00295802067998, 'lLegPt.lL2': 61.0158960906884}",PRUNED
20,20,8.373759408943656,2026-04-14 13:43:06.614000,2026-04-14 13:43:10.299887,0 days 00:00:03.685887,16.40224159752624,62.31984022389453,61.0158960906884,-52.91507098654946,32.804717794524805,45.78611990227669,41.00295802067998,35.133250014497776,21.58694416798599,15.624983894637907,39.16840880947634,37.112635168898585,-72.93982920930476,85.02545967396938,25.972416511416256,59.173886617891235,31.466116035830144,21.967948118422818,Unattained target,RandomSampler,"{'sLegPt.rL0': 85.02545967396938, 'sLegPt.lL0': 15.624983894637907, 'sLegPt.rL1': 25.972416511416256, 'sLegPt.lL1': 39.16840880947634, 'sLegPt.x1': 31.466116035830144, 'sLegPt.y1': 21.967948118422818, 'sLegPt.rA1': -72.93982920930476, 'sLegPt.rL2': 59.173886617891235, 'sLegPt.lL2': 37.112635168898585, 'lLegPt.rL0': 32.804717794524805, 'lLegPt.lL0': 16.40224159752624, 'lLegPt.rL1': 45.78611990227669, 'lLegPt.lL1': 62.31984022389453, 'lLegPt.x1': 35.133250014497776, 'lLegPt.y1': 21.58694416798599, 'lLegPt.rA1': -52.91507098654946, 'lLegPt.rL2': 41.00295802067998, 'lLegPt.lL2': 61.0158960906884}",PRUNED
21,21,6.854235084154475,2026-04-14 13:43:10.430269,2026-04-14 13:43:14.126976,0 days 00:00:03.696707,52.859742078420624,95.77478566965206,97.94807090124552,-57.029966160523536,28.560507349867425,45.58568714986562,28.01756175463088,35.060428169183425,23.601422291493854,25.190271028037294,76.2217351019599,95.53667117519659,-25.77447704901507,77.86853309475296,87.61625607093848,33.8530809228337,47.39531034016722,27.6673803739067,Unattained target,RandomSampler,,PRUNED
