,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 18:03:53.434213,2026-05-12 18:03:54.184437,0 days 00:00:00.750224,-45.58304026840856,36.04080815984187,25.502157653897683,67.51369901595953,70.55791676585471,61.4910040177266,-77.52863738203102,24.72485892505277,88.80663150512042,17.36215120196169,47.239705567099755,60.87116784595617,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 18:03:54.282187,2026-05-12 18:03:54.518269,0 days 00:00:00.236082,-53.77872222374456,18.288813972446775,76.23106724597206,51.10158474811341,31.519178760889584,34.13709153176262,-31.073629936169972,83.20294168482707,73.37169210520663,35.81358840771142,40.33893660917842,68.5764972877361,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 18:03:54.622330,2026-05-12 18:03:54.968746,0 days 00:00:00.346416,-33.25465170134535,50.25210161044589,60.16301987288213,54.295236661374204,32.139876768883354,41.860215795655904,-69.74413488919463,89.7094857810491,98.75996796762206,81.82938169022981,27.26154807844767,16.227330309054025,Unfeasible shape,,PRUNED
3,3,0.0,2026-05-12 18:03:55.064029,2026-05-12 18:04:09.453220,0 days 00:00:14.389191,-71.82227902253068,37.54413517972887,75.4611327022288,56.2078670627204,7.708025596546403,48.75832346922833,-46.64576796371355,53.894299420175194,37.52615552915417,78.75836330220591,12.67926071616617,57.08613827116629,,,COMPLETE
4,4,140.0,2026-05-12 18:04:11.047585,2026-05-12 18:04:11.550000,0 days 00:00:00.502415,-36.2670463199431,35.84622298095503,33.505893401462714,53.7718804542692,37.36024863138584,60.82557536980798,-43.36634673406964,60.2989006079063,60.403402997115116,39.72666312191079,11.81713403370476,22.638327612865154,Unfeasible shape,0.0,PRUNED
5,5,140.0,2026-05-12 18:04:11.665318,2026-05-12 18:04:12.002484,0 days 00:00:00.337166,-49.954024981397104,65.25038495283115,53.21213125047039,53.101235903009666,35.921992317180916,31.946577854155336,-36.8587926906679,58.91787437574572,57.07903903795965,31.54950648221144,20.49945714606169,35.66614151705261,Unfeasible shape,0.0,PRUNED
6,6,140.0,2026-05-12 18:04:12.121692,2026-05-12 18:04:12.408620,0 days 00:00:00.286928,-42.55036601146763,35.59064776745892,58.93668113480095,58.01911984313479,12.714857758108424,64.3639216650262,-55.641441146608415,62.288820706499294,25.41846915298538,51.013282640964505,37.74609512733406,54.2371738522032,Unfeasible shape,0.0,PRUNED
7,7,140.0,2026-05-12 18:04:12.511456,2026-05-12 18:04:12.798981,0 days 00:00:00.287525,-40.39137034457395,43.315604968209804,50.42553421220965,49.2199778995185,20.785768165002626,42.918629182324786,-51.58516527646275,61.15511618294374,63.29383929167398,54.363355054356546,30.710871939130296,40.69290533517247,Unfeasible shape,0.0,PRUNED
8,8,140.0,2026-05-12 18:04:12.899900,2026-05-12 18:04:13.186437,0 days 00:00:00.286537,-51.642143945105666,44.066241612114325,94.62467028853101,65.78732311721994,41.94618041338715,40.20245637289791,-24.17526054870256,58.987399669253364,42.4778287258672,51.59724083339702,55.13964337725995,60.909659447967925,Unfeasible shape,0.0,PRUNED
9,9,140.0,2026-05-12 18:04:13.334004,2026-05-12 18:04:13.639864,0 days 00:00:00.305860,-49.79513290439108,60.45380248190478,59.33594963352505,69.75887864064762,43.17051264484592,17.55943363231747,-55.71973791104859,41.91224270879404,66.10977896401548,59.74447235024909,35.66770754058415,42.41173060324216,Unfeasible shape,0.0,PRUNED
