,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 17:37:05.098613,2026-05-12 17:37:06.049695,0 days 00:00:00.951082,-75.32786909616863,52.80206053004577,85.5090170257852,67.56037863468617,25.383037383445195,14.698186138858278,-27.41205504520122,10.625355054053147,48.04184108794078,80.7756247875312,55.14863412207779,13.650989238590306,Unfeasible shape,,PRUNED
1,1,140.0,2026-05-12 17:37:06.142021,2026-05-12 17:37:06.434773,0 days 00:00:00.292752,-35.341119578238185,37.79238848564413,44.797399688745145,50.96723803853579,26.16268445793013,52.00456033115583,-72.93724104977188,74.93989478142787,61.218372920596074,12.534148614454127,15.255183459757305,21.625597193633713,Unfeasible shape,,PRUNED
2,2,140.0,2026-05-12 17:37:06.567076,2026-05-12 17:37:06.840157,0 days 00:00:00.273081,-27.907871597040163,34.56428707489049,18.65746120208659,19.93787238191327,28.470428831074727,73.22132196609817,-68.70152838846275,83.22572190838079,13.060564852502214,67.91685894717381,60.40417835010454,12.358778096696449,Unfeasible shape,,PRUNED
3,3,140.0,2026-05-12 17:37:06.930984,2026-05-12 17:37:07.156638,0 days 00:00:00.225654,-69.69991095992643,97.90403070936443,28.818697131925674,30.113283691145966,37.17133340754734,73.97606609446768,-37.563343001305334,88.12857366453505,73.23153681301068,52.80723758643081,28.1801690376232,68.24711879622085,Unfeasible shape,,PRUNED
4,4,140.0,2026-05-12 17:37:07.256299,2026-05-12 17:37:07.527804,0 days 00:00:00.271505,-70.40640448341051,77.36627506208897,98.16256332690924,26.926605211010212,26.18412001237384,49.91667920904305,-31.415758780751027,30.6994939638805,24.685936483226538,96.68940542469326,52.42729062044896,66.28545270732275,Unfeasible shape,,PRUNED
5,5,140.0,2026-05-12 17:37:07.628624,2026-05-12 17:37:07.898932,0 days 00:00:00.270308,-53.368796514310574,98.81182065395602,87.78223055641564,96.45280926197184,4.734286901564852,41.041638313128956,-34.25542597396158,27.497295471962644,55.00579382434939,91.47265901031497,35.198736816803006,6.918120697974456,Unfeasible shape,,PRUNED
6,6,140.0,2026-05-12 17:37:08.007924,2026-05-12 17:37:08.291941,0 days 00:00:00.284017,-22.484211356714724,30.7784600026527,11.795479068395203,70.1555867956365,23.192006533802555,29.094583310605195,-48.73362086925607,48.52230735778857,17.05855157063774,51.675015946017005,54.93937727142169,5.020003831477074,Unfeasible shape,,PRUNED
7,7,8.204729002151783,2026-05-12 17:37:08.416261,2026-05-12 17:38:28.456441,0 days 00:01:20.040180,-34.43879247767986,37.503043197415195,13.426961642467608,86.34106317508862,36.89117372008016,29.01143632666817,-31.129980104957575,16.736829807264836,15.4962640547113,95.64013939947466,2.176771963518567,50.847135190657426,,,COMPLETE
8,8,140.0,2026-05-12 17:38:30.048175,2026-05-12 17:38:30.591702,0 days 00:00:00.543527,-54.048187625652446,44.42523517321552,45.658759169472546,62.356136312535426,45.49122133100286,49.30769800500807,-46.20705156519186,61.65178284462762,56.2592614188321,33.44583227162509,34.51119042414339,40.80170353662466,Unfeasible shape,0.0,PRUNED
9,9,8.204729012688839,2026-05-12 17:38:30.731613,2026-05-12 17:39:42.757441,0 days 00:01:12.025828,-48.277024536487914,76.7755408110218,33.50828897449637,36.37023112966838,30.218513318084288,39.596024536868114,-45.954397168809066,51.0696127832616,38.7591386313846,80.95688784286965,31.03580769952523,5.7470683262643725,,0.0,COMPLETE
