,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
0,0,,2026-05-18 18:18:52.340393,2026-05-18 18:18:53.234961,0 days 00:00:00.894568,17.013755557114777,43.51961660248895,64.44030473047837,-24.741434741191668,125.45072156578965,122.2289462112072,89.4504089918179,-41.95986802770517,142.18376524661255,35.403726427424786,134.65790653914186,55.45099301216644,-40.162871439333784,37.82830872671879,38.151565090184505,117.15933831929698,-46.478469820578866,21.011094715199405,Unfeasible shape,RandomSampler,PRUNED
1,1,,2026-05-18 18:18:53.369960,2026-05-18 18:18:53.697012,0 days 00:00:00.327052,73.51773516825861,91.49255753101293,116.93414874272855,-15.117362409996318,77.32598951539991,103.40762154343464,113.44201200508472,15.239415831448014,104.66035189096891,107.68841936715476,57.508827249955516,12.161380842020609,-51.31818829797234,99.38470153912434,107.96187924313556,109.4122602658635,-18.521251720646873,47.996328956418445,Unfeasible shape,RandomSampler,PRUNED
2,2,,2026-05-18 18:18:53.844427,2026-05-18 18:18:54.160473,0 days 00:00:00.316046,28.570757691620518,140.1980039990727,128.7971248236176,-25.40116444916358,119.71812697734278,198.78049166121423,151.67226326504746,-44.38481032260292,28.685273167740426,122.88663489040218,94.89952538520863,39.49610120828783,-31.725050557721055,3.167928691175696,23.520016234906176,55.07671893403325,-59.82251916186472,36.832927371911765,Unfeasible shape,RandomSampler,PRUNED
3,3,,2026-05-18 18:18:54.330239,2026-05-18 18:18:54.564334,0 days 00:00:00.234095,102.39626120724807,190.48958944833586,182.21455998970822,-65.9231937977393,13.340721056293749,47.860074647295534,81.23339803890757,10.487014303476116,24.25589706159022,62.74636205653493,120.12673421309515,46.85329381253333,-53.801442443712624,47.341161193935264,138.66936969828174,108.09081274694776,7.550587993334474,31.49840806370934,Unfeasible shape,RandomSampler,PRUNED
4,4,,2026-05-18 18:18:54.703722,2026-05-18 18:18:55.015855,0 days 00:00:00.312133,69.86501697516108,130.71789894299724,180.08379886858629,-76.10481785323233,54.33025095279042,189.65155295213273,39.57809939352303,-56.418270360645195,3.0024640786303323,44.85583801088622,109.0490879127622,135.477304302419,-22.744549047050143,8.513641699552316,41.64798500200207,36.59949000683276,-13.593554097450927,14.17658792194786,Unfeasible shape,RandomSampler,PRUNED
5,5,,2026-05-18 18:18:55.148082,2026-05-18 18:18:55.418352,0 days 00:00:00.270270,195.22289596310915,80.3193462122938,4.680530925106652,-49.60293463398468,121.39959630150193,92.42563766829737,12.556277187009014,25.593397265729067,-0.7996788649025461,125.40876301804916,8.025244848171825,53.41666608370719,-14.433036707557164,141.7743847312443,73.06441135969067,76.96389377047286,26.03050973646735,61.00405628812075,Unfeasible shape,RandomSampler,PRUNED
6,6,28.64210758746197,2026-05-18 18:18:55.552317,2026-05-18 18:19:55.055887,0 days 00:00:59.503570,138.12485491930192,112.03078196032152,63.12258120835783,-45.726590799912465,11.617501751807897,7.960158099816071,147.24296139429396,-8.650437470007837,-9.148660688412573,15.559577411199012,3.4462700924678957,68.31748017376391,-36.05052462944908,127.26094324048411,6.483846412873209,130.92572069667762,8.786496940574182,75.41069647725735,,RandomSampler,COMPLETE
7,7,,2026-05-18 18:19:56.889891,2026-05-18 18:19:57.166001,0 days 00:00:00.276110,128.92678468601508,35.384701452303354,188.0155539153287,-72.87851617370714,77.17920791917184,142.36855575922337,69.99847443744589,6.248883860462598,-9.017840376751122,91.23766593073852,115.11507763137664,76.17507693762579,-45.08276180868316,89.53025948525975,120.29570354415455,89.98181842807188,-28.347527378367996,12.283048162841467,Unfeasible shape,GPSampler,PRUNED
8,8,,2026-05-18 18:19:57.308513,2026-05-18 18:19:57.592049,0 days 00:00:00.283536,56.11029534572361,141.9771213406989,185.5565260587675,-55.277815046649685,54.137556128322494,167.84870742673505,66.08712658141442,11.220155922842054,76.71179474721725,122.98333043853717,16.11608276094148,87.14235971851794,-53.330974823322734,54.12678733048358,111.65181595528483,128.47074307222172,-40.25818527093931,23.551038429278414,Unfeasible shape,GPSampler,PRUNED
9,9,,2026-05-18 18:19:57.722227,2026-05-18 18:19:57.966663,0 days 00:00:00.244436,107.06909518083434,22.005799397399993,21.383941987786013,-5.090443616487477,31.6571945396695,38.13912928706834,53.42073208678054,5.856820271062858,126.60340217622431,98.67440139880635,105.1618680642235,54.16533372412923,-38.56864884260118,111.70358561214026,95.04958840228365,74.96582741649881,-10.629149523442948,77.61260710924215,Unfeasible shape,GPSampler,PRUNED
10,10,,2026-05-18 18:19:58.089549,2026-05-18 18:19:58.361579,0 days 00:00:00.272030,100.6993069755119,110.91293351304333,9.887689700675047,-27.777066880807155,138.03848553532566,82.17127431968754,103.02058266059552,-21.56022995573798,96.44049833549172,115.33604319894485,92.49806778784719,139.9830174028726,-46.148664221130076,42.66238144224921,31.38957597393627,89.41981854640227,-15.46645975309643,96.4811568863502,Unfeasible shape,GPSampler,PRUNED
11,11,,2026-05-18 18:19:58.478293,2026-05-18 18:19:58.717062,0 days 00:00:00.238769,198.73290050545796,72.7721285154268,41.034265181903635,-37.473828388986206,193.1379568471066,57.67648250690141,37.7110348191835,28.73117834663178,152.00997271144809,111.72369779266748,13.397116190311738,10.042995607870537,-50.17193919730117,101.78233449196591,136.36171124051802,143.96185444647662,20.580096681236043,28.774084157770027,Unfeasible shape,GPSampler,PRUNED
12,12,,2026-05-18 18:19:58.841281,2026-05-18 18:19:59.105359,0 days 00:00:00.264078,101.3385092328923,115.18126226966032,151.5887170908465,-24.105352501968497,159.31159445658201,78.85978735039961,152.1667479128464,-33.17809848857651,70.03448857240977,96.40001974145979,141.12242579471538,144.04197996058332,-18.317139133473077,42.792147650245035,85.97291878890135,134.98326304832852,-35.266722248625726,80.41622261483967,Unfeasible shape,GPSampler,PRUNED
13,13,,2026-05-18 18:19:59.240392,2026-05-18 18:19:59.507897,0 days 00:00:00.267505,97.96742416256635,116.22077547185299,59.541537355862346,-81.51798711424826,14.335206622944785,64.22759767760215,130.07822624853347,-12.364970253303945,60.86696419152507,120.60802306711709,8.729222280658288,48.69716147281144,-58.86982153527033,38.76722728329386,110.14787696465497,3.9124012584605348,-52.548237668730536,0.9210409766442531,Unfeasible shape,GPSampler,PRUNED
14,14,,2026-05-18 18:19:59.640281,2026-05-18 18:19:59.927065,0 days 00:00:00.286784,44.65035548824568,26.767836788589236,152.58674341207126,-12.980252299161364,114.48644000571075,134.9307536088634,178.5463507978673,-44.5155726735956,118.60599675948339,100.48710942274337,15.836031037638744,49.16363761212038,-8.22139162033801,108.11500033945843,142.7111571484303,3.2832271149720205,-46.72062162800042,8.914514933727187,Unfeasible shape,GPSampler,PRUNED
15,15,,2026-05-18 18:20:00.059712,2026-05-18 18:20:00.317427,0 days 00:00:00.257715,170.9349389418082,97.80451169129903,169.31299122585685,-69.74257800489283,13.849505521959845,91.65007978668933,140.03228946199252,-1.2740363023130428,8.41782199214408,129.41890949942228,50.39277208486207,49.38633986816851,-34.99313300218244,99.63940754143255,125.57344505750555,4.577038160669671,-4.133555013660555,58.766378320061236,Unfeasible shape,GPSampler,PRUNED
16,16,,2026-05-18 18:20:00.460322,2026-05-18 18:20:00.812098,0 days 00:00:00.351776,151.7411517779404,85.92403003918945,71.59000738049218,-7.889733992028326,12.223102047650903,73.42188904284637,198.98907702507955,8.578204874336137,77.57954330175855,11.952008200426896,120.76972341808332,43.85508075255858,-74.09857744015571,36.777229624850044,122.16734627569045,52.89423525940945,23.212625600551533,97.4173067685338,Unfeasible shape,GPSampler,PRUNED
17,17,31.922139798206064,2026-05-18 18:20:00.952343,2026-05-18 18:20:43.310769,0 days 00:00:42.358426,147.86070111710555,123.68404687159214,143.43600612685907,-67.11312110928262,182.06008866488983,67.29808656202381,143.5915857614381,-10.815051046172087,7.592686149533133,139.83294951684303,49.81599030773689,36.69345787514063,-62.668793906049274,52.751595545917624,107.60725567253554,40.18149279508375,-38.21998002009559,88.32750625864475,,GPSampler,COMPLETE
18,18,,2026-05-18 18:20:44.899865,2026-05-18 18:20:45.161104,0 days 00:00:00.261239,171.5052576125261,52.28314357202682,40.08661982722299,-20.52791453113234,171.1910945210184,1.4371997506204817,43.78781616695295,-17.339312888093907,93.19403788134463,5.367770046629747,81.8940075045822,19.168109258380323,-8.3078889723391,40.87671326210551,15.719333059787049,80.28749805651518,29.496553241585147,38.64693164650646,Unfeasible shape,GPSampler,PRUNED
19,19,,2026-05-18 18:20:45.304988,2026-05-18 18:20:45.524249,0 days 00:00:00.219261,49.55097449939948,1.5860702777854732,165.67832584615962,-9.64422899505459,175.24331995096946,153.89581369013789,175.2942058138338,-38.714441486699,57.235712200823315,10.422263118239238,27.457684446427947,121.4775261935092,-14.174391452908765,35.26791954022464,98.77641245647025,30.38555098502619,-40.477997128038794,89.67343597066032,Unfeasible shape,GPSampler,PRUNED
20,20,,2026-05-18 18:20:45.677717,2026-05-18 18:20:45.922714,0 days 00:00:00.244997,60.091371652565556,174.09076752144543,75.4038996633734,-5.510501129144259,131.00792135816536,133.87326220484448,136.84000884854652,3.9690761680988302,161.3094426738151,111.28213507459171,85.74092655151476,119.94643287318843,-64.09379425504079,127.82210561721449,26.392699456797438,31.027914400256538,-8.207997695599339,-4.2980877395246075,Unfeasible shape,GPSampler,PRUNED
21,21,,2026-05-18 18:20:46.055756,2026-05-18 18:20:46.327223,0 days 00:00:00.271467,42.34229392218937,161.9638717126158,53.329196054708234,-9.977598576254238,8.066556712889208,4.838196465371654,89.20960904387563,14.774098879922462,47.95740849949434,145.4651329545221,38.91511058886817,127.03297736725406,-54.640049812482005,30.7706214299784,68.02731576895289,63.38003369010974,-53.67156947317715,9.11419646774651,Unfeasible shape,GPSampler,PRUNED
22,22,,2026-05-18 18:20:46.447557,2026-05-18 18:20:46.722346,0 days 00:00:00.274789,153.80723683513423,154.0826870467353,192.22755851754843,-14.056376501272865,142.9065208854433,116.2051974207768,55.03772239455479,-39.40918902915934,164.33952643689688,133.32899433787682,113.09745632214042,22.251268554750336,-71.89024429062982,132.17179110205848,130.52103165359685,31.553121344143435,-16.791806482938405,70.58010405820227,Unfeasible shape,GPSampler,PRUNED
